Genus,RA
Bordetella,0.33770000000000006
Clostridium,0.259
Achromobacter,0.2072
Bacteroides,0.077
Roseburia,0.0677
Phocaeicola,0.0209
Acetivibrio,0.0063
Parabacteroides,0.0059
Desulfocurvibacter,0.0038
Butyrivibrio,0.003
Thermoclostridium,0.0026
Muribaculum,0.0018
Butyricimonas,0.0001
Blautia,0.0001
Veillonella,0.0
Arthrobacter,0.0
Micrococcus,0.0
Kocuria,0.0
Rothia,0.0
Nesterenkonia,0.0
Pseudarthrobacter,0.0
Curtobacterium,0.0
Clavibacter,0.0
Dietzia,0.0
Dialister,0.0
Microbacterium,0.0
Megasphaera,0.0
Turicibacter,0.0
Faecalibacillus,0.0
Tomitella,0.0
Corynebacterium,0.0
Gordonia,0.0
Sedimentibacter,0.0
Megamonas,0.0
Pelosinus,0.0
Murdochiella,0.0
Anaerococcus,0.0
Parvimonas,0.0
Tissierella,0.0
Keratinibaculum,0.0
Gottschalkia,0.0
Streptomyces,0.0
Selenomonas,0.0
Streptacidiphilus,0.0
Kitasatospora,0.0
Mycobacterium,0.0
Mycolicibacterium,0.0
Mycobacteroides,0.0
Protaetiibacter,0.0
Nocardia,0.0
Rhodococcus,0.0
Frigoribacterium,0.0
Leifsonia,0.0
Frondihabitans,0.0
Aeromicrobium,0.0
Microlunatus,0.0
Acidipropionibacterium,0.0
Propionibacterium,0.0
Tessaracoccus,0.0
Propionimicrobium,0.0
Auraticoccus,0.0
Actinopolymorpha,0.0
Trueperella,0.0
Actinomyces,0.0
Schaalia,0.0
Saccharothrix,0.0
Actinosynnema,0.0
Amycolatopsis,0.0
Pseudonocardia,0.0
Saccharomonospora,0.0
Kutzneria,0.0
Allokutzneria,0.0
Actinomadura,0.0
Nocardiopsis,0.0
Micropruina,0.0
Marmoricola,0.0
Salinibacterium,0.0
Friedmanniella,0.0
Erysipelothrix,0.0
Agrococcus,0.0
Rathayibacter,0.0
Cellulomonas,0.0
Oerskovia,0.0
Pseudactinotalea,0.0
Serinicoccus,0.0
Brevibacterium,0.0
Brachybacterium,0.0
Phycicoccus,0.0
Sanguibacter,0.0
Bifidobacterium,0.0
Scardovia,0.0
Micromonospora,0.0
Actinoplanes,0.0
Catellatospora,0.0
Phytohabitans,0.0
Polymorphospora,0.0
Nocardioides,0.0
Longibaculum,0.0
Faecalitalea,0.0
Erysipelatoclostridium,0.0
Thermacetogenium,0.0
Thermoanaerobacter,0.0
Mahella,0.0
Thermodesulfobium,0.0
Halothermothrix,0.0
Halobacteroides,0.0
Koleobacter,0.0
Bacillus,0.0
Lysinibacillus,0.0
Geobacillus,0.0
Priestia,0.0
Peribacillus,0.0
Weizmannia,0.0
Alkalihalobacillus,0.0
Virgibacillus,0.0
Oceanobacillus,0.0
Parageobacillus,0.0
Neobacillus,0.0
Mesobacillus,0.0
Salicibibacter,0.0
Ammonifex,0.0
Caldicellulosiruptor,0.0
Intestinibaculum,0.0
Thermoanaerobacterium,0.0
Thermaerobacter,0.0
Desulfotomaculum,0.0
Desulfallas,0.0
Desulfitobacterium,0.0
Thermincola,0.0
Desulfosporosinus,0.0
Candidatus Desulforudis,0.0
Desulfofarcimen,0.0
Dehalobacter,0.0
Syntrophobotulus,0.0
Dehalobacterium,0.0
Heliorestis,0.0
Heliomicrobium,0.0
Vallitalea,0.0
Syntrophomonas,0.0
Candidatus Syntrophocurvum,0.0
Syntrophothermus,0.0
