Species,RA
Achromobacter xylosoxidans,0.1996
Bordetella pertussis,0.1405
Clostridium botulinum,0.1033
Roseburia hominis,0.0666
Clostridium perfringens,0.0588
Bacteroides fragilis,0.043
Clostridium scatologenes,0.041299999999999996
Bacteroides thetaiotaomicron,0.0318
Phocaeicola dorei,0.0196
Clostridium cellulovorans,0.018799999999999997
Bordetella bronchiseptica,0.0141
Clostridium butyricum,0.0129
Clostridium aceticum,0.0070999999999999995
Acetivibrio thermocellus,0.0063
Bordetella parapertussis,0.0044
Clostridium pasteurianum,0.0039000000000000003
Desulfocurvibacter africanus,0.0038
Clostridium saccharobutylicum,0.0038
Parabacteroides distasonis,0.0034999999999999996
Butyrivibrio hungatei,0.003
Thermoclostridium stercorarium,0.0026
Bordetella genomosp. 6,0.0025
Muribaculum intestinale,0.0018
Bordetella holmesii,0.0013
Bordetella petrii,0.001
Bordetella hinzii,0.0009
Bordetella genomosp. 13,0.0009
Bordetella trematum,0.0008
Clostridium sporogenes,0.0008
Bordetella bronchialis,0.0007000000000000001
Bordetella pseudohinzii,0.0006
Bordetella genomosp. 9,0.0005
Bordetella sp. N,0.0005
Bordetella avium,0.0005
Clostridium carboxidivorans,0.0005
Bordetella flabilis,0.0004
Bordetella genomosp. 8,0.0004
Clostridium drakei,0.0004
Bordetella sp. H567,0.0004
Achromobacter deleyi,0.0003
Achromobacter spanius,0.0003
Achromobacter denitrificans,0.0002
Achromobacter sp. B7,0.0001
Achromobacter pestifer,0.0001
Butyricimonas virosa,0.0001
Achromobacter insolitus,0.0001
Achromobacter sp. AONIH1,0.0001
Roseburia intestinalis,0.0001
Achromobacter sp. MFA1 R4,0.0001
Phocaeicola vulgatus,0.0001
Intestinibaculum porci,0.0
Amedibacterium intestinale,0.0
Faecalitalea cylindroides,0.0
Longicatena caecimuris,0.0
Faecalibacillus intestinalis,0.0
[Clostridium] innocuum,0.0
Turicibacter sp. H121,0.0
Erysipelothrix sp. HDW6A,0.0
Erysipelothrix sp. HDW6C,0.0
Veillonella parvula,0.0
Dialister pneumosintes,0.0
Megasphaera elsdenii,0.0
Megasphaera stantonii,0.0
Longibaculum sp. KGMB06250,0.0
Erysipelatoclostridium ramosum,0.0
Selenomonas sp. oral taxon 920,0.0
Vagococcus zengguangii,0.0
Megamonas hypermegale,0.0
Streptomyces sp. NA04227,0.0
Streptomyces sp. QMT-12,0.0
Streptomyces sp. GMY01,0.0
Streptomyces sp. 2323.1,0.0
Streptomyces sp. NEAU-sy36,0.0
Streptomyces sp. NA02950,0.0
Streptomyces sp. Mg1,0.0
Streptomyces sp. Go-475,0.0
Streptomyces sp. Rer75,0.0
Streptomyces sp. W1SF4,0.0
endosymbiont 'TC1' of Trimyema compressum,0.0
Sedimentibacter sp. zth1,0.0
Gottschalkia acidurici,0.0
Keratinibaculum paraultunense,0.0
Tissierellia sp. JN-28,0.0
Parvimonas micra,0.0
Anaerococcus prevotii,0.0
Murdochiella vaginalis,0.0
Pelosinus sp. UFO1,0.0
Carnobacterium maltaromaticum,0.0
Enterococcus mundtii,0.0
Vagococcus carniphilus,0.0
Leuconostoc lactis,0.0
Streptococcus suis,0.0
Lentilactobacillus kefiri,0.0
Acetilactobacillus jinshanensis,0.0
Furfurilactobacillus rossiae,0.0
Companilactobacillus pabuli,0.0
Companilactobacillus heilongjiangensis,0.0
Lapidilactobacillus dextrinicus,0.0
Latilactobacillus sakei,0.0
Lactiplantibacillus plantarum,0.0
Leuconostoc sp. C2,0.0
Leuconostoc mesenteroides,0.0
Streptococcus thermophilus,0.0
Oenococcus oeni,0.0
Pediococcus acidilactici,0.0
Pediococcus claussenii,0.0
Pediococcus damnosus,0.0
Pediococcus pentosaceus,0.0
Weissella ceti,0.0
Weissella cibaria,0.0
Weissella viridescens,0.0
Lacticaseibacillus paracasei,0.0
Lacticaseibacillus rhamnosus,0.0
Streptococcus pyogenes,0.0
Streptococcus agalactiae,0.0
Enterococcus saigonensis,0.0
Lactococcus raffinolactis,0.0
Enterococcus hirae,0.0
Enterococcus durans,0.0
Enterococcus cecorum,0.0
Enterococcus casseliflavus,0.0
Streptomyces sp. SM18,0.0
Enterococcus thailandicus,0.0
Enterococcus faecalis,0.0
Enterococcus faecium,0.0
Lactococcus taiwanensis,0.0
Lactococcus garvieae,0.0
Lactococcus lactis,0.0
Streptococcus anginosus,0.0
Streptococcus mitis,0.0
Streptococcus salivarius,0.0
Streptococcus equinus,0.0
Streptococcus gallolyticus,0.0
Streptococcus urinalis,0.0
Streptococcus mutans,0.0
Streptococcus dysgalactiae,0.0
Streptococcus pneumoniae,0.0
Streptococcus lactarius,0.0
Streptococcus parauberis,0.0
Streptomyces sp. NHF165,0.0
Streptomyces sp. MBT27,0.0
Streptomyces sp. fd1-xmd,0.0
Streptomyces sp. S8,0.0
Rhodococcus sp. R79,0.0
Nocardia iowensis,0.0
Nocardia sp. CS682,0.0
Nocardia sp. WCH-YHL-001,0.0
Nocardia yunnanensis,0.0
Nocardia seriolae,0.0
Nocardia brasiliensis,0.0
Mycobacteroides salmoniphilum,0.0
Mycolicibacterium confluentis,0.0
Mycolicibacterium goodii,0.0
Mycolicibacterium thermoresistibile,0.0
Mycolicibacterium sediminis,0.0
Mycolicibacterium arabiense,0.0
Mycolicibacterium helvum,0.0
Mycolicibacterium nivoides,0.0
Mycolicibacterium duvalii,0.0
Mycolicibacterium pulveris,0.0
Mycobacterium branderi,0.0
Mycobacterium mantenii,0.0
Mycobacterium sp. YC-RL4,0.0
Mycobacterium shigaense,0.0
Rhodococcus koreensis,0.0
Rhodococcus opacus,0.0
Corynebacterium striatum,0.0
Tomitella sp. HY172,0.0
Nesterenkonia sp. NBAIMH1,0.0
Rothia kristinae,0.0
Kocuria rhizophila,0.0
Kocuria flava,0.0
Micrococcus luteus,0.0
Arthrobacter agilis,0.0
Arthrobacter crystallopoietes,0.0
Arthrobacter sp. FB24,0.0
Arthrobacter sp. NEB 688,0.0
Dietzia lutea,0.0
Corynebacterium atypicum,0.0
Gordonia phthalatica,0.0
Gordonia rubripertincta,0.0
Gordonia polyisoprenivorans,0.0
Corynebacterium genitalium,0.0
Corynebacterium choanis,0.0
Corynebacterium ureicelerivorans,0.0
Corynebacterium vitaeruminis,0.0
Corynebacterium sp. NML98-0116,0.0
Corynebacterium casei,0.0
Mycobacterium spongiae,0.0
Kitasatospora setae,0.0
Streptacidiphilus sp. PB12-B1b,0.0
Streptomyces sp. CRXT-Y-14,0.0
Streptomyces rapamycinicus,0.0
Streptomyces tsukubensis,0.0
Limosilactobacillus mucosae,0.0
Streptomyces glomeroaurantiacus,0.0
Streptomyces alboniger,0.0
Streptomyces mobaraensis,0.0
Streptomyces niveus,0.0
Streptomyces sp. A2-16,0.0
Streptomyces sp. XC 2026,0.0
Streptomyces sp. SCSIO 3032,0.0
Streptomyces venezuelae,0.0
Streptomyces sp. CRPJ-33,0.0
Streptomyces sp. CB04723,0.0
Streptomyces sp. SCUT-3,0.0
Streptomyces sp. S4.7,0.0
Streptomyces sp. 3211,0.0
Streptomyces sp. MOE7,0.0
Streptomyces sp. JB150,0.0
Streptomyces sp. CB01881,0.0
Streptomyces sp. RPA4-5,0.0
Streptomyces capitiformicae,0.0
Streptomyces avermitilis,0.0
Streptomyces peucetius,0.0
Streptomyces griseorubiginosus,0.0
Streptomyces tendae,0.0
Streptomyces qinzhouensis,0.0
Streptomyces galilaeus,0.0
Streptomyces griseoviridis,0.0
Streptomyces cyanogenus,0.0
Streptomyces nodosus,0.0
Streptomyces olivoreticuli,0.0
Streptomyces fulvissimus,0.0
Streptomyces rutgersensis,0.0
Streptomyces platensis,0.0
Streptomyces lydicus,0.0
Streptomyces nojiriensis,0.0
Streptomyces incarnatus,0.0
Streptomyces subrutilus,0.0
Streptomyces nigra,0.0
Streptomyces pluripotens,0.0
Streptomyces griseocarneus,0.0
Streptomyces griseus,0.0
Streptomyces globisporus,0.0
Streptomyces clavuligerus,0.0
Streptomyces vinaceus,0.0
Brevibacillus agri,0.0
Limosilactobacillus fermentum,0.0
Aminipila sp. CBA3637,0.0
Syntrophothermus lipocalidus,0.0
Candidatus Syntrophocurvum alkaliphilum,0.0
Syntrophomonas wolfei,0.0
Vallitalea guaymasensis,0.0
Vallitalea pronyensis,0.0
Heliomicrobium modesticaldum,0.0
Heliorestis convoluta,0.0
Dehalobacterium formicoaceticum,0.0
Syntrophobotulus glycolicus,0.0
Dehalobacter sp. CF,0.0
Desulfofarcimen acetoxidans,0.0
Candidatus Desulforudis audaxviator,0.0
Desulfosporosinus meridiei,0.0
Thermincola potens,0.0
Desulfitobacterium dehalogenans,0.0
Desulfitobacterium metallireducens,0.0
Desulfallas gibsoniae,0.0
Desulfotomaculum reducens,0.0
Desulfotomaculum ruminis,0.0
Desulfotomaculum ferrireducens,0.0
Thermaerobacter sp. FW80,0.0
Symbiobacterium thermophilum,0.0
Christensenella minuta,0.0
Christensenella sp. Marseille-P3954,0.0
Bacillus anthracis,0.0
Bacillus sonorensis,0.0
Bacillus subtilis,0.0
Bacillus siamensis,0.0
Bacillus velezensis,0.0
Bacillus amyloliquefaciens,0.0
Bacillus pseudomycoides,0.0
Bacillus mycoides,0.0
Bacillus cereus,0.0
Bacillus thuringiensis,0.0
Koleobacter methoxysyntrophicus,0.0
Thermoanaerobacterium thermosaccharolyticum,0.0
Halobacteroides halobius,0.0
Halothermothrix orenii,0.0
Thermodesulfobium narugense,0.0
Mahella australiensis,0.0
Ammonifex degensii,0.0
Thermacetogenium phaeum,0.0
Caldicellulosiruptor owensensis,0.0
Caldicellulosiruptor saccharolyticus,0.0
Thermoanaerobacterium aotearoense,0.0
Aminipila butyrica,0.0
Aminipila sp. JN-18,0.0
