Species,RA,TAX_ID
Bordetella pertussis,0.31156367475563584,520
Bordetella parapertussis,0.11258167887059772,519
Achromobacter xylosoxidans,0.10713584436153986,85698
Bordetella bronchiseptica,0.10684635554685762,518
Bacteroides fragilis,0.07009590593592993,817
Roseburia hominis,0.04590210085166782,301301
Clostridium botulinum,0.04187811985720328,1491
Bacteroides thetaiotaomicron,0.03513948303518891,818
Clostridium perfringens,0.029543003099519134,1502
Bordetella holmesii,0.026045439764755693,35814
Bacteroides fragilis CAG:47,0.014709757023369767,1263046
Clostridium cellulovorans,0.013791581795208317,1493
Clostridium butyricum,0.009805717879677073,1492
Bacteroides thetaiotaomicron CAG:40,0.008399989922695012,1263054
Bacteroides dorei CAG:222,0.007694625314255568,1263042
Clostridium aceticum,0.004816096428777923,84022
Ruminiclostridium thermocellum,0.004449625604281901,1515
Clostridium carboxidivorans,0.004206573721445435,217159
Parabacteroides distasonis,0.0041170651915162365,823
Clostridium saccharobutylicum,0.003090521542132413,169679
Clostridium pasteurianum,0.0030616591310455824,1501
Bacteroides vulgatus,0.002798345134514961,821
Desulfovibrio africanus,0.002500559837293591,873
Bacteroides vulgatus CAG:6,0.002110601787581161,1263056
Roseburia inulinivorans,0.0020395091118514948,360807
Clostridium stercorarium,0.001851611310120227,1510
Roseburia intestinalis,0.0009223117842443393,166486
Bordetella trematum,0.0008275916610581666,123899
Achromobacter denitrificans,0.00072969316709644,32002
Faecalibacterium prausnitzii,0.0006525709350425614,853
Bordetella hinzii,0.0006093123739723404,103855
Bacteroides pectinophilus,0.0006028621509278342,384638
Fusicatenibacter saccharivorans,0.0005838152966478611,1150298
Bacteroides faecis CAG:32,0.0005221175110047583,1263044
Bacteroides stercoris,0.0004879032844208557,46506
Roseburia faecis,0.00041141205244741793,301302
Bordetella petrii,0.00041087453386037576,94624
Bacteroides uniformis,0.00038787808648431014,820
Butyrivibrio crossotus,0.0003656528614287833,45851
Bacteroides coprocola,0.00034784463693634225,310298
Clostridium beijerinckii,0.0003266710786815501,1520
Clostridium sp. M62/1,0.00029734126012772655,411486
Blautia obeum,0.00029554174137980273,40520
Bacteroides plebeius,0.0002936253707651306,310297
Bacteroides oleiciplenus,0.0002879229996678135,626931
Ruminococcus faecis,0.00028537562897270057,592978
Dorea formicigenerans,0.0002804912209426216,39486
Eubacterium ramulus,0.0002674505526135112,39490
Bordetella sp. N,0.0002653705893853914,1746199
Clostridium baratii,0.00026020573687511654,1561
Eubacterium ventriosum,0.00024987603185456673,39496
Coprococcus comes,0.00024125236408854213,410072
Clostridium sp. ND2,0.00023608751157826722,1347366
Angelakisella massiliensis,0.00022856225135967664,1871018
Eubacterium hallii,0.00022461265826358406,39488
Emergencia timonensis,0.00022173810234157586,1776384
Clostridium citroniae,0.00021566180527066422,358743
Blautia sp. KLE 1732,0.00021498406444352407,1226324
Clostridium saccharoperbutylacetonicum,0.00020995943417334714,36745
Clostridium sp. L2-50,0.00020988932305329814,411489
Eubacterium rectale,0.00020813654505207364,39491
Clostridium lactatifermentans,0.00019869491421881092,160404
Bacteroides ovatus,0.00017541802236254936,28116
Bordetella sp. FB-8,0.000170697206945918,1159870
Clostridium glycyrrhizinilyticum,0.00016847702147770028,342942
Alistipes shahii,0.00016326542822072608,328814
Tyzzerella nexilis,0.00016155939096620088,29361
Clostridium sporosphaeroides,0.00016078816864566208,1549
Clostridium magnum,0.00015845113131069609,33954
Coprobacter secundus,0.00015443142709455453,1501392
Clostridium bolteae,0.00015387053813416268,208479
Faecalitalea cylindroides,0.00015153350079919666,39483
Anaerostipes hadrus,0.00014643875940897075,649756
Alistipes finegoldii,0.00014410172207400472,214856
Eubacterium eligens,0.00013416931340039915,39485
Ruminococcaceae bacterium D16,0.00012517171966077995,552398
Alistipes putredinis,0.00012168953403168059,28117
Dorea longicatena,0.00012119875619133774,88431
Lactonifactor longoviformis,0.0001181138669091826,341220
Bacteroides sp. 43_46,0.00011729590384194448,1897051
Odoribacter splanchnicus,0.00011556649621406963,28118
Blautia hansenii,0.000111827236478124,1322
Bacteroides salyersiae,0.00011180386610477434,291644
Acetivibrio ethanolgignens,0.0001103549029570954,290052
Butyricicoccus pullicaecorum,0.00010906953242286409,501571
Ruminococcus torques,0.000105844420900611,33039
Phascolarctobacterium succinatutens,0.00010540038380696745,626940
