Species,RA
Bordetella pertussis,0.3118096386182768
Achromobacter xylosoxidans,0.11115913317140916
Bordetella parapertussis,0.10995423722217187
Bordetella bronchiseptica,0.10439872398821622
Bacteroides fragilis,0.06837852528778644
Roseburia hominis,0.048005494414662994
Clostridium botulinum,0.041351321084287684
Bacteroides thetaiotaomicron,0.03537187497522243
Clostridium perfringens,0.03031465971334872
Bordetella holmesii,0.025746284841537823
Clostridium cellulovorans,0.014372259859943833
Bacteroides fragilis CAG:47,0.014271776289888518
Clostridium butyricum,0.010213670356989259
Bacteroides thetaiotaomicron CAG:40,0.0082238210113477
Bacteroides dorei CAG:222,0.007945742188801633
Clostridium aceticum,0.0050477835910381925
Ruminiclostridium thermocellum,0.004623669337643296
Parabacteroides distasonis,0.00431270922309099
Clostridium carboxidivorans,0.004083136136270439
Clostridium saccharobutylicum,0.0031879824759555877
Clostridium pasteurianum,0.003174171815089295
Bacteroides vulgatus,0.002711709009945593
Desulfovibrio africanus,0.0026284045546263977
Bacteroides vulgatus CAG:6,0.002032395509135843
Roseburia inulinivorans,0.002016304664111513
[Clostridium] stercorarium,0.0019376642218428479
Roseburia intestinalis,0.0008909042262021454
Bordetella trematum,0.0007750294130800795
Achromobacter denitrificans,0.0007196572136968382
Faecalibacterium prausnitzii,0.0006358863570725897
[Bacteroides] pectinophilus,0.0005809805589944015
Bordetella hinzii,0.0005743732071728168
Fusicatenibacter saccharivorans,0.0005567017799480294
Bacteroides faecis CAG:32,0.0004996971759971025
Bacteroides stercoris,0.0004767398673150474
Roseburia faecis,0.0003926062541202021
Bordetella petrii,0.0003870612608267937
Bacteroides uniformis,0.0003813867116153151
Butyrivibrio crossotus,0.00035094107086879733
Bacteroides coprocola,0.0003435045611715628
Clostridium beijerinckii,0.0002930554866749924
Bacteroides plebeius,0.00029033481239551637
Clostridium sp. M62/1,0.0002833387928197208
Blautia obeum,0.00028263919086214125
Bacteroides oleiciplenus,0.000282069144822632
Ruminococcus faecis,0.0002668592800411801
Dorea formicigenerans,0.000262739401846545
Eubacterium ramulus,0.0002565207177791711
Bordetella sp. N,0.00024729633641256657
Clostridium baratii,0.0002386420010854713
Eubacterium ventriosum,0.00023296745187399267
Coprococcus comes,0.000224572228383038
Angelakisella massiliensis,0.0002211260409623683
[Eubacterium] hallii,0.00021226441616636058
Emergencia timonensis,0.00021151299184155292
Clostridium sp. ND2,0.0002087664063784628
[Clostridium] citroniae,0.00020749675838137397
Clostridium sp. L2-50,0.00020407648214431834
Blautia sp. KLE 1732,0.00020399874859347618
[Clostridium] lactatifermentans,0.00019824646583115537
Clostridium saccharoperbutylacetonicum,0.0001917427587440269
[Eubacterium] rectale,0.00018964395287128822
[Clostridium] sporosphaeroides,0.00016606477578249573
Bacteroides ovatus,0.00016383641399168677
[Clostridium] glycyrrhizinilyticum,0.0001619189864042465
Alistipes shahii,0.0001597165357970516
