genus,SRR540385,tax_id
ACIDAMINOCOCCUS,0.0,904
AGATHOBACULUM,0.0,2048137
AKKERMANSIA,0.021162399999999998,239934
ALISTIPES,0.40273509999999996,239759
ANAEROTIGNUM,0.0,2039240
BACTEROIDES,0.2464922,816
BARNESIELLA,0.0,397864
BIFIDOBACTERIUM,0.0016742,1678
BLAUTIA,0.0,572511
BUTYRICIMONAS,0.0229437,574697
CLOSTRIDIUM,0.0,1485
COLLINSELLA,0.0024544,102106
COPROBACTER,0.0,1348911
COPROCOCCUS,0.0,33042
DIALISTER,0.003138,39948
DOREA,0.0,189330
ESCHERICHIA,0.0,561
EUBACTERIUM,0.0002968,1730
FAECALIBACTERIUM,0.0111253,216851
FLAVONIFRACTOR,0.0035002,946234
FUSICATENIBACTER,0.0006301,1407607
GEMMIGER,0.0,204475
GORDONIBACTER,0.0,644652
HAEMOPHILUS,0.0,724
HOLDEMANELLA,0.0,1573535
INTESTINIMONAS,0.0,1392389
LACHNOSPIRA,0.0,28050
LAWSONIBACTER,0.0,2172004
MONOGLOBUS,0.0,2039302
ODORIBACTER,0.0124516,283168
OLSENELLA,0.0,133925
OSCILLIBACTER,0.0053214,459786
PARABACTEROIDES,0.0950111,375288
PARAPREVOTELLA,0.0,577309
PARASUTTERELLA,0.0,577310
PHASCOLARCTOBACTERIUM,0.0102503,33024
PREVOTELLA,0.1345651,838
ROSEBURIA,0.0,841
RUMINOCOCCUS,0.0035857,1263
RUTHENIBACTERIUM,0.009786399999999999,1905344
STREPTOCOCCUS,0.0010821,1301
SUTTERELLA,0.0,40544
TURICIBACTER,0.0,191303
UNCLASSIFIED,0.0020539,12908
UNCLASSIFIED,0.0020539,12908
UNCLASSIFIED,0.0020539,12908
UNCLASSIFIED,0.0020539,12908
UNCLASSIFIED,0.0008371,12908
UNCLASSIFIED,0.0008371,12908
UNCLASSIFIED,0.0008371,12908
UNCLASSIFIED,0.0008371,12908
UNCLASSIFIED,0.0038632,12908
UNCLASSIFIED,0.0038632,12908
UNCLASSIFIED,0.0038632,12908
UNCLASSIFIED,0.0038632,12908
UNCLASSIFIED,0.005039900000000001,12908
UNCLASSIFIED,0.005039900000000001,12908
UNCLASSIFIED,0.005039900000000001,12908
UNCLASSIFIED,0.005039900000000001,12908
VEILLONELLA,0.0,29465
