species,SRR539860,tax_id
ACIDAMINOCOCCUS_INTESTINI,0.0,187327
AGATHOBACULUM_BUTYRICIPRODUCENS,0.0,1628085
AKKERMANSIA_MUCINIPHILA,0.0,239935
ALISTIPES_FINEGOLDII,6.37e-05,214856
ALISTIPES_INDISTINCTUS,0.0,626932
ALISTIPES_INOPS,0.0,1501391
ALISTIPES_PUTREDINIS,0.011118600000000001,28117
ALISTIPES_SHAHII,0.0007341,328814
ANAEROTIGNUM_LACTATIFERMENTANS,0.0,160404
BACTEROIDES_CACCAE,7.84e-05,47678
BACTEROIDES_CELLULOSILYTICUS,0.0,246787
BACTEROIDES_COPROCOLA,0.0,310298
BACTEROIDES_COPROPHILUS,0.0015515000000000001,387090
BACTEROIDES_DOREI,0.0031730000000000005,357276
BACTEROIDES_EGGERTHII,0.0,28111
BACTEROIDES_FAECIS,0.0,674529
BACTEROIDES_FAECIS_CAG-32,0.0,1263044
BACTEROIDES_FINEGOLDII,0.0010919,338188
BACTEROIDES_FRAGILIS,0.0,817
BACTEROIDES_MASSILIENSIS,0.0,204516
BACTEROIDES_OVATUS,0.0038372000000000002,28116
BACTEROIDES_PECTINOPHILUS,0.0,384638
BACTEROIDES_SALYERSIAE,1.84e-05,291644
BACTEROIDES_SP._CAG-144,0.0005070000000000001,1262736
BACTEROIDES_STERCORIS,0.0185093,46506
BACTEROIDES_THETAIOTAOMICRON,0.0139196,818
BACTEROIDES_UNIFORMIS,0.009601,820
BACTEROIDES_VULGATUS,0.10594010000000001,821
BACTEROIDES_XYLANISOLVENS,0.011982600000000001,371601
BARNESIELLA_INTESTINIHOMINIS,0.0015654000000000002,487174
BIFIDOBACTERIUM_ADOLESCENTIS,0.0007511,1680
BIFIDOBACTERIUM_BIFIDUM,0.0,1681
BIFIDOBACTERIUM_LONGUM,0.0,216816
BLAUTIA_HYDROGENOTROPHICA,0.0,53443
BLAUTIA_OBEUM,0.0009872,40520
BLAUTIA_WEXLERAE,0.0,418240
BUTYRICIMONAS_SYNERGISTICA,0.0017657,544644
BUTYRICIMONAS_VIROSA,0.0007233000000000001,544645
CLOSTRIDIUM_DISPORICUM,0.0002309,84024
CLOSTRIDIUM_LEPTUM,0.0,1535
COLLINSELLA_AEROFACIENS,0.0027628,74426
COPROBACTER_SP.,0.0,1941478
COPROCOCCUS_COMES,0.0,410072
COPROCOCCUS_EUTACTUS,0.0008956,33043
DIALISTER_INVISUS,0.0046911999999999995,218538
DOREA_FORMICIGENERANS,0.0006791,39486
DOREA_LONGICATENA,0.0,88431
ESCHERICHIA_COLI,0.0,562
EUBACTERIUM_ELIGENS,0.016975,39485
EUBACTERIUM_HALLII,0.0,39488
EUBACTERIUM_RAMULUS,0.0,39490
EUBACTERIUM_RECTALE,0.005739800000000001,39491
EUBACTERIUM_SIRAEUM,0.0,39492
EUBACTERIUM_SP._CAG-180,0.0018219,1262882
EUBACTERIUM_SP._CAG-251,0.0020432000000000002,1262886
EUBACTERIUM_SP._CAG-38,0.0,1262889
EUBACTERIUM_VENTRIOSUM,3.37e-05,39496
FAECALIBACTERIUM_PRAUSNITZII,0.0048493,853
FIRMICUTES_BACTERIUM_CAG-110,0.0,1263000
FIRMICUTES_BACTERIUM_CAG-83,0.0,1262992
FIRMICUTES_BACTERIUM_CAG-94,0.0,1262989
FLAVONIFRACTOR_PLAUTII,0.0,292800
FUSICATENIBACTER_SACCHARIVORANS,0.0,1150298
GEMMIGER_FORMICILIS,0.0,745368
GORDONIBACTER_PAMELAEAE,0.0,471189
HAEMOPHILUS_PARAINFLUENZAE,0.0014597,729
HOLDEMANELLA_BIFORMIS,0.0,1735
INTESTINIMONAS_BUTYRICIPRODUCENS,0.0,1297617
LACHNOSPIRA_PECTINOSCHIZA,0.0,28052
LAWSONIBACTER_ASACCHAROLYTICUS,0.0,2108523
MONOGLOBUS_PECTINILYTICUS,0.0,1981510
ODORIBACTER_SPLANCHNICUS,0.0008290999999999999,28118
OLSENELLA_SCATOLIGENES,0.0,1299998
OSCILLIBACTER_SP._57-20,0.0028241,1897011
OSCILLIBACTER_SP._CAG-241,0.0034726,1262911
PARABACTEROIDES_DISTASONIS,0.0012128,823
PARABACTEROIDES_GOLDSTEINII,0.0,328812
PARABACTEROIDES_MERDAE,0.0348564,46503
PARAPREVOTELLA_CLARA,0.0005093000000000001,454154
PARAPREVOTELLA_XYLANIPHILA,0.0073560000000000006,454155
PARASUTTERELLA_EXCREMENTIHOMINIS,0.0,487175
PHASCOLARCTOBACTERIUM_FAECIUM,0.0,33025
PHASCOLARCTOBACTERIUM_SUCCINATUTENS,0.0,626940
PREVOTELLA_COPRI,0.3749684,165179
PREVOTELLA_SP._CAG-279,0.0599289,1262924
PREVOTELLA_SP._CAG-520,5.43e-05,1262929
PREVOTELLA_STERCOREA,0.2790941,363265
ROSEBURIA_FAECIS,0.0,301302
ROSEBURIA_HOMINIS,0.000829,301301
ROSEBURIA_INTESTINALIS,0.0,166486
ROSEBURIA_INULINIVORANS,0.0029609000000000003,360807
RUMINOCOCCUS_BICIRCULANS,0.0,1160721
RUMINOCOCCUS_BROMII,0.0,40518
RUMINOCOCCUS_GNAVUS,0.0,33038
RUMINOCOCCUS_LACTARIS,0.0,46228
RUMINOCOCCUS_TORQUES,5.11e-05,33039
RUTHENIBACTERIUM_LACTATIFORMANS,2.68e-05,1550024
STREPTOCOCCUS_MITIS,0.0,28037
STREPTOCOCCUS_PARASANGUINIS,0.0,1318
STREPTOCOCCUS_PASTEURIANUS,0.0,197614
SUTTERELLA_PARVIRUBRA,5.2900000000000005e-05,437898
TURICIBACTER_SANGUINIS,0.0004156,154288
VEILLONELLA_ATYPICA,0.0,39777
VEILLONELLA_DISPAR,0.00028209999999999997,39778
VEILLONELLA_PARVULA,0.0001744,29466
