Species,RA,TAX_ID
unclassified,0.39261829191251185,12908
Bacteroides uniformis,0.07093900316139551,820
Prevotella copri,0.06072205177756096,165179
Parabacteroides merdae,0.04287572496353013,46503
Phocaeicola dorei,0.026689344063190193,357276
Alistipes finegoldii,0.025526888025715018,214856
Alistipes shahii,0.01923283289503637,328814
Butyricimonas virosa,0.015283445754970072,544645
Alistipes onderdonkii,0.014482433174492777,328813
Bacteroides caccae,0.014036578077848185,47678
Alistipes indistinctus,0.013872244779387036,626932
Akkermansia muciniphila,0.013243198464785754,239935
Parabacteroides distasonis,0.012563415366779799,823
Faecalibacterium prausnitzii,0.011399612335054942,853
Phascolarctobacterium faecium,0.010647091547566184,33025
Odoribacter splanchnicus,0.007742073949086312,28118
Bacteroides ovatus,0.006984165184598827,28116
Bacteroides fragilis,0.006840934796049356,817
Phocaeicola vulgatus,0.006704439378748292,821
Ruthenibacterium lactatiformans,0.00654055507837037,1550024
Bacteroides cellulosilyticus,0.006232093395193296,246787
Bacteroides zhangwenhongi,0.005032819514893491,2650157
Bacteroides xylanisolvens,0.004830770377441259,371601
Oscillibacter sp. MM50,0.00457394347383531,2714355
Alistipes communis,0.004552391565840405,2585118
Sutterella wadsworthensis,0.003904487331743581,40545
Dysosmobacter welbionis,0.0038223206825130063,2093857
Flavonifractor plautii,0.0037742778876076978,292800
Oscillibacter sp. MM35,0.003673702316964809,2714353
Oscillibacter sp. MM59,0.003482429133510029,2714358
Bacteroides thetaiotaomicron,0.003330667781379241,818
Oscillibacter sp. PEA192,0.0020537172326811335,2109687
Dysosmobacter sp. Marseille-Q4140,0.0019401207176246564,2830675
Collinsella aerofaciens,0.0011907429167184885,74426
Intestinimonas butyriciproducens,0.001120699215735048,1297617
Oscillibacter sp. NSJ-62,0.0009846527965172117,2763056
Roseburia intestinalis,0.0009729788463533049,166486
Clostridioides difficile,0.0009137110993673168,1496
Paraprevotella xylaniphila,0.000889465202873049,454155
Phocaeicola coprophilus,0.0008580353370471461,387090
Massilistercora timonensis,0.0008400754137180589,2086584
Faecalicatena sp. Marseille-Q4148,0.0008342384386361055,2823316
Alistipes dispar,0.0007826036590649794,2585119
Bacteroides eggerthii,0.0007745216935668901,28111
Butyricimonas faecalis,0.0007700317127346183,2093856
Flintibacter sp. KGMB00164,0.0007439898239074418,2610895
Barnesiella viscericola,0.000678436103756273,397865
Roseburia hominis,0.0006631701689265489,301301
Desulfovibrio fairfieldensis,0.000597167450692153,44742
Bacteroides sp. M10,0.0005958204564424714,2763022
Bacteroides caecimuris,0.0005868404947779278,1796613
Alistipes megaguti,0.0005796565254462928,2364787
Ruminococcus torques,0.0005742685484475667,33039
Alistipes sp. dk3624,0.0005387976998726192,2662363
Bacteroides sp. CACC 737,0.0005338587209571202,2755405
Bifidobacterium adolescentis,0.0005091638263796252,1680
Blautia sp. SC05B48,0.0004934488934666738,2479767
Solibaculum mannosilyticum,0.0004804279490530855,2780922
Bifidobacterium longum,0.0004543860602259089,216816
Coprococcus comes,0.00041981320781741584,410072
Bacteroides sp. HF-162,0.0004009552883218742,2785531
Oscillibacter valericigenes,0.0003856893534921499,351091
Phocaeicola salanitronis,0.0003838933611592412,376805
Ruminococcus gnavus,0.00035425948766624717,33038
Anaerostipes hadrus,0.0003479735145010666,649756
Lacrimispora saccharolytica,0.000336748562420387,84030
Blautia obeum,0.00032821759883907057,40520
Enterocloster bolteae,0.0003241766160900259,208479
Bacteroides intestinalis,0.00031744164484161816,329854
Bacteroides luhongzhouii,0.000316992646758391,2650158
Bacteroides sp. CBA7301,0.0003160946505919366,2715212
Coprococcus catus,0.0003098086774267561,116085
Anaerobutyricum hallii,0.00028870576751507845,39488
Escherichia coli,0.0002855627809324882,562
Christensenella minuta,0.0002783788116008533,626937
Xanthomonas euvesicatoria,0.0002599698901885388,456327
Faecalitalea cylindroides,0.0002339280013613622,39483
Coprococcus sp. ART55/1,0.0002231520473639098,751585
Enterocloster clostridioformis,0.00021956006269809234,1531
Acutalibacter muris,0.0002002531451193235,1796620
Bacteroides salyersiae,0.0001975591566199604,291644
Parabacteroides goldsteinii,0.0001894771911218711,328812
Longibaculum sp. KGMB06250,0.000186783202622508,2584943
Bacteroides sp. A1C1,0.00018319121795669054,2528203
Clostridium scindens,0.00017690524479151,29347
Lachnoclostridium phocaeense,0.00016882327929342069,1871021
Hungatella hathewayi,0.00015490433871337804,154046
Pseudomonas aeruginosa,0.0001504143578811062,287
Muribaculum gordoncarteri,0.0001432303885494713,2530390
Lachnospira eligens,0.00014188339429978974,39485
Dialister pneumosintes,0.00014098539813333537,39950
Bacteroides helcogenes,0.00013604641921783635,290053
Christensenella sp. Marseille-P3954,0.00013514842305138199,2086585
Blautia producta,0.00013200543646879173,33035
Coprobacter secundus,0.00012616846138683834,1501392
Blautia hansenii,0.00012033148630488496,1322
Prevotella melaninogenica,0.00011763749780552187,28132
Megamonas funiformis,0.00010551454955838794,437897
Tannerella sp. oral taxon HOT-286,0.00010326955914225202,712710
Bacteroides zoogleoformans,0.00010192256489257047,28119
Parabacteroides sp. CT06,9.967757447643456e-05,2025876
Duncaniella dubosii,9.473859556093556e-05,2518971
Prevotella dentalis,9.159560897834527e-05,52227
Lachnoclostridium sp. YL32,9.06976128118909e-05,1834196
Clostridium innocuum,9.06976128118909e-05,1522
Ruminococcus champanellensis,9.06976128118909e-05,1161942
Bacteroides heparinolyticus,8.755462622930063e-05,28113
Eubacterium sp. NSJ-61,8.710562814607345e-05,2764325
Prevotella denticola,8.530963581316471e-05,28129
Ethanoligenens harbinense,8.441163964671034e-05,253239
Enterococcus faecium,8.351364348025599e-05,1352
Adlercreutzia equolifaciens,8.30646453970288e-05,446660
Sodaliphilus pleomorphus,8.03706568976657e-05,2606626
Oxalobacter formigenes,7.812566648152978e-05,847
Blautia argi,7.767666839830261e-05,1912897
Clostridium sp. C1,7.632967414862106e-05,1155388
Muribaculum intestinale,6.959470290021332e-05,1796646
Gordonibacter pamelaeae,6.779871056730458e-05,471189
Butyrivibrio fibrisolvens,6.0614741235669665e-05,831
Prevotella ruminicola,5.97167450692153e-05,839
Ruminococcus bicirculans,5.70227565698522e-05,1160721
Longicatena caecimuris,5.612476040339784e-05,1796635
Porphyromonas gingivalis,5.567576232017066e-05,837
Adlercreutzia sp. 8CFCBH1,5.4328768070489106e-05,2707299
Blautia sp. YL58,5.343077190403474e-05,1796616
Eubacterium maltosivorans,5.298177382080756e-05,2041044
Haemophilus parainfluenzae,5.2083777654353194e-05,729
Eubacterium limosum,5.0287785321444466e-05,1736
Petrimonas mucosa,4.983878723821728e-05,1642646
Caproiciproducens sp. NJN-50,4.8940791071762914e-05,2507162
Prevotella intermedia,4.849179298853573e-05,28131
Blautia sp. LZLJ-3,4.804279490530855e-05,2779518
Caproiciproducens sp. 7D4C2,4.6695800655627e-05,2721621
Prevotella multiformis,4.2654817906582355e-05,282402
Clostridium hylemonae,4.2654817906582355e-05,89153
Komagataeibacter oboediens,4.2654817906582355e-05,65958
Eubacterium callanderi,4.130782365690081e-05,53442
Caproicibacterium amylolyticum,4.085882557367363e-05,2766537
Megasphaera elsdenii,3.996082940721926e-05,907
Fretibacterium fastidiosum,3.8613835157537715e-05,651822
Prevotella jejuni,3.816483707431053e-05,1177574
Campylobacter coli,3.771583899108335e-05,195
Clostridium sp. SY8519,3.771583899108335e-05,1042156
Erysipelatoclostridium ramosum,3.7266840907856164e-05,1547
Clostridium botulinum,3.5470848574947435e-05,1491
Homo sapiens,3.457285240849307e-05,9606
Slackia heliotrinireducens,3.4123854325265884e-05,84110
Monoglobus pectinilyticus,3.36748562420387e-05,1981510
Pseudobutyrivibrio xylanivorans,3.36748562420387e-05,185007
Megasphaera stantonii,3.36748562420387e-05,2144175
Lachnoanaerobaculum umeaense,3.2327861992357156e-05,617123
Prevotella sp. oral taxon 475,3.2327861992357156e-05,712471
Streptococcus pasteurianus,3.187886390912997e-05,197614
Amedibacterium intestinale,3.142986582590279e-05,2583452
Spirosoma rigui,3.142986582590279e-05,564064
Streptococcus suis,3.142986582590279e-05,1307
Porphyromonas sp. oral taxon 275,3.0980867742675605e-05,712435
Hymenobacter jejuensis,3.053186965944842e-05,2502781
Hymenobacter busanensis,3.008287157622124e-05,2607656
Ruminococcus albus,3.008287157622124e-05,1264
Olsenella umbonata,2.9633873492994057e-05,604330
Streptococcus gallolyticus,2.9633873492994057e-05,315405
Eggerthella lenta,2.9184875409766876e-05,84112
Pseudomonas putida,2.9184875409766876e-05,303
Stenotrophomonas maltophilia,2.8735877326539693e-05,40324
Lacrimispora sphenoides,2.8735877326539693e-05,29370
Desulfovibrio vulgaris,2.828687924331251e-05,881
Bacteroides coprosuis,2.783788116008533e-05,151276
Cloacibacillus porcorum,2.783788116008533e-05,1197717
Bifidobacterium dentium,2.783788116008533e-05,1689
Eubacterium cellulosolvens,2.7388883076858145e-05,29322
Anaerostipes rhamnosivorans,2.7388883076858145e-05,1229621
Treponema sp. RCC2812,2.693988499363096e-05,2787628
Anaerocolumna sp. CTTW,2.693988499363096e-05,2736602
Gordonibacter urolithinfaciens,2.649088691040378e-05,1335613
Faecalibaculum rodentium,2.649088691040378e-05,1702221
Pseudomonas fluorescens,2.5592890743949413e-05,294
Tannerella forsythia,2.5592890743949413e-05,28112
Acidaminococcus fermentans,2.5592890743949413e-05,905
Mageeibacillus indolicus,2.5592890743949413e-05,884684
Hymenobacter sp. BT18,2.5143892660722233e-05,2835648
Bifidobacterium breve,2.5143892660722233e-05,1685
Pontibacter russatus,2.469489457749505e-05,2694929
Ruminococcus sp. JE7A12,2.469489457749505e-05,2564099
Prevotella scopos,2.4245896494267865e-05,589437
Butyrivibrio proteoclasticus,2.4245896494267865e-05,43305
