Genus,RA,TAX_ID
unclassified,0.4033370677502928,12908
Bacteroides,0.13265511612293487,816
Ruminococcus,0.10673006685613824,1263
Phocaeicola,0.0847236084316094,909656
Faecalibacterium,0.02699647262301078,216851
Prevotella,0.026038474116551164,838
Alistipes,0.02346569968020305,239759
Phascolarctobacterium,0.017683409510232177,33024
Oscillibacter,0.01744501356853255,459786
Parabacteroides,0.011618576001950636,375288
Akkermansia,0.0055771745734088,239934
Bifidobacterium,0.002537116923700734,1678
Odoribacter,0.0024315027671927792,283168
Roseburia,0.002233518673160183,841
Coprococcus,0.0021971819697957098,33042
Ruthenibacterium,0.0020803611664557214,1905344
Dysosmobacter,0.0020749276407189777,2591381
Blautia,0.0020297614580322963,572511
Collinsella,0.0019767845820990457,102106
Clostridioides,0.0013264594704825413,1870884
Butyricimonas,0.0012897831717595216,574697
Flavonifractor,0.0012052239274814487,946234
Intestinimonas,0.0010934970545196576,1392389
Mediterraneibacter,0.0010829695984047169,2316020
Anaerobutyricum,0.0008537427313858445,2569097
Streptococcus,0.0007213005415527183,1301
Christensenella,0.0006642485213169101,990721
Anaerostipes,0.0005385982386547133,207244
Lachnoclostridium,0.0005358814757863415,1506553
Pseudomonas,0.0004930924606094853,286
Enterocloster,0.00045098263614972215,2719313
Faecalicatena,0.00044826587328135033,2005359
Streptomyces,0.0004306069146369335,1883
Paenibacillus,0.00041736269565362087,44249
Erysipelatoclostridium,0.0003851011365917055,1505663
Eubacterium,0.0003701589408156605,1730
Lachnospira,0.00034672686107595354,28050
Flintibacter,0.00033450142816828036,1918454
Adlercreutzia,0.000310050562352934,447020
Clostridium,0.00028729767333032,1485
Solibaculum,0.0002771098125739257,2842531
Dialister,0.000272355477554275,39948
Enterococcus,0.0002621676167978807,1350
Lacrimispora,0.00026080923536369476,2719231
Faecalitalea,0.0002445086581534638,1573534
Eggerthella,0.0002373771556239878,84111
Gordonibacter,0.00022922686701887232,644652
Xanthomonas,0.0001983236893911429,338
Acutalibacter,0.00019662571259841048,1918385
Massilistercora,0.00018847542399329502,2717089
Bacillus,0.00018643785184201616,1386
Corynebacterium,0.00016470374889504161,1716
Caproiciproducens,0.00016300577210230923,1738645
Treponema,0.00016028900923393738,157
Tannerella,0.0001300650223233009,195950
Barnesiella,0.00012191473371818544,397864
Veillonella,0.00012055635228399953,29465
Longibaculum,0.00011885837549126714,1918538
Hymenobacter,0.00011342484975452349,89966
Olsenella,0.00010901011009341929,133925
Haemophilus,0.00010527456114940804,724
Muribaculum,0.00010493496579086156,1918540
Burkholderia,0.00010255779828103622,32008
Butyrivibrio,9.542629575156018e-05,830
Selenomonas,9.542629575156018e-05,970
Neisseria,8.931357929772359e-05,482
Microbacterium,8.727600714644473e-05,33882
Porphyromonas,8.727600714644473e-05,836
Rhizobium,8.591762571225882e-05,379
Staphylococcus,8.286126748534052e-05,1279
Campylobacter,8.116329069260814e-05,194
Actinomyces,8.082369533406165e-05,1654
Desulfovibrio,8.082369533406165e-05,872
Chryseobacterium,7.980490925842221e-05,59732
Mycolicibacterium,7.40317881631321e-05,1866885
Sphingomonas,7.301300208749267e-05,13687
Monoglobus,7.301300208749267e-05,2039302
Komagataeibacter,7.199421601185324e-05,1434011
Bradyrhizobium,7.09754299362138e-05,374
Duncaniella,6.690028563365608e-05,2518495
Caproicibacterium,6.690028563365608e-05,2834348
Halomonas,6.520230884092369e-05,2745
Coprobacter,6.520230884092369e-05,1348911
Mesorhizobium,6.486271348237721e-05,68287
Schaalia,6.418352276528426e-05,2529408
Anaerocolumna,6.418352276528426e-05,1843210
Arthrobacter,6.384392740673778e-05,1663
Flavobacterium,6.282514133109834e-05,237
Nocardioides,6.214595061400538e-05,1839
Ethanoligenens,6.18063552554589e-05,253238
Vibrio,6.112716453836595e-05,662
Aeromonas,5.841040166999413e-05,642
Megasphaera,5.8070806311447655e-05,906
Mycobacterium,5.73916155943547e-05,1763
Lactococcus,5.705202023580822e-05,1357
Nocardia,5.6712424877261746e-05,1817
Rothia,5.637282951871527e-05,32207
Faecalibacillus,5.603323416016879e-05,2678885
Geobacter,5.4335257367436405e-05,28231
Paraprevotella,5.4335257367436405e-05,577309
Deinococcus,5.4335257367436405e-05,1298
Rhodococcus,5.127889914051811e-05,1827
Aminipila,5.0599708423425155e-05,2060094
Synechococcus,5.0599708423425155e-05,1129
Micromonospora,4.890173163069276e-05,1873
Thermomonas,4.890173163069276e-05,141948
Longicatena,4.788294555505333e-05,1918536
Chitinophaga,4.68641594794139e-05,79328
Capnocytophaga,4.516618268668151e-05,1016
Spirosoma,4.448699196958856e-05,107
Parolsenella,4.38078012524956e-05,2082587
Mucilaginibacter,4.143063374267026e-05,423349
Hungatella,4.1091038384123784e-05,1649459
Sphingobacterium,4.041184766703082e-05,28453
Variovorax,4.041184766703082e-05,34072
Fusobacterium,3.939306159139139e-05,848
Cohnella,3.939306159139139e-05,329857
Paraburkholderia,3.9053466232844914e-05,1822464
Enterobacter,3.9053466232844914e-05,547
Sodaliphilus,3.8713870874298436e-05,2815786
Cupriavidus,3.803468015720548e-05,106589
Murdochiella,3.803468015720548e-05,1161127
Pontibacter,3.701589408156605e-05,323449
Agrobacterium,3.667629872301957e-05,357
Acinetobacter,3.599710800592662e-05,469
Klebsiella,3.599710800592662e-05,570
Amycolatopsis,3.4978321930287186e-05,1813
Azoarcus,3.463872657174071e-05,12960
Bordetella,3.429913121319423e-05,517
Sphingobium,3.429913121319423e-05,165695
Stenotrophomonas,3.3959535854647755e-05,40323
Mycoplasma,3.361994049610128e-05,2093
Lysobacter,3.361994049610128e-05,68
Serratia,3.361994049610128e-05,613
Lactobacillus,3.32803451375548e-05,1578
Massilia,3.32803451375548e-05,149698
Azospirillum,3.2601154420461845e-05,191
Paracoccus,3.2601154420461845e-05,265
Amedibacterium,3.226155906191537e-05,2749267
Achromobacter,3.1582368344822414e-05,222
Spiroplasma,3.124277298627593e-05,2132
Pedobacter,3.02239869106365e-05,84567
Pseudoalteromonas,2.9884391552090024e-05,53246
Geobacillus,2.9544796193543547e-05,129337
Methylobacterium,2.886560547645059e-05,407
Polaribacter,2.8186414759357634e-05,52959
Plasmodium,2.8186414759357634e-05,5820
Brevibacterium,2.8186414759357634e-05,1696
Pantoea,2.7846819400811157e-05,53335
Cellulomonas,2.750722404226468e-05,1707
Shewanella,2.6828033325171725e-05,22
Sphingopyxis,2.614884260807877e-05,165697
Mageeibacillus,2.614884260807877e-05,1637257
Alloprevotella,2.614884260807877e-05,1283313
Microbulbifer,2.5809247249532293e-05,48073
Pseudobutyrivibrio,2.5469651890985816e-05,46205
Mogibacterium,2.5469651890985816e-05,86331
Sporosarcina,2.513005653243934e-05,1569
Gordonia,2.513005653243934e-05,2053
Acidaminococcus,2.513005653243934e-05,904
Dickeya,2.479046117389286e-05,204037
Pandoraea,2.479046117389286e-05,93217
Pseudodesulfovibrio,2.4111270456799903e-05,2035811
Arabia,2.4111270456799903e-05,2005386
Desulfotomaculum,2.343207973970695e-05,1562
Brevundimonas,2.343207973970695e-05,41275
Brevibacillus,2.309248438116047e-05,55080
Sorangium,2.309248438116047e-05,39643
Sinorhizobium,2.207369830552104e-05,28105
Citrobacter,2.207369830552104e-05,544
Homo,2.1734102946974563e-05,9605
Pectobacterium,2.1394507588428085e-05,122277
Cytobacillus,2.1394507588428085e-05,2675230
Comamonas,2.1054912229881608e-05,283
Leptotrichia,2.071531687133513e-05,32067
Actinoplanes,2.0375721512788653e-05,1865
Acidovorax,1.9696530795695695e-05,12916
Pseudonocardia,1.9356935437149218e-05,1847
Propionibacterium,1.9356935437149218e-05,1743
Desulfonema,1.9356935437149218e-05,45654
Rhodoferax,1.901734007860274e-05,28065
Ligilactobacillus,1.8677744720056264e-05,2767887
Candidatus Kinetoplastibacterium,1.8677744720056264e-05,33055
Polynucleobacter,1.8677744720056264e-05,44013
Frankia,1.8677744720056264e-05,1854
Proteiniphilum,1.8338149361509786e-05,294702
Tumebacillus,1.799855400296331e-05,432330
Kocuria,1.799855400296331e-05,57493
Ralstonia,1.7658958644416832e-05,48736
Desulfitobacterium,1.7319363285870355e-05,36853
Sodalis,1.7319363285870355e-05,84565
Solitalea,1.66401725687774e-05,929509
Lachnoanaerobaculum,1.66401725687774e-05,1164882
Alicyclobacillus,1.66401725687774e-05,29330
Sulfurospirillum,1.66401725687774e-05,57665
Corallococcus,1.6300577210230923e-05,83461
Thermaerobacter,1.6300577210230923e-05,73918
Anaerotignum,1.6300577210230923e-05,2039240
Faecalibaculum,1.6300577210230923e-05,1729679
Dehalobacter,1.6300577210230923e-05,56112
Petrimonas,1.5960981851684445e-05,307628
Erythrobacter,1.5960981851684445e-05,1041
Levilactobacillus,1.5960981851684445e-05,2767886
Limosilactobacillus,1.5960981851684445e-05,2742598
Rubrobacter,1.5621386493137965e-05,42255
Ndongobacter,1.5621386493137965e-05,1930845
Desulfosporosinus,1.5621386493137965e-05,79206
Slackia,1.5621386493137965e-05,84108
Bosea,1.5281791134591488e-05,85413
Rhodopseudomonas,1.5281791134591488e-05,1073
Acetivibrio,1.4942195776045012e-05,35829
Roseomonas,1.4942195776045012e-05,125216
Kosakonia,1.4942195776045012e-05,1330547
