Species,RA,TAX_ID
Bacteroides,0.30742194340238194,816
Alistipes,0.1686330222767655,239759
Tidjanibacter,0.09895228213506438,1929083
Prevotella,0.07382834269554749,838
Parabacteroides,0.058959969541015365,375288
Akkermansia,0.04700398248317744,239934
Dialister,0.022625350855968673,39948
Odoribacter,0.020895139568560688,283168
Oscillibacter,0.01995201547362922,459786
Butyricimonas,0.014699802438026648,574697
Clostridium,0.011949992625031153,1485
Ruminococcus,0.010932937192149545,1263
Barnesiella,0.00910772322722824,397864
Roseburia,0.008053066352195088,841
Phascolarctobacterium,0.007973685529875164,33024
Blautia,0.007295224725836442,572511
Culturomica,0.0070630766916834325,1926651
Sutterella,0.006049109299944706,40544
Lachnoclostridium,0.005664375703437608,1506553
Ruthenibacterium,0.004904899231768023,1905344
Anaerotruncus,0.004718163567363256,244127
Eubacterium,0.004631880064841598,1730
Faecalibacterium,0.003903647303558804,216851
Tyzzerella,0.0035530638091023827,1506577
Porphyromonas,0.0031465322751161287,836
Mediterranea,0.002888771664425112,1926659
Dorea,0.0027578023900711847,189330
Coprococcus,0.0026864141448269497,33042
Intestinimonas,0.002685324247952992,1392389
Angelakisella,0.002500586727817147,1935176
Fusicatenibacter,0.0022916898269752383,1407607
Flavonifractor,0.002151819728150656,946234
Ruminiclostridium,0.0021347446771253172,1508657
Rikenella,0.002114763234436091,28138
Pseudoflavonifractor,0.0021140366365201193,1017280
Myroides,0.0019383815903339227,76831
Riemerella,0.0019042314882832454,34084
Prevotellamassilia,0.0018390193253247711,1926672
Collinsella,0.0018268488102322425,102106
Fournierella,0.001712227988987682,1940255
Escherichia,0.0015710863438101487,561
Paraprevotella,0.0015173180980282313,577309
Subdoligranulum,0.0014101449054223824,292632
Holdemania,0.0013218632586318017,61170
Bifidobacterium,0.001203246148849396,1678
Butyricicoccus,0.0011529292431683446,580596
Traorella,0.0011284065635042946,1929045
Lactonifactor,0.0010419414115036434,420345
Vaginella,0.0010221416182934105,1935184
Emergencia,0.0009861750214528035,1926556
Sanguibacteroides,0.0009509350225281684,1635148
Anaerostipes,0.0008615634788636299,207244
Staphylococcus,0.0008328628611827415,1279
Streptococcus,0.0006741012165428907,1301
Acetivibrio,0.0006404960629291923,35829
Coprobacter,0.0006363181249123541,1348911
Lachnoanaerobaculum,0.0006272356509627059,1164882
Erysipelatoclostridium,0.0006270540014837129,1505663
Hungatella,0.0006205146202399662,1649459
Faecalitalea,0.0005529410140545835,1573534
Massilioclostridium,0.000529871530222477,1935927
Bilophila,0.0005255119427266459,35832
Shigella,0.0005088001906592932,620
Merdibacter,0.0004971746240037434,1935200
Butyrivibrio,0.0004922700880709334,830
Holdemanella,0.0004779197792304892,1573535
Sellimonas,0.00046247957351608723,1769710
Desulfovibrio,0.00044776596571765713,872
Phocea,0.00039617751368365524,1926663
Alloprevotella,0.0003927261735827889,1283313
Solobacterium,0.000392362874624803,123375
Catenibacterium,0.000382190503801197,135858
Parasutterella,0.00037038328766665434,577310
Acinetobacter,0.0003445890616496534,469
Clostridioides,0.00032805895906129365,1870884
Neglecta,0.0003189764851116454,1924105
Bittarella,0.0003002665887753701,1929297
Bariatricus,0.0002991766919014123,1924081
Fibrobacter,0.0002913657643047148,832
Lactobacillus,0.00024322865237157927,1578
Coprobacillus,0.00022887834353113508,100883
Stomatobaculum,0.00019999607637125375,1213720
Pontibacillus,0.00019745298366535225,289201
Eisenbergiella,0.0001956364888754226,1432051
Chryseobacterium,0.00019472824148045778,59732
Gabonia,0.00017674494306015433,1923867
Marvinbryantia,0.00016748081963151312,248744
Veillonella,0.00016402947953064682,29465
Megasphaera,0.00015821669620287194,906
Criibacterium,0.00014858927381624485,1937664
Acidaminococcus,0.00014840762433725188,904
Tannerella,0.00014132329465652626,195950
Hespellia,0.00012170515092528612,241189
Gabonibacter,0.0001202519550933424,1911312
Enterococcus,0.00011879875926139869,1350
Megamonas,0.00011607401707650422,158846
Dielma,0.00010753649156383489,1472649
Sharpea,0.00010699154312685601,519427
Drancourtella,0.00010626494521088414,1903506
Mobiluncus,0.00010481174937894044,2050
Treponema,9.93622650091515e-05,157
Allobaculum,9.391278063936256e-05,174708
Johnsonella,9.373113116036961e-05,43994
Synergistes,8.791834783259475e-05,2753
Cellulomonas,8.501195616870731e-05,1707
Oxalobacter,8.483030668971435e-05,846
Selenomonas,7.738267805100281e-05,970
Sphaerochaeta,6.666535879041792e-05,399320
Faecalicoccus,6.648370931142495e-05,1573536
Sporobacter,6.557546191646013e-05,44748
Haemophilus,6.412226608451642e-05,724
Sphingobacterium,6.394061660552345e-05,28453
Slackia,6.230577129458677e-05,84108
Actinomyces,6.030762702566416e-05,1654
Gordonibacter,5.794618379875563e-05,644652
Candidatus Stoquefichus,5.75828848407697e-05,1470349
Oribacterium,5.75828848407697e-05,265975
Pseudobutyrivibrio,5.6129689008825984e-05,46205
Eggerthella,5.431319421889634e-05,84111
Macellibacteroides,5.340494682393152e-05,1159323
Catabacter,5.2496699428966696e-05,270497
Turicibacter,5.1225153076015945e-05,191303
Kandleria,5.0680204639037055e-05,1279388
Mucinivorans,4.959030776507927e-05,1611681
Adlercreutzia,4.922700880709334e-05,447020
Olsenella,4.886370984910741e-05,133925
Murdochiella,4.722886453817073e-05,1161127
Heliobacterium,4.668391610119184e-05,2697
Enorma,4.595731818521998e-05,1472762
Flavobacterium,4.17793801683818e-05,237
Acetitomaculum,4.0144534857445125e-05,31980
Intestinibacter,3.8146390588522514e-05,1505657
Corynebacterium,3.7419792672550654e-05,1716
Negativicoccus,3.723814319355769e-05,909928
Phaeodactylibacter,3.705649371456473e-05,1564515
Campylobacter,3.66931947565788e-05,194
Sporomusa,3.560329788262101e-05,2375
Beduini,3.542164840362805e-05,1922299
Proteiniphilum,3.433175152967026e-05,294702
Lachnobacterium,3.378680309269137e-05,140625
Peptoniphilus,3.342350413470544e-05,162289
Faecalibaculum,3.178865882376876e-05,1729679
Cutibacterium,3.16070093447758e-05,1912216
Mucilaginibacter,3.088041142880394e-05,423349
Dysgonomonas,2.924556611786726e-05,156973
Allisonella,2.9063916638874297e-05,209879
Catonella,2.8155669243909474e-05,43996
Cloacibacillus,2.706577236995169e-05,508459
Bacillus,2.6520823932972796e-05,1386
Neisseria,2.6157524974986866e-05,482
Atopobium,2.543092705901501e-05,1380
Tepidanaerobacter,2.5249277580022046e-05,499228
Varibaculum,2.5249277580022046e-05,184869
Saccharicrinis,2.5249277580022046e-05,1618113
Massilia,2.4341030185057222e-05,149698
Succinispira,2.3069483832106472e-05,78119
Hydrogenoanaerobacterium,2.216123643714165e-05,596767
Empedobacter,2.1434638521169795e-05,59734
Yersinia,2.1434638521169795e-05,629
Herbaspirillum,1.9436494252247187e-05,963
Gardnerella,1.9436494252247187e-05,2701
Dyadobacter,1.8528246857282363e-05,120831
Capnocytophaga,1.8528246857282363e-05,1016
Pedobacter,1.8164947899296437e-05,84567
Cloacibacterium,1.8164947899296437e-05,501783
Desulfotomaculum,1.798329842030347e-05,1562
Fermentimonas,1.7619999462317543e-05,1784836
Mageeibacillus,1.7438349983324576e-05,1637257
Mycoplasma,1.7438349983324576e-05,2093
Petrimonas,1.707505102533865e-05,307628
Desulfitobacterium,1.707505102533865e-05,36853
Denitrobacterium,1.671175206735272e-05,79603
Paludibacter,1.6166803630373826e-05,346096
Elizabethkingia,1.5985154151380863e-05,308865
Candidatus Soleaferrea,1.58035046723879e-05,1470353
Rothia,1.544020571440197e-05,32207
Carnobacterium,1.5258556235409006e-05,2747
Leptospira,1.4895257277423077e-05,171
Draconibacterium,1.4895257277423077e-05,1471399
Anaeroglobus,1.3987009882458255e-05,156454
Ethanoligenens,1.380536040346529e-05,253238
Pelosinus,1.380536040346529e-05,365348
Senegalimassilia,1.289711300850047e-05,1473205
Urmitella,1.289711300850047e-05,1965226
Lentimicrobium,1.253381405051454e-05,1840214
Paraburkholderia,1.2352164571521576e-05,1822464
Acetobacter,1.2352164571521576e-05,434
Anaerosporobacter,1.1807216134542683e-05,653683
Peptostreptococcus,1.162556665554972e-05,1257
Citrobacter,1.1262267697563789e-05,544
Erysipelothrix,1.1080618218570826e-05,1647
Bibersteinia,1.1080618218570826e-05,476528
Anaeromassilibacillus,1.089896873957786e-05,1924093
Anaerococcus,1.0354020302598969e-05,165779
Levyella,1.0172370823606004e-05,1715798
Pontibacter,1.0172370823606004e-05,323449
Salmonella,9.990721344613039e-06,590
Flectobacillus,9.809071865620075e-06,101
Rhodospirillum,9.62742238662711e-06,1081
Methanosarcina,9.264123428641182e-06,2207
Klebsiella,9.082473949648218e-06,570
Lautropia,8.900824470655253e-06,47670
Janthinobacterium,8.900824470655253e-06,29580
Fusobacterium,8.900824470655253e-06,848
Acetanaerobacterium,8.900824470655253e-06,258514
Filifactor,8.719174991662288e-06,44259
Thermosinus,8.719174991662288e-06,261684
Desulfosporosinus,8.719174991662288e-06,79206
Gallibacterium,8.719174991662288e-06,155493
Lelliottia,8.537525512669325e-06,1330545
Kluyvera,8.35587603367636e-06,579
Trueperella,8.174226554683396e-06,1069494
Lactococcus,8.174226554683396e-06,1357
Lascolabacillus,8.174226554683396e-06,1924067
Robinsoniella,7.992577075690431e-06,588605
Brevibacillus,7.810927596697468e-06,55080
Geofilum,7.810927596697468e-06,1236988
Anaerophaga,7.629278117704503e-06,177399
Geosporobacter,7.629278117704503e-06,390805
Enterorhabdus,7.4476286387115386e-06,580024
Azospirillum,7.4476286387115386e-06,191
Alkaliflexus,7.4476286387115386e-06,286729
Enterobacter,7.265979159718574e-06,547
Labilibacter,6.902680201732645e-06,1849718
Libanicoccus,6.902680201732645e-06,1935188
Thermophagus,6.902680201732645e-06,1434049
Chromobacterium,6.5393812437467166e-06,535
Alkaliphilus,6.5393812437467166e-06,114627
Anaerobium,6.357731764753752e-06,1855714
Bulleidia,6.176082285760788e-06,118747
Facklamia,6.176082285760788e-06,66831
Moraxella,6.176082285760788e-06,475
Algoriphagus,5.994432806767824e-06,246875
Streptomyces,5.81278332777486e-06,1883
Eggerthia,5.81278332777486e-06,1279384
Cellulosilyticum,5.81278332777486e-06,698776
Phocaeicola,5.6311338487818946e-06,909656
Leuconostoc,5.44948436978893e-06,1243
Cupriavidus,5.44948436978893e-06,106589
Exiguobacterium,5.44948436978893e-06,33986
Spiroplasma,5.267834890795966e-06,2132
Pseudobacteroides,5.267834890795966e-06,1486726
Tenacibaculum,5.086185411803002e-06,104267
Emticicia,5.086185411803002e-06,312278
Hathewaya,5.086185411803002e-06,1769729
Anaerocolumna,4.722886453817073e-06,1843210
Peptoclostridium,4.541236974824109e-06,1481960
Peptoanaerobacter,4.359587495831144e-06,1913599
Caldicellulosiruptor,4.359587495831144e-06,44000
Fenollaria,4.359587495831144e-06,1686313
Morococcus,4.17793801683818e-06,212742
Thermoanaerobacterium,4.17793801683818e-06,28895
Christensenella,4.17793801683818e-06,990721
Bordetella,3.996288537845216e-06,517
Macrococcus,3.996288537845216e-06,69965
Chitinophaga,3.996288537845216e-06,79328
Haliscomenobacter,3.996288537845216e-06,2349
Mariniphaga,3.8146390588522514e-06,1573806
Prolixibacter,3.8146390588522514e-06,314318
Massiliomicrobiota,3.632989579859287e-06,1924110
Kinetoplastibacterium,3.632989579859287e-06,33055
Cronobacter,3.632989579859287e-06,413496
Kosakonia,3.632989579859287e-06,1330547
Epulopiscium,3.4513401008663225e-06,2383
Actinobaculum,3.4513401008663225e-06,76833
Aggregatibacter,3.4513401008663225e-06,416916
Dehalobacter,3.4513401008663225e-06,56112
Alicyclobacillus,3.2696906218733583e-06,29330
Globicatella,3.2696906218733583e-06,13075
