Species,RA,TAX_ID
Ruminococcus bicirculans,0.16639645097874645,1160721
Bacteroides vulgatus,0.07853729152305486,821
Bacteroides vulgatus CAG:6,0.05669774873258523,1263056
Bacteroides uniformis,0.04443354918483533,820
Alistipes putredinis,0.039402568784225094,28117
Bacteroides ovatus,0.02841017931161426,28116
Bacteroides dorei CAG:222,0.028239565049821353,1263042
Bacteroides ovatus CAG:22,0.0222223547183634,1263050
Bacteroides sp. D2,0.021563135455952093,556259
Oscillibacter sp. ER4,0.020803779686843334,1519439
Prevotella copri,0.019229878409820045,165179
Bacteroides stercoris,0.017965865222988712,46506
Bacteroides faecis CAG:32,0.01632377939331342,1263044
Bacteroides thetaiotaomicron,0.015628021771969758,818
Phascolarctobacterium sp. CAG:207,0.014100596064467119,1262914
Bacteroides coprocola,0.012998482970143574,310298
Bacteroides plebeius,0.012187300825812776,310297
Alistipes shahii,0.01045593298100571,328814
Bacteroides fragilis,0.009970691343971041,817
Firmicutes bacterium CAG:83,0.00989302822121943,1262992
Bacteroides finegoldii CAG:203,0.009679760393978295,1263045
Bacteroides fluxus,0.009130003328201146,626930
Parabacteroides distasonis,0.008268523610277276,823
Dialister invisus,0.007632236372300499,218538
Clostridium leptum,0.007338247819049816,1535
Bacteroides coprophilus,0.006997783696278484,387090
Bacteroides cellulosilyticus,0.006984330241943559,246787
Dialister invisus CAG:218,0.0067319250930008255,1263072
Bacteroides oleiciplenus,0.006554278343714661,626931
Faecalibacterium prausnitzii,0.006500158766049168,853
Prevotella stercorea,0.006354616850971347,363265
Clostridium leptum CAG:27,0.005995195588000803,1263068
Bacteroides sp. CAG:98,0.005478460637409378,1262754
Bacteroides finegoldii,0.005095648709515613,338188
Akkermansia sp. CAG:344,0.004651990476788893,1262691
Bacteroides salyersiae,0.004354179919465788,291644
Alistipes indistinctus,0.004186776141093714,626932
Blautia obeum,0.0038401968118065067,40520
Mediterranea massiliensis,0.003724925168982266,1841865
Roseburia faecis,0.0036993941817784885,301302
Bacteroides faecichinchillae,0.0036804370415792764,871325
Ruminococcaceae bacterium D16,0.0035298500811258584,552398
Odoribacter splanchnicus,0.003437663342899045,28118
Bacteroides thetaiotaomicron CAG:40,0.0031071364307160097,1263054
Fusicatenibacter saccharivorans,0.0030274858658467397,1150298
Alistipes finegoldii,0.0030224408204711432,214856
Dorea longicatena,0.0028681847361082,88431
Parabacteroides johnsonii,0.002856412963565141,387661
Roseburia intestinalis,0.0028142180386056047,166486
Prevotella sp. 109,0.0027654492666415024,1676614
Roseburia inulinivorans,0.0027157632137000194,360807
Angelakisella massiliensis,0.002608441339346416,1871018
Parabacteroides gordonii,0.0025957522858259755,574930
Eubacterium rectale,0.002581993071165257,39491
Barnesiella intestinihominis,0.0025613542491741796,487174
Collinsella aerofaciens,0.0025187006837259526,74426
Culturomica massiliensis,0.002390739987381271,1841857
Coprococcus comes,0.0023806498966300778,410072
Roseburia hominis,0.0022886160385661614,301301
Odoribacter sp. 43_10,0.002227158213081619,1897010
Porphyromonas somerae,0.0021935245772443076,322095
Prevotella corporis,0.0021817528047012483,28128
Prevotella sp. S7-1-8,0.00213818195827564,1284775
Bacteroides sp. 43_46,0.002109899128139719,1897051
Blautia sp. KLE 1732,0.002087731504519673,1226324
Barnesiella viscericola,0.0020632706784561735,397865
Bacteroides barnesiae,0.002051040265424424,376804
Ruminococcus faecis,0.0020317773648994178,592978
Anaerotruncus colihominis,0.002011444303234134,169435
Dorea formicigenerans,0.001990346840754366,39486
Bacteroides caccae CAG:21,0.001977352026908132,1263037
Rikenella microfusus,0.0019684849774601132,28139
Bacteroides neonati,0.0019073329123013647,1347393
Tyzzerella nexilis,0.0019068742718126742,29361
Oscillibacter sp. KLE 1745,0.0018980072223646555,1226323
Emergencia timonensis,0.001885471049007112,1776384
Odoribacter splanchnicus CAG:14,0.0018698772723916312,1263090
Riemerella columbina,0.001831198591178723,103810
Ruthenibacterium lactatiformans,0.0018162163352148295,1550024
Eubacterium ventriosum,0.001774021410255293,39496
Firmicutes bacterium CAG:24,0.0017451270594677844,1263012
Eubacterium ramulus,0.0017435982578388157,39490
Oscillibacter sp. 57_20,0.001733661047250519,1897011
Sanguibacteroides justesenii,0.001724182477150913,1547597
Clostridium sp. M62/1,0.0017154683078657914,411486
Akkermansia muciniphila,0.0016951352462005076,239935
Clostridium innocuum,0.001654316242707043,1522
Prevotellamassilia timonensis,0.0016112040367701253,1852370
Intestinimonas massiliensis,0.0015974448221094068,1673721
Pseudoflavonifractor capillosus,0.001579404962887576,106588
Ruminococcus lactaris,0.0015694677522992795,46228
Clostridioides difficile,0.0015326236330411335,1496
Clostridiales bacterium 59_14,0.0014586296341990478,1897049
Eubacterium contortum,0.0014558777912669042,39482
Fournierella massiliensis,0.0014509856260542043,1650663
Clostridium sp. L2-50,0.001434627448624239,411489
Bifidobacterium adolescentis,0.0014142943869589553,1680
Subdoligranulum variabile,0.0014139886266331615,214851
Clostridium citroniae,0.0013633852927142972,358743
Clostridium symbiosum,0.001339841747628179,1512
Intestinimonas butyriciproducens,0.0013389244666507977,1297617
Massilioclostridium coli,0.001332656379972026,1870991
Prevotella bivia,0.001315992442216267,28125
Clostridia bacterium UC5.1-1E11,0.001292143136804355,1697793
Holdemania filiformis,0.0012643189471571246,61171
Faecalitalea cylindroides,0.00119368831189877,39483
Parabacteroides goldsteinii,0.0011924652705955952,328812
Alistipes senegalensis,0.0011768714939801143,1288121
Firmicutes bacterium CAG:41,0.0011727437295818988,1263021
Ruminococcus albus,0.0011680044445320956,1264
Clostridia bacterium UC5.1-1D1,0.0011644882007854677,1697794
Hungatella hathewayi,0.0011429320978170088,154046
Prevotella disiens,0.0011255037592467656,28130
Paraprevotella xylaniphila,0.0011025717348122348,454155
Prevotella amnii,0.0010885067598257227,419005
Clostridium clostridioforme,0.0010875894788483415,1531
Ruminococcus flavefaciens,0.0010510511199159894,1265
Ruminococcus callidus,0.0010175703642415746,40519
Traorella massiliensis,0.0010024352281147843,1903263
Clostridium lactatifermentans,0.000969565993091957,160404
Ruminococcus champanellensis,0.0009512203735443324,1161942
Bacteroides salanitronis,0.0009258422665034518,376805
Ruminococcus torques,0.0009117772915169396,33039
Alistipes obesi,0.0009082610477703116,1118061
Prevotella buccalis,0.0008775321350280405,28127
Dorea sp. 5-2,0.0008744745317701031,1235798
Erysipelotrichaceae bacterium 21_3,0.0008411466562585852,658657
Merdibacter massiliensis,0.0008405351356069976,1871030
Clostridiales bacterium 1_7_47FAA,0.0008039967766746455,457421
Blautia hansenii,0.0007853453968012272,1322
Coprococcus eutactus,0.0007766312275161055,33043
Prevotella sp. CAG:1320,0.000761801851715109,1262922
Bittarella massiliensis,0.0007610374509006247,1720313
Ruminococcus sp. NK3A76,0.0007562981658508217,877411
Coprobacillus sp. D6,0.0007501829593349468,556262
Eubacterium dolichum,0.0007495714386833594,31971
Collinsella sp. CAG:166,0.0007480426370543907,1262850
Phascolarctobacterium succinatutens,0.0007480426370543907,626940
Butyricicoccus pullicaecorum,0.0007365766248371253,501571
Flavonifractor plautii,0.0007303085381583535,292800
Clostridium scindens,0.0007300027778325599,29347
Bacteroides pectinophilus,0.000716855083823429,384638
Eubacterium sp. ER2,0.0007147147615428727,1519438
Butyrivibrio crossotus,0.0006911712164567545,45851
Neglecta timonensis,0.0006865848115698484,1776382
Phocea massiliensis,0.0006789408034250049,1841867
bacterium LF-3,0.0006664046300674614,1504823
Eubacterium hallii,0.0006618182251805553,39488
Solobacterium moorei,0.000660900944203174,102148
Holdemania sp. Marseille-P2844,0.0006558558988275774,1852366
Blautia schinkii,0.0006532569360583305,180164
Erysipelotrichaceae bacterium 5_2_54FAA,0.0006520338947551555,552396
Lactonifactor longoviformis,0.000651422374103568,341220
Alistipes timonensis,0.0006474474898682494,1465754
Criibacterium bergeronii,0.0006454600477505901,1871336
Clostridium sp. CAG:91,0.000636134357813881,1262845
Eubacterium sp. CAG:180,0.0006203877010355032,1262882
Lachnospiraceae bacterium TF01-11,0.0006125908127277628,1703332
Acetivibrio ethanolgignens,0.0006101447301214128,290052
Ruminococcus sp. CAG:254,0.0005994431187186319,1262953
Ruminococcus torques CAG:61,0.000596844155949385,1263108
Lachnoanaerobaculum sp. OBRC5-5,0.0005902703089448195,936595
Prevotella salivae,0.0005890472676416446,228604
Eubacterium sp. 3_1_31,0.0005866011850352947,457402
Clostridium bolteae,0.0005804859785194198,208479
Clostridium sp. KLE 1755,0.0005801802181936261,1226325
Ruminococcus sp. FC2018,0.0005740650116777512,1410617
Anaerostipes hadrus,0.0005711602885827107,649756
Erysipelotrichaceae bacterium I46,0.0005251433595507525,1834207
Eubacterium sp. 14-2,0.0005234616777588869,1235790
Coprobacter secundus,0.0005164291902656308,1501392
Bariatricus massiliensis,0.000510313983749756,1745713
Ruminococcus sp. AT10,0.0005048102978854686,1720300
Christensenellaceae bacterium Phil1,0.0004957903682745532,1930012
Lachnospiraceae bacterium M18-1,0.00048539451719756597,1235792
Faecalibacterium sp. CAG:82-related_59_9,0.00048493587670887534,1897006
Clostridium sp. CAG:127,0.0004803494718219692,1262774
Prevotella sp. CAG:604,0.0004768332280753412,1262932
Prevotella sp. CAG:386,0.00047484578595768186,1262925
Butyricicoccus sp. K4410.MGS-46,0.00047469290579478496,1828554
Parasutterella excrementihominis,0.0004667431373241477,487175
Blautia sp. CAG:37_48_57,0.0004661316166725602,1896976
Lachnospiraceae bacterium A2,0.00046261537292593215,397290
Holdemania massiliensis,0.0004620038522743447,1468449
Eubacterium siraeum,0.0004606279308082728,39492
Intestinibacter bartlettii,0.0004442697533783076,261299
Clostridium asparagiforme,0.000443811112889617,333367
Coprococcus sp. HPP0048,0.00044151791044616393,1078091
Blautia hydrogenotrophica,0.00043188646018366107,53443
Clostridium phoceensis,0.00043035765855469236,1650661
Holdemanella biformis,0.00040956595640071787,1735
Dorea sp. 42_8,0.00038938577489833085,1896999
Prevotella scopos,0.000378531283332653,589437
Coprococcus sp. 43_8,0.0003770024817036843,1896996
Alistipes sp. Zagget8,0.00037455639909733435,1930002
Ruminococcus sp. HUN007,0.00036981711404753133,1514668
Anaerotruncus sp. G3(2012),0.0003684411925814595,1235835
Clostridium saccharogumia,0.00036737103144118144,341225
Blautia sp. CAG:37,0.0003670652711153877,1262757
Eubacterium eligens,0.0003647720686719346,39485
Eubacterium sp. 45_250,0.0003632432670429659,1897004
Prevotella sp. S7 MS 2,0.0003563636597126067,1287488
Parasutterella excrementihominis CAG:233,0.0003514714944999068,1263099
Clostridium glycyrrhizinilyticum,0.00033755939967629155,342942
Prevotella pallens,0.0003309855526717261,60133
Lachnospiraceae bacterium 28-4,0.0003279279494137887,397287
Gabonia massiliensis,0.00032716354859930433,1686296
Bacteroides sp. 41_26,0.00032104834208342945,1896973
Ruminococcus gnavus,0.0003172263380110077,33038
Prevotella timonensis,0.00031508601573045146,386414
Pontibacillus litoralis,0.00030056240025524874,516703
Bacteroides reticulotermitis,0.0003001037597665581,1133319
Prevotella nanceiensis,0.00029352991276199267,425941
Hespellia stercorisuis,0.00028924926820088023,180311
Firmicutes bacterium CAG:65,0.00028542726412845846,1262994
Akkermansia sp. UNK.MGS-1,0.00028512150380266473,1638783
Firmicutes bacterium CAG:466,0.00028450998315107727,1263025
Gabonibacter massiliensis,0.0002745727725627806,1720195
Oscillibacter sp. 1-3,0.0002712094089790495,1235797
Prevotella histicola,0.00026647012392924646,470565
Bacteroides pyogenes,0.0002635654008342059,310300
Clostridium sp. CAG:505,0.00025255802910563116,1262814
Oscillibacter valericigenes,0.0002487360250332094,351091
Firmicutes bacterium ASF500,0.0002485831448703125,1378168
Prevotella sp. P4-76,0.00024843026470741566,1602169
Clostridium aminophilum,0.0002459841821010657,1526
Prevotella marshii,0.00024246793835443767,189722
Clostridiales bacterium VE202-08,0.00024216217802864394,1232449
Murdochiella sp. Marseille-P2341,0.0002386459342820159,1852373
Faecalicoccus pleomorphus,0.0002360469715127691,1323
Lachnospiraceae bacterium 2_1_46FAA,0.00023268360792903792,742723
Stomatobaculum longum,0.0002317663269516567,796942
Anaerostipes caccae,0.00022977888483399737,105841
Veillonella magna,0.00022947312450820364,464322
Firmicutes bacterium CAG:270,0.00022473383945840062,1263014
Fibrobacter sp. UWB12,0.00022335791799232878,1896203
Heliobacterium sp. N15.MGS-306,0.00021800711229093828,1637507
Prevotella melaninogenica,0.00021617255033617584,28132
Clostridium sp. HGF2,0.00021296206691534154,908340
Akkermansia sp. 54_46,0.00021173902561216656,1896967
Eubacterium plexicaudatum,0.00020868142235422915,97253
Clostridium methylpentosum,0.00020715262072526044,84026
Paraprevotella clara CAG:116,0.0002051651786076011,1263095
Acidaminococcus fermentans,0.0001982855712772419,905
Staphylococcus sp. CAG:324,0.00019797981095144817,1262969
Gardnerella vaginalis,0.0001973682902998607,2702
Akkermansia muciniphila CAG:154,0.00019583948867089198,1263034
Dialister succinatiphilus,0.00019476932753061387,487173
Bacteroides sp. CAG:1076,0.0001935462862274389,1262735
Odoribacter laneus,0.0001877368400373578,626933
Firmicutes bacterium CAG:240,0.00018376195580203914,1263013
Bacteroidales bacterium 55_9,0.0001825389144988642,1897041
Adlercreutzia equolifaciens,0.0001797870715667205,446660
Megasphaera sp. UPII 135-E,0.00017688234847167996,1000569
Sellimonas intestinalis,0.00017627082782009247,1653434
Butyricicoccus desmolans,0.00017565930716850498,39484
Porphyromonas sp. COT-239 OH1446,0.00017214306342187694,1515613
Acidaminococcus intestini,0.0001690854601639395,187327
Lachnospiraceae bacterium A4,0.00016893258000104264,397291
Akkermansia sp. Phil8,0.00016832105934945515,1929996
Bilophila wadsworthia,0.0001664864973946927,35833
Eisenbergiella tayi,0.00016633361723179582,1432052
Prevotella sp. CAG:732,0.00016434617511413652,1262934
Eubacterium sp. CAG:146,0.0001579252082724679,1262879
Ruminococcus sp. Phil15,0.00015624352648060233,1930000
Butyricimonas synergistica,0.0001548676050145305,544644
Lachnospiraceae bacterium 10-1,0.00015471472485163363,1235800
Enterococcus cecorum,0.00015395032403714927,44008
Allisonella histaminiformans,0.00015089272077921183,209880
Eggerthella lenta,0.00014768223735837755,84112
Clostridium sp. CAG:352,0.00014615343572940885,1262798
Butyricimonas virosa,0.00014493039442623387,544645
Prevotella sp. CAG:520,0.00014386023328595576,1262929
Candidatus Gastranaerophilales bacterium MH_37,0.00014386023328595576,1906168
Sharpea azabuensis,0.00013988534905063713,322505
Gordonibacter pamelaeae,0.0001394267085619465,471189
Prevotella baroniae,0.00013591046481531847,305719
Clostridium sp. CAG:413,0.00013514606400083412,1262803
Bacteroides fragilis CAG:47,0.00012918373764785613,1263046
Alloprevotella tannerae,0.00012918373764785613,76122
Lachnospiraceae bacterium 3-1,0.00012689053520440307,397288
Christensenellaceae bacterium Phil10,0.0001267376550415062,1930014
Acinetobacter sp. N54.MGS-139,0.0001261261343899187,1637509
Johnsonella ignava,0.00011970516754825013,43995
Lactobacillus aviarius,0.00011909364689666264,1606
Bacteroides paurosaccharolyticus,0.00011848212624507515,732242
Mobiluncus curtisii,0.00011618892380162209,2051
Collinsella sp. MS5,0.00011573028331293147,1499681
Veillonella seminalis,0.00011420148168396276,1502943
Marvinbryantia formatexigens,0.00011374284119527215,168384
Alistipes ihumii,0.00011160251891471596,1470347
Catabacter hongkongensis,0.00011068523793733473,270498
Prevotella bryantii,0.00011053235777443786,77095
Catonella morbi,0.00010808627516808792,43997
Bifidobacterium stellenboschense,0.00010594595288753173,762211
Prevotella sp. CAG:891,0.00010594595288753173,1262937
Clostridium sp. KNHs214,0.00010457003142145989,1540257
Bifidobacterium biavatii,0.0001039585107698724,762212
Ruminococcus sp. Zagget7,0.00010380563060697552,1930001
Oribacterium sp. oral taxon 078,0.00010380563060697552,652706
Streptococcus mitis,0.00010242970914090368,28037
Parabacteroides merdae CAG:48,0.00010135954800062558,1263094
Prevotella fusca,0.00010105378767483185,589436
Firmicutes bacterium CAG:145,9.937210588296626e-05,1263005
Fibrobacter sp. UWOV1,9.906634555717252e-05,1896215
Lachnospiraceae bacterium NLAE-zl-G231,9.860770506848191e-05,1855376
Ruminococcus obeum CAG:39,9.707890343951319e-05,1263107
Akkermansia sp. KLE1798,9.677314311371945e-05,1574265
Prevotella sp. CAG:487,9.64673827879257e-05,1262928
Cellulomonas carbonis,9.631450262502884e-05,1386092
Akkermansia sp. KLE1605,9.600874229923509e-05,1131336
Tidjanibacter massiliensis,9.555010181054448e-05,1871003
Akkermansia sp. KLE1797,9.555010181054448e-05,1574264
Oscillibacter ruminantium,9.524434148475074e-05,1263547
Clostridium sp. SY8519,9.478570099606013e-05,1042156
Enorma massiliensis,9.432706050736951e-05,1472761
Streptococcus suis,9.17280977381227e-05,1307
Lachnospiraceae bacterium oral taxon 500,9.06579365978446e-05,712991
Odoribacter laneus CAG:561,9.06579365978446e-05,1263089
Prevotella oryzae,9.035217627205086e-05,185293
Haemophilus parainfluenzae,8.882337464308215e-05,729
Acetitomaculum ruminis,8.790609366570092e-05,2382
Mobiluncus mulieris,8.683593252542283e-05,2052
Campylobacter coli,8.622441187383534e-05,195
Prevotella sp. HUN102,8.576577138514473e-05,1392486
Erysipelotrichaceae bacterium CAG:64,8.408408959327914e-05,1262981
Eggerthella sp. YY7918,8.393120943038228e-05,502558
Fibrobacter sp. UWCM,8.331968877879479e-05,1896208
Bifidobacterium longum,8.224952763851669e-05,216816
Treponema succinifaciens,8.179088714982608e-05,167
Turicibacter sp. H121,8.102648633534172e-05,1712675
Bacteroides sp. CAG:530,8.072072600954797e-05,1262741
Allobaculum stercoricanis,7.995632519506362e-05,174709
Roseburia sp. CAG:197_41_10,7.919192438057926e-05,1897018
Firmicutes bacterium CAG:137,7.873328389188866e-05,1263004
Proteobacteria bacterium CAG:139,7.79688830774043e-05,1262986
Clostridium sp. CAG:277,7.674584177422933e-05,1262790
Clostridium disporicum,7.674584177422933e-05,84024
Firmicutes bacterium CAG:308,7.659296161133246e-05,1263016
Veillonella parvula,7.552280047105436e-05,29466
Megasphaera genomosp. type_1,7.445263933077627e-05,699192
Firmicutes bacterium ZOR0006,7.429975916787939e-05,1339252
Christensenellaceae bacterium Phil7,7.338247819049817e-05,1930013
Prevotella ruminicola,7.185367656152945e-05,839
Clostridium kluyveri,7.185367656152945e-05,1534
Prevotella intermedia,7.078351542125135e-05,28131
Lachnospiraceae bacterium COE1,7.032487493256074e-05,1235793
Clostridium lundense,6.925471379228264e-05,319475
Clostridium sp. K4410.MGS-306,6.879607330359202e-05,1637501
Blautia hydrogenotrophica CAG:147,6.864319314069516e-05,1263061
Clostridium sp. CAG:678,6.849031297779829e-05,1262831
Ruminococcus gauvreauii,6.803167248910767e-05,438033
Streptococcus orisratti,6.68086311859327e-05,114652
Prevotella dentalis,6.665575102303583e-05,52227
Succinispira mobilis,6.543270971986086e-05,78120
Bacteroides sp. CAG:770,6.543270971986086e-05,1262751
Varibaculum cambriense,6.390390809089214e-05,184870
Eubacterium limosum,6.329238743930467e-05,1736
Ruminococcus sp. CAG:403,6.329238743930467e-05,1262958
Coprococcus sp. CAG:131,6.252798662482031e-05,1262862
bacterium MS4,6.206934613612969e-05,1120746
Clostridium cellulovorans,6.130494532164534e-05,1493
Clostridium saccharolyticum,6.023478418136724e-05,84030
Prevotella multiformis,5.88588627152954e-05,282402
Prevotella bergensis,5.824734206370792e-05,242750
Bifidobacterium dentium,5.7941581737914174e-05,1689
Prevotella albensis,5.77887015750173e-05,77768
Prevotella stercorea CAG:629,5.763582141212043e-05,1263103
Sporomusa ovata,5.748294124922356e-05,2378
Sphaerochaeta sp. Phil3,5.7330061086326686e-05,1930011
Clostridium sp. CAG:81,5.7330061086326686e-05,1262842
Lactobacillus mucosae,5.702430076053295e-05,97478
Bacteroides sp. CAG:714,5.656566027184233e-05,1262749
Prevotella sp. CAG:5226,5.625989994604859e-05,1262930
Clostridiales bacterium S5-A14a,5.5495499131564235e-05,1230734
Urmitella timonensis,5.503685864287362e-05,1870994
Lactobacillus pasteurii,5.457821815418301e-05,872327
Anaerolineales bacterium Chloro_04,5.442533799128614e-05,1674893
Bifidobacterium angulatum,5.4119577665492394e-05,1683
Sporobacter termitidis,5.381381733969865e-05,44749
Streptococcus plurextorum,5.3049416525214296e-05,456876
Eggerthellaceae bacterium AT8,5.213213554783307e-05,1720315
Bacillus andreraoultii,5.19792553849362e-05,1499685
Bifidobacterium thermophilum,5.19792553849362e-05,33905
Candidatus Stoquefichus sp. SB1,5.136773473334871e-05,1658109
Bacteroides coprosuis,5.1061974407554973e-05,151276
Clostridium josui,5.075621408176123e-05,1499
Oxalobacter formigenes,4.9838933104380004e-05,847
Bacillus acidiproducens,4.754573066092694e-05,1121084
Candidatus Soleaferrea massiliensis,4.693421000933945e-05,1470354
Prevotella oulorum,4.678132984644258e-05,28136
