Species,RA,TAX_ID
unclassified,0.3973354664817353,12908
Schaalia odontolytica,0.16436361987090647,1660
Prevotella melaninogenica,0.03297930824104138,28132
Fusobacterium pseudoperiodonticum,0.030828603062121363,2663009
Neisseria subflava,0.03044893776012834,28449
Campylobacter concisus,0.02457107513678741,199
Prevotella histicola,0.024007063676601242,470565
Rothia mucilaginosa,0.016742215672569036,43675
Veillonella nakazawae,0.016211854701576853,2682456
Prevotella jejuni,0.013482873181181914,1177574
Haemophilus parainfluenzae,0.010869473775844582,729
Neisseria mucosa,0.009956521373364249,488
Schaalia meyeri,0.00941774778007357,52773
Neisseria flavescens,0.009002237391765214,484
Veillonella sp. S12025-13,0.007895063144045674,2682455
Lancefieldella parvula,0.007636466449913624,1382
Mogibacterium diversum,0.0071328064105644975,114527
Veillonella atypica,0.006279108130360532,39777
Veillonella dispar,0.006258990990081518,39778
Candidatus Nanosynbacter lyticus,0.0044572267534556675,2093824
Prevotella nigrescens,0.0040662226996690184,28133
Actinomyces pacaensis,0.0037088691350763555,1852377
Veillonella parvula,0.0037081376027025734,29466
Leptotrichia sp. oral taxon 212,0.0034027228366484553,712357
Fusobacterium periodonticum,0.003205209095727229,860
Neisseria meningitidis,0.003196430707241841,487
Streptococcus salivarius,0.002892113239748397,1304
Prevotella intermedia,0.002789332941231981,28131
Pauljensenia hongkongensis,0.002626201221878524,178339
Streptococcus sp. oral taxon 061,0.0024605091392168287,712623
Leptotrichia sp. oral taxon 221,0.0023409035961034197,712362
Fusobacterium nucleatum,0.0017820128625337282,851
Streptococcus parasanguinis,0.0017000812366701086,1318
Prevotella veroralis,0.0013306573879100377,28137
Leptotrichia wadei,0.0013054195210145476,157687
Prevotella copri,0.001294812301594704,165179
Lachnoanaerobaculum umeaense,0.001271769031820561,617123
Neisseria sicca,0.00125567531959735,490
Prevotella oris,0.001175572524668186,28135
Gemella sanguinis,0.0010947381973652399,84135
Streptococcus sp. LPB0220,0.0010365813736495455,2610896
Streptococcus sp. oral taxon 431,0.001033289477967525,712633
Capnocytophaga gingivalis,0.0010270714527903753,1017
Prevotella sp. oral taxon 299,0.0009864714060454566,652716
Prevotella denticola,0.0009191704276574834,28129
Cutibacterium acnes,0.0009188046614705922,1747
Neisseria elongata,0.0008533325140170747,495
Streptococcus sp. HSISM1,0.000837970334167646,1316408
Parvimonas micra,0.0008350442046725167,33033
Prevotella scopos,0.0007516495140613324,589437
Neisseria gonorrhoeae,0.000718730557241128,485
Selenomonas sp. oral taxon 478,0.000711780999690196,712538
Schaalia cardiffensis,0.0006971503522145496,181487
Streptococcus mitis,0.0006137556616033653,28037
Neisseria lactamica,0.0006111952982951272,486
Streptococcus oralis,0.0006031484421835218,1303
Neisseria sp. oral taxon 014,0.0005687664206157528,641148
Veillonella rodentium,0.0005358474637955484,248315
Neisseria cinerea,0.0004948816508637385,483
Selenomonas sp. oral taxon 136,0.00048171406813565684,713030
Mogibacterium pumilum,0.00041587615449524817,86332
Fusobacterium hwasookii,0.0004136815573739012,1583098
Prevotella enoeca,0.00038588332717017307,76123
Mobiluncus curtisii,0.00037454457537654717,2051
Treponema sp. OMZ 838,0.0003471121113597102,1539298
Lautropia mirabilis,0.00034491751423836324,47671
Actinomyces sp. ZJ34,0.00034016255380877816,2722820
Actinomyces sp. zg-993,0.0003321156976971727,2763540
Actinomyces sp. oral taxon 414,0.00032516614014624064,712122
Streptococcus australis,0.0003065120646147915,113107
Oscillibacter sp. NSJ-62,0.0003065120646147915,2763056
Rothia aeria,0.00030431746749344453,172042
Treponema medium,0.00029809944231629483,58231
Neisseria polysaccharea,0.00029261294951292747,489
Streptococcus sp. A12,0.0002885895214571247,1759399
Schaalia sp. ZJ405,0.0002849318595882131,2709403
Actinomyces sp. ZJ750,0.0002739588739814783,2744574
Actinomyces israelii,0.0002644489531223082,1659
Xanthomonas euvesicatoria,0.0002589624603189408,456327
Prevotella fusca,0.0002560363308238115,589436
Propionimicrobium sp. Marseille-P3275,0.00024872100708598835,1871034
Streptococcus pneumoniae,0.00024762370852531485,1313
Treponema sp. OMZ 804,0.00024030838478749167,120683
Actinomyces radicidentis,0.00022860386680697458,111015
Rothia dentocariosa,0.00022165430925604254,2047
Streptococcus lactarius,0.00021360745314443706,684066
Actinomyces weissii,0.0002114128560230901,675090
Phocaeicola vulgatus,0.00020482906465904923,821
Streptococcus sanguinis,0.0001960506761736614,1305
Faecalibacterium prausnitzii,0.00019056418337029402,853
Leptotrichia sp. oral taxon 218,0.00018763805387516473,712361
Treponema sp. OMZ 806,0.0001795911977635592,1706820
Tannerella sp. oral taxon HOT-286,0.0001697155107174979,712710
Capnocytophaga sputigena,0.00016788667978304212,1019
Actinomyces slackii,0.000165326316474804,52774
Actinomyces sp. Z16,0.00016422901791413052,2079536
Fusobacterium canifelinum,0.00016240018697967473,285729
Actinomyces oris,0.00016130288841900126,544580
Prevotella multiformis,0.0001609371222321101,282402
Actinomyces naeslundii,0.0001598398236714366,1655
Bulleidia sp. zg-1006,0.0001510614351860488,2806552
Trueperella pyogenes,0.00014667224094335488,1661
Actinomyces howellii,0.00014447764382200792,52771
Actinomyces sp. 432,0.00014447764382200792,2057798
