Genus,RA,TAX_ID
Streptococcus,0.17327572374116176,1301
Rothia,0.1514434880340038,32207
Haemophilus,0.13304117630449708,724
Prevotella,0.11502073242874153,838
Fusobacterium,0.03551921976374466,848
Neisseria,0.030657549586005663,482
Schaalia,0.025427440631428308,2529408
Gemella,0.011108601289329117,1378
Veillonella,0.008313975950244926,29465
Porphyromonas,0.00548904910428057,836
Capnocytophaga,0.004254951369524811,1016
Lautropia,0.00391199340529023,47670
Actinomyces,0.0038269425848424976,1654
Aggregatibacter,0.0034812299381642656,416916
Campylobacter,0.0019003865508139053,194
Leptotrichia,0.0015105989850372537,32067
Abiotrophia,0.001189678480351883,46123
Arachnia,0.0009341816837032298,2801844
Parvimonas,0.0008611825989464717,543311
Eikenella,0.0008229613800408107,538
Corynebacterium,0.0007286135063457554,1716
Ottowia,0.0006445956918143922,219181
Candidatus Nanosynbacter,0.0006359873091779821,2093823
Cardiobacterium,0.0005981104255777775,2717
Bacteroides,0.0005440497826211217,816
Lancefieldella,0.0005127152698245887,2767353
Enterococcus,0.00045280092667517404,1350
Tannerella,0.00041457970776951296,195950
Streptomyces,0.00032952888732178066,1883
Chryseobacterium,0.0002919963390270324,59732
Lachnoanaerobaculum,0.00028510963291790425,1164882
Staphylococcus,0.00027994460333605816,1279
Pauljensenia,0.0002768455855869505,2740557
Bacillus,0.0002530864495104585,1386
Vagococcus,0.00024482240217950477,2737
Pseudomonas,0.0002090115304120385,286
Alistipes,0.00020040314777562836,239759
Kingella,0.00017767701761550554,32257
Jeotgalibaca,0.0001676912937572698,1470540
Carnobacterium,0.00016459227600816213,2747
Selenomonas,0.0001628705994808801,970
Clostridium,0.00015804990520449042,1485
Paenibacillus,0.00014530949890260338,44249
Microbacterium,0.00012499371588067543,33882
Treponema,0.00012223903343702418,157
Mogibacterium,0.00011363065080061402,86331
Lactobacillus,0.00011156463896787558,1578
Aerococcus,0.00010949862713513714,1375
Moineauvirus,0.0001070882799969423,1623304
Mannheimia,0.00010674394469148589,75984
Lactococcus,0.00010261192102600902,1357
Candidatus Saccharimonas,9.916856797144496e-05,1331051
Parabacteroides,9.882423266598855e-05,375288
Phocaeicola,9.53808796114245e-05,909656
Flavobacterium,9.503654430596808e-05,237
Arthrobacter,9.159319125140403e-05,1663
Hymenobacter,9.159319125140403e-05,89966
Listeria,8.952717941866559e-05,1637
Vibrio,8.952717941866559e-05,662
Actinobacillus,8.814983819683997e-05,713
Acinetobacter,8.608382636410153e-05,469
Pasteurella,7.747544372769138e-05,745
Lysinibacillus,7.609810250586575e-05,400634
Bifidobacterium,7.058873761856326e-05,1678
Limosilactobacillus,6.611237864762998e-05,2742598
Bulleidia,6.473503742580435e-05,118747
Duncaniella,6.473503742580435e-05,2518495
Weissella,6.370203150943514e-05,46255
Mycolicibacterium,6.19803549821531e-05,1866885
Barnesiella,6.163601967669669e-05,397864
Alloprevotella,5.681532540030701e-05,1283313
Rhodococcus,5.64709900948506e-05,1827
Nocardioides,5.1994631123917325e-05,1839
Latilactobacillus,5.130596051300451e-05,2767885
Bergeyella,5.09616252075481e-05,59735
Moraxella,4.889561337480967e-05,475
Ligilactobacillus,4.889561337480967e-05,2767887
Bradyrhizobium,4.8551278069353266e-05,374
Xanthomonas,4.8551278069353266e-05,338
Shewanella,4.8551278069353266e-05,22
Leuconostoc,4.786260745844045e-05,1243
Brevibacterium,4.717393684752764e-05,1696
Erysipelothrix,4.6485266236614826e-05,1647
Rimavirus,4.579659562570201e-05,2560214
Mycobacterium,4.51079250147892e-05,1763
Virgibacillus,4.2697577876594356e-05,84406
Riemerella,4.235324257113795e-05,34084
Companilactobacillus,4.235324257113795e-05,2767879
Elizabethkingia,4.166457196022514e-05,308865
Chitinophaga,4.028723073839951e-05,79328
Cutibacterium,4.028723073839951e-05,1912216
Macrococcus,3.994289543294311e-05,69965
Glutamicibacter,3.9598560127486707e-05,1742989
Muribaculum,3.9254224822030296e-05,1918540
Olsenella,3.890988951657389e-05,133925
Mycoplasma,3.856555421111748e-05,2093
Aeromonas,3.787688360020467e-05,642
Micromonospora,3.684387768383545e-05,1873
Mammaliicoccus,3.684387768383545e-05,2803850
Sphingobacterium,3.546653646200983e-05,28453
Klebsiella,3.546653646200983e-05,570
Simonsiella,3.443353054564061e-05,71
Mucilaginibacter,3.443353054564061e-05,423349
Pediococcus,3.408919524018421e-05,1253
Cellulomonas,3.37448599347278e-05,1707
Cloacibacterium,3.3400524629271394e-05,501783
Pedobacter,3.271185401835858e-05,84567
Burkholderia,3.236751871290218e-05,32008
Kaistella,3.236751871290218e-05,2782231
Homo,3.202318340744577e-05,9605
Glaesserella,3.202318340744577e-05,2094023
Tetragenococcus,3.202318340744577e-05,51668
Sodaliphilus,3.1334512796532954e-05,2815786
Synechococcus,3.099017749107655e-05,1129
Pseudoalteromonas,3.0301506880163737e-05,53246
Polaribacter,2.995717157470733e-05,52959
Trueperella,2.9612836269250927e-05,1069494
Rodentibacter,2.9612836269250927e-05,1960084
Sporosarcina,2.8924165658338114e-05,1569
Nocardia,2.8579830352881707e-05,1817
Rhizobium,2.8579830352881707e-05,379
Polynucleobacter,2.7891159741968894e-05,44013
Blautia,2.7891159741968894e-05,572511
Planococcus,2.7891159741968894e-05,1372
Exiguobacterium,2.7891159741968894e-05,33986
Spirosoma,2.754682443651249e-05,107
Arcanobacterium,2.651381852014327e-05,28263
Dolosigranulum,2.651381852014327e-05,29393
Pseudoleptotrichia,2.548081260377405e-05,2755140
Paraprevotella,2.5136477298317648e-05,577309
Kocuria,2.5136477298317648e-05,57493
Sphingomonas,2.5136477298317648e-05,13687
Nonlabens,2.4103471381948428e-05,363408
Brachybacterium,2.307046546557921e-05,43668
Pepyhexavirus,2.307046546557921e-05,1982367
Enterobacter,2.307046546557921e-05,547
Halomonas,2.2381794854666398e-05,2745
Lacticaseibacillus,2.2381794854666398e-05,2759736
Mesorhizobium,2.203745954920999e-05,68287
Priestia,2.1693124243753585e-05,2800373
Butyrivibrio,2.1693124243753585e-05,830
Plasmodium,2.1348788938297178e-05,5820
Lysobacter,2.1348788938297178e-05,68
Georgenia,2.1004453632840775e-05,154116
Faecalibacterium,2.1004453632840775e-05,216851
Mycoplasmopsis,2.0660118327384368e-05,2767358
Propionibacterium,2.031578302192796e-05,1743
Serratia,2.031578302192796e-05,613
