Species,RA,TAX_ID
Desulfosporosinus acidiphilus,0.13096903698683204,885581
Fervidobacterium pennivorans,0.08997595002314841,93466
Sediminispirochaeta smaragdinae,0.08944115925013332,55206
Hirschia baltica,0.06835570342921174,2724
Meiothermus silvanus,0.06034043545603963,52022
Thermobacillus composti,0.05965393296770661,377615
Desulfoscipio gibsoniae,0.05344823135109195,102134
Desulfosporosinus meridiei,0.03749657225755067,79209
Coraliomargarita akajimensis,0.026438672195600473,395922
Frateuria aurantia,0.025752325462119127,81475
Natronococcus occultus,0.018065537981346254,29288
Terriglobus roseus,0.01714673362152394,392734
Natronobacterium gregoryi,0.014403436398525215,44930
Olsenella uli,0.014320438531938356,133926
Halovivax ruber,0.009817546300628229,387341
Stutzerimonas stutzeri,0.009680767581714739,316
Segniliparus rotundus,0.008232649827827938,286802
Echinicola vietnamensis,0.004596974651507929,390884
Salmonella enterica,0.003634065709519356,28901
Acetivibrio thermocellus,0.0032082708837500432,1515
Streptococcus pyogenes,0.0027494170907124953,1314
Clostridium perfringens,0.0013383170732406949,1502
Corynebacterium glutamicum,0.001301370724466046,1718
Salmonella bongori,0.0010226733765337586,54736
Lysobacter enzymogenes,5.4351953449443646e-05,69
Escherichia coli,5.014008266870467e-05,562
Pseudomonas sp. AN-B15,1.723038046665945e-05,2697023
unclassified,1.4725323268870164e-05,12908
Stenotrophomonas maltophilia,4.283258421090484e-06,40324
Streptococcus dysgalactiae,3.575871803061904e-06,1334
Acinetobacter radioresistens,3.121586819006853e-06,40216
Fervidobacterium changbaicum,2.965831967330835e-06,310769
Fervidobacterium islandicum,2.4206899864647736e-06,2423
Pseudomonas sp. Y5-11,2.3038738477077606e-06,2749808
Chitinophaga pinensis,2.115670068599239e-06,79329
Arcanobacterium haemolyticum,2.063751784707233e-06,28264
Paraburkholderia fungorum,2.0248130717882287e-06,134537
Sphaerobacter thermophilus,1.804160365247204e-06,2057
Cryptobacterium curtum,1.434242592516662e-06,84163
Brevibacillus composti,1.116243103678126e-06,2796470
Streptococcus canis,1.1032635327051246e-06,1329
Pseudomonas sp. AO-1,8.955903971371012e-07,2855434
Shewanella algae,8.826108261640997e-07,38313
Vibrio fluvialis,8.631414697045976e-07,676
Acetivibrio clariflavus,7.138764035150806e-07,288965
Shigella flexneri,6.879172615690778e-07,623
Echinicola rosea,6.684479051095755e-07,1807691
Moraxella osloensis,6.295091921905711e-07,34062
Echinicola marina,6.035500502445683e-07,2859768
Leclercia adecarboxylata,5.775909082985653e-07,83655
Owenweeksia hongkongensis,5.775909082985653e-07,253245
Desulfosporosinus youngiae,5.516317663525623e-07,339862
Escherichia albertii,5.386521953795609e-07,208962
Pseudomonas putida,4.997134824605564e-07,303
Conchiformibius steedae,4.672645550280528e-07,153493
Acidaminococcus fermentans,4.477951985685506e-07,905
Weizmannia coagulans,4.4130541308204987e-07,1398
Streptococcus equi,4.4130541308204987e-07,1336
Escherichia fergusonii,4.348156275955491e-07,564
Desulfitobacterium metallireducens,4.348156275955491e-07,142877
Pseudomonas tohonis,4.1534627113604693e-07,2725477
Corynebacterium suranareeae,4.088564856495462e-07,2506452
Escherichia sp. E4742,3.89387129190044e-07,2044467
Escherichia marmotae,3.7640755821704256e-07,1499973
Acinetobacter pittii,3.699177727305418e-07,48296
Haloterrigena turkmenica,3.6342798724404107e-07,62320
Clostridium sp. 16K-1-R1,3.569382017575403e-07,2681265
Dehalobacterium formicoaceticum,3.5044841627103963e-07,51515
Bradyrhizobium sp. SK17,3.3746884529803813e-07,2057741
Clostridium kluyveri,3.3746884529803813e-07,1534
Stutzerimonas balearica,3.3746884529803813e-07,74829
Streptococcus parasuis,3.1799948883853595e-07,1501662
Clostridium botulinum,3.0501991786553445e-07,1491
Streptococcus agalactiae,2.92040346892533e-07,1311
Acinetobacter johnsonii,2.92040346892533e-07,40214
Pseudomonas koreensis,2.8555056140603227e-07,198620
Coriobacterium glomerans,2.8555056140603227e-07,33871
Achromobacter xylosoxidans,2.790607759195315e-07,85698
Homo sapiens,2.7257099043303083e-07,9606
Thermus thermophilus,2.660812049465301e-07,274
Klebsiella pneumoniae,2.660812049465301e-07,573
Desulfosporosinus orientis,2.660812049465301e-07,1563
Clostridium butyricum,2.5959141946002933e-07,1492
Echinicola strongylocentroti,2.531016339735286e-07,1795355
Citrobacter freundii,2.466118484870279e-07,546
Shigella sonnei,2.4012206300052715e-07,624
Shigella dysenteriae,2.2714249202752568e-07,622
Caldilinea aerophila,2.2714249202752568e-07,133453
Clostridium sporogenes,2.2065270654102493e-07,1509
Natrinema pellirubrum,2.2065270654102493e-07,69525
Cutibacterium acnes,2.2065270654102493e-07,1747
Meiothermus ruber,2.1416292105452421e-07,277
Halorhabdus utahensis,2.1416292105452421e-07,146826
Pedobacter heparinus,2.0767313556802347e-07,984
Caldicellulosiruptor kronotskyensis,2.0767313556802347e-07,413889
Pseudomonas aeruginosa,2.0767313556802347e-07,287
Heliomicrobium modesticaldum,2.0767313556802347e-07,35701
Pseudomonas oryzihabitans,2.0118335008152275e-07,47885
Thermoclostridium stercorarium,2.0118335008152275e-07,1510
Echinicola soli,2.0118335008152275e-07,2591634
Natronomonas moolapensis,2.0118335008152275e-07,416273
Clostridium manihotivorum,2.0118335008152275e-07,2320868
Paenibacillus sp. BIHB4019,2.0118335008152275e-07,1870819
Corynebacterium crudilactis,1.94693564595022e-07,1652495
Planctopirus limnophila,1.8820377910852128e-07,120
Olsenella timonensis,1.8171399362202053e-07,1805478
Roseibium aggregatum,1.8171399362202053e-07,187304
Shigella boydii,1.7522420813551981e-07,621
Pseudomonas veronii,1.7522420813551981e-07,76761
Achromobacter deleyi,1.7522420813551981e-07,1353891
Rhodococcus erythropolis,1.6873442264901907e-07,1833
Stutzerimonas frequens,1.6873442264901907e-07,2968969
Corynebacterium deserti,1.6224463716251835e-07,1408191
Desulfofarcimen acetoxidans,1.6224463716251835e-07,58138
Natronorubrum aibiense,1.557548516760176e-07,348826
Stackebrandtia nassauensis,1.557548516760176e-07,283811
Clostridium baratii,1.557548516760176e-07,1561
Natribaculum sp. CGA3,1.4926506618951688e-07,2953881
Pseudomonas alcaligenes,1.4926506618951688e-07,43263
Pseudomonas zhaodongensis,1.4926506618951688e-07,1176257
Bacillus thuringiensis,1.4926506618951688e-07,1428
Hippea maritima,1.4926506618951688e-07,84405
Halovarius luteus,1.4277528070301613e-07,1586232
Chryseobacterium gleum,1.4277528070301613e-07,250
Clostridium sp. DL-VIII,1.4277528070301613e-07,641107
Pseudomonas sp. PS1(2021),1.3628549521651541e-07,2866282
Klebsiella variicola,1.3628549521651541e-07,244366
Rhodothermus marinus,1.2979570973001467e-07,29549
Staphylococcus warneri,1.2979570973001467e-07,1292
Rhodococcus sp. P-2,1.2979570973001467e-07,2795031
Hyphomicrobium denitrificans,1.2330592424351395e-07,53399
Streptococcus halotolerans,1.2330592424351395e-07,1814128
Pseudomonas extremaustralis,1.168161387570132e-07,359110
Streptococcus thermophilus,1.168161387570132e-07,1308
Anaerococcus prevotii,1.168161387570132e-07,33034
Natronococcus sp. CG52,1.1032635327051247e-07,2951804
Pseudomonas siliginis,1.1032635327051247e-07,2842346
Marinobacter nauticus,1.1032635327051247e-07,2743
Thermanaerovibrio acidaminovorans,1.1032635327051247e-07,81462
Clostridioides difficile,1.1032635327051247e-07,1496
Clostridium pasteurianum,1.0383656778401173e-07,1501
Clostridium intestinale,1.0383656778401173e-07,36845
Elizabethkingia sp. 2-6,1.0383656778401173e-07,2575699
Fervidobacterium nodosum,1.0383656778401173e-07,2424
Dechloromonas denitrificans,1.0383656778401173e-07,281362
Pseudomonas fluorescens,1.0383656778401173e-07,294
Klebsiella aerogenes,9.7346782297511e-08,548
Halogeometricum borinquense,9.7346782297511e-08,60847
Tsukamurella paurometabola,9.7346782297511e-08,2061
Acetomicrobium mobile,9.7346782297511e-08,97477
Enterobacter hormaechei,9.7346782297511e-08,158836
Streptococcus sp. HSISS2,9.7346782297511e-08,1316411
Citrobacter sp. RHB25-C09,9.7346782297511e-08,2742624
Bacillus safensis,9.7346782297511e-08,561879
Halomonas sp. 18071143,9.7346782297511e-08,2855441
Niastella koreensis,9.7346782297511e-08,354356
Corynebacterium mustelae,9.085699681101027e-08,571915
Acinetobacter calcoaceticus,9.085699681101027e-08,471
Clostridium felsineum,9.085699681101027e-08,36839
Halovarius sp. SQT-29-1,9.085699681101027e-08,2931975
Streptococcus suis,9.085699681101027e-08,1307
Echinicola sp. 20G,9.085699681101027e-08,2781961
Syntrophobotulus glycolicus,9.085699681101027e-08,51197
Clostridium saccharoperbutylacetonicum,9.085699681101027e-08,36745
Lancefieldella parvula,9.085699681101027e-08,1382
Natronobiforma sp. CGA73,8.436721132450953e-08,2963434
Streptococcus parauberis,8.436721132450953e-08,1348
Streptococcus sp. zg-86,8.436721132450953e-08,2664091
Clostridium sp. 'deep sea',8.436721132450953e-08,2779445
Halanaeroarchaeum sulfurireducens,8.436721132450953e-08,1604004
Pseudovibrio sp. FO-BEG1,8.436721132450953e-08,911045
Caulobacter sp. FWC26,7.78774258380088e-08,69665
Clostridium sp. C5S11,7.78774258380088e-08,704125
Alistipes finegoldii,7.78774258380088e-08,214856
Clostridium septicum,7.78774258380088e-08,1504
Erwinia rhapontici,7.78774258380088e-08,55212
Ralstonia pickettii,7.78774258380088e-08,329
Acinetobacter schindleri,7.138764035150807e-08,108981
Methanofollis liminatans,7.138764035150807e-08,2201
Clostridium beijerinckii,7.138764035150807e-08,1520
Clostridium gasigenes,7.138764035150807e-08,94869
Filifactor alocis,6.489785486500733e-08,143361
Gilvibacter sp. SZ-19,6.489785486500733e-08,754429
Haloterrigena salifodinae,6.489785486500733e-08,2675099
Haloterrigena sp. ZJ2,6.489785486500733e-08,2961570
Citrobacter farmeri,6.489785486500733e-08,67824
Thermoanaerobacterium sp. RBIITD,6.489785486500733e-08,1550240
Bacillus cereus,6.489785486500733e-08,1396
Nocardiopsis dassonvillei,6.489785486500733e-08,2014
Desulfomonile tiedjei,6.489785486500733e-08,2358
Clostridium isatidis,6.489785486500733e-08,182773
Clostridium chauvoei,6.489785486500733e-08,46867
Clostridium scatologenes,6.489785486500733e-08,1548
Pannonibacter phragmitetus,5.84080693785066e-08,121719
Thermanaerovibrio velox,5.84080693785066e-08,108007
Stutzerimonas chloritidismutans,5.84080693785066e-08,203192
Pseudomonas palleroniana,5.84080693785066e-08,191390
Pseudomonas sp. S150,5.84080693785066e-08,2559074
Methylobacterium radiotolerans,5.84080693785066e-08,31998
Urechidicola croceus,5.84080693785066e-08,1850246
Truepera radiovictrix,5.84080693785066e-08,332249
Pseudomonas mendocina,5.84080693785066e-08,300
Halopiger xanaduensis,5.84080693785066e-08,387343
Enterobacter mori,5.191828389200587e-08,539813
Citrobacter sp. R56,5.191828389200587e-08,1573676
Paenibacillus ihbetae,5.191828389200587e-08,1870820
Pseudomonas chlororaphis,5.191828389200587e-08,587753
Rhodococcus qingshengii,5.191828389200587e-08,334542
Pseudoclostridium thermosuccinogenes,5.191828389200587e-08,84032
