SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified
EG,biobakery3,19,0.6417,0.0194,10.1826,0.8161,0.0301,85.7143,2.6645,0
EG,biobakery4,14,0.5175,0.0235,8.9446,0.8352,0.0347,92.8571,0.0000,0
EG,jams,25,0.3531,0.0229,12.2531,0.7135,0.0438,92.8571,0.2104,0.15699563633813127
EG,wgsa2,28,0.6301,0.0185,10.6638,0.7412,0.0322,100.0000,1.1601,0.005920547928912603
EG,woltka,240,0.3471,0.0046,22.5953,0.4494,0.0194,85.7143,26.4802,0
MIX-A,biobakery3,15,0.9899,0.0067,9.5852,0.9494,0.0127,81.8182,0.8464,0
MIX-A,biobakery4,11,0.9985,0.0041,2.8426,0.9775,0.0057,90.9091,0.0000,0
MIX-A,jams,14,0.8022,0.0325,12.3527,0.7725,0.0617,72.7273,0.0520,0.039547581747208384
MIX-A,wgsa2,25,0.7138,0.0193,6.9975,0.7593,0.0598,100.0000,0.6781,0.0023922199955124534
MIX-A,woltka,139,0.4367,0.0080,19.2420,0.4422,0.0374,90.9091,30.9152,0
MIX-B,biobakery3,16,0.7078,0.0320,13.6522,0.7439,0.0632,72.7273,11.4154,0
MIX-B,biobakery4,12,0.9774,0.0134,9.8140,0.9197,0.0191,72.7273,0.0141,0
MIX-B,jams,15,0.9541,0.0168,13.5504,0.8743,0.0262,81.8182,0.2655,0.04845731686577523
MIX-B,wgsa2,28,0.9675,0.0080,13.0792,0.8885,0.0171,100.0000,1.0866,0.0025255839466411683
MIX-B,woltka,191,0.7597,0.0050,22.8751,0.5217,0.0212,90.9091,31.0568,0
MIX-C,biobakery3,14,0.2719,0.0507,14.1087,0.6453,0.1118,63.6364,32.0567,0
MIX-C,biobakery4,12,0.1643,0.0749,11.5690,0.5504,0.1363,63.6364,32.3094,0
MIX-C,jams,18,0.4238,0.0472,17.1601,0.5748,0.0890,90.9091,22.3335,0.0642473330738856
MIX-C,wgsa2,27,0.4632,0.0309,14.7020,0.5827,0.0836,100.0000,9.1620,0.0022339737066290662
MIX-C,woltka,147,0.0620,0.0097,24.1026,0.2866,0.0478,81.8182,69.1682,0
MIX-D,biobakery3,12,0.9471,0.0151,4.1345,0.9097,0.0299,72.7273,0.0607,0
MIX-D,biobakery4,12,0.9611,0.0117,4.1098,0.9301,0.0254,72.7273,0.1024,0
MIX-D,jams,13,0.8862,0.0247,11.2166,0.8397,0.0446,81.8182,0.0194,0.02858809451390328
MIX-D,wgsa2,17,0.8928,0.0173,8.9316,0.8534,0.0413,100.0000,0.2506,0.002043033627619274
MIX-D,woltka,131,0.6511,0.0053,21.1155,0.6508,0.0288,81.8182,13.1948,0
