SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,14,0.5049,0.0229,6.4550,0.8400,0.0342,85.7143,0.0000
EG,jams,26,0.6850,0.0135,9.0954,0.8250,0.0290,100.0000,0.0438
EG,wgsa2,384,0.8855,0.0007,29.1235,0.8568,0.0052,100.0000,0.2129
EG,woltka,1633,0.5213,0.0005,92.0259,0.5981,0.0065,100.0000,6.7404
MIX-A,bio4,11,0.9901,0.0077,2.9796,0.9579,0.0142,81.8182,0.0000
MIX-A,jams,18,0.8225,0.0222,8.0889,0.7999,0.0543,72.7273,0.0041
MIX-A,wgsa2,227,0.9929,0.0005,26.4735,0.9463,0.0034,100.0000,0.3048
MIX-A,woltka,1322,0.5387,0.0007,85.3577,0.5418,0.0111,100.0000,21.3113
MIX-B,bio4,11,0.7377,0.0424,8.7925,0.7668,0.0731,72.7273,0.0000
MIX-B,jams,20,0.9678,0.0112,7.8828,0.8879,0.0220,81.8182,0.0083
MIX-B,wgsa2,241,0.9782,0.0008,24.3971,0.9077,0.0051,100.0000,0.1143
MIX-B,woltka,1243,0.8457,0.0005,80.7054,0.6635,0.0067,100.0000,13.8126
MIX-C,bio4,12,0.2631,0.0548,13.3953,0.6710,0.1200,63.6364,29.4877
MIX-C,jams,15,0.4249,0.0528,13.1111,0.6042,0.0979,90.9091,23.3796
MIX-C,wgsa2,395,0.5355,0.0020,31.1156,0.6064,0.0210,100.0000,8.8604
MIX-C,woltka,1363,0.2850,0.0007,86.5996,0.5189,0.0128,100.0000,45.4164
MIX-D,bio4,11,0.9451,0.0163,3.4686,0.9103,0.0313,72.7273,0.0000
MIX-D,jams,21,0.9022,0.0136,8.0882,0.8569,0.0354,90.9091,0.0287
MIX-D,wgsa2,273,0.9136,0.0010,23.5847,0.8629,0.0098,100.0000,0.2286
MIX-D,woltka,1088,0.7344,0.0005,70.4102,0.7075,0.0090,100.0000,1.8813
