SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,10,0.5696,0.0268,1.7058,0.8661,0.0342,100.0000,0.0000
EG,jams,11,0.5321,0.0249,5.5328,0.8628,0.0372,100.0000,0.0000
EG,wgsa2,12,0.3641,0.0448,8.2081,0.7312,0.0582,100.0000,0.0000
EG,woltka,10,0.3199,0.0731,3.2836,0.6345,0.0922,100.0000,0.0000
MIX-A,bio4,7,0.9974,0.0107,1.5752,0.9626,0.0151,100.0000,0.0000
MIX-A,jams,6,0.9765,0.0247,4.3745,0.9258,0.0354,100.0000,0.0000
MIX-A,wgsa2,9,0.5949,0.0720,2.2860,0.6760,0.1369,100.0000,0.0000
MIX-A,woltka,8,0.9172,0.0438,4.1130,0.8249,0.0658,100.0000,0.0000
MIX-B,bio4,6,0.5897,0.0964,1.5530,0.7107,0.1486,100.0000,0.0000
MIX-B,jams,7,0.9484,0.0395,5.0450,0.8619,0.0578,100.0000,0.0000
MIX-B,wgsa2,9,0.9573,0.0228,8.4941,0.8975,0.0356,100.0000,0.0000
MIX-B,woltka,8,0.9096,0.0365,2.8687,0.8542,0.0614,100.0000,0.0000
MIX-C,bio4,7,0.9697,0.0203,0.9148,0.9288,0.0302,100.0000,0.0000
MIX-C,jams,9,0.5289,0.0713,6.0245,0.6793,0.1262,100.0000,0.0000
MIX-C,wgsa2,10,0.3886,0.0791,8.5992,0.6043,0.1476,100.0000,0.0000
MIX-C,woltka,8,0.8059,0.0522,3.0224,0.7911,0.0824,100.0000,0.0000
MIX-D,bio4,7,0.9299,0.0258,1.0255,0.9098,0.0406,100.0000,0.0000
MIX-D,jams,8,0.8721,0.0360,4.6725,0.8559,0.0603,100.0000,0.0000
MIX-D,wgsa2,10,0.8765,0.0293,4.7634,0.8537,0.0554,100.0000,0.0000
MIX-D,woltka,8,0.9914,0.0182,2.9743,0.9270,0.0230,100.0000,0.0000
