SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,12,0.4922,0.0195,1.6584,0.8827,0.0296,100.0000,0.0000
EG,jams,13,0.3295,0.0264,5.0005,0.8285,0.0413,100.0000,0.0000
EG,wgsa2,14,0.5598,0.0202,3.8550,0.8586,0.0276,100.0000,0.0000
EG,woltka,14,0.1669,0.0549,3.6377,0.6157,0.0752,100.0000,0.0000
MIX-A,bio4,9,0.9891,0.0093,1.5789,0.9581,0.0157,100.0000,0.0000
MIX-A,jams,8,0.7704,0.0494,4.6943,0.8023,0.0818,100.0000,0.0000
MIX-A,wgsa2,11,0.9911,0.0091,0.9344,0.9501,0.0150,100.0000,0.0000
MIX-A,woltka,11,0.4922,0.0719,4.0410,0.6048,0.1351,100.0000,0.0000
MIX-B,bio4,8,0.6977,0.0532,4.7646,0.7871,0.0857,100.0000,0.0000
MIX-B,jams,9,0.9604,0.0248,6.3339,0.8885,0.0329,100.0000,0.0000
MIX-B,wgsa2,11,0.9691,0.0167,5.2327,0.9083,0.0241,100.0000,0.0000
MIX-B,woltka,11,0.7965,0.0435,6.1353,0.7607,0.0631,100.0000,0.0000
MIX-C,bio4,7,0.9871,0.0145,0.9149,0.9493,0.0200,100.0000,0.0000
MIX-C,jams,10,0.5622,0.0616,5.9201,0.6920,0.1148,100.0000,0.0000
MIX-C,wgsa2,11,0.4320,0.0674,4.3618,0.6292,0.1344,100.0000,0.0000
MIX-C,woltka,11,0.8372,0.0358,4.6458,0.8029,0.0498,100.0000,0.0000
MIX-D,bio4,8,0.9335,0.0223,1.0739,0.9107,0.0367,100.0000,0.0000
MIX-D,jams,9,0.8722,0.0316,4.4751,0.8578,0.0541,100.0000,0.0000
MIX-D,wgsa2,11,0.8797,0.0245,1.8678,0.8652,0.0493,100.0000,0.0000
MIX-D,woltka,11,0.6404,0.0529,5.4967,0.7088,0.0910,100.0000,0.0000
