SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,21,0.1310,0.0332,16.5910,0.6519,0.0524,71.4286,26.6753
EG,jams,78,0.3451,0.0084,16.0697,0.6720,0.0309,71.4286,26.7535
EG,wgsa2,99,0.4817,0.0080,18.0474,0.6061,0.0238,78.5714,18.1180
MIX-A,bio4,17,0.2808,0.0446,18.2535,0.6211,0.1121,63.6364,37.8070
MIX-A,jams,23,0.1201,0.0450,17.9931,0.4825,0.1262,54.5455,51.7508
MIX-A,wgsa2,107,0.1450,0.0107,19.1286,0.4290,0.0594,81.8182,51.4893
MIX-B,bio4,18,0.0968,0.0619,20.7010,0.4430,0.1258,54.5455,52.6298
MIX-B,jams,27,0.3613,0.0306,17.0706,0.5871,0.0876,63.6364,33.6074
MIX-B,wgsa2,70,0.4578,0.0104,18.9922,0.6358,0.0476,72.7273,28.0544
MIX-C,bio4,14,0.2719,0.0507,15.5841,0.6453,0.1118,63.6364,32.0567
MIX-C,jams,32,0.4858,0.0255,15.4441,0.5923,0.0680,72.7273,24.3535
MIX-C,wgsa2,100,0.5009,0.0084,17.3277,0.5818,0.0434,90.9091,9.7269
MIX-D,bio4,13,0.9395,0.0182,11.4068,0.8819,0.0312,63.6364,3.5469
MIX-D,jams,31,0.9009,0.0112,13.2484,0.8261,0.0305,72.7273,3.8628
MIX-D,wgsa2,53,0.9021,0.0064,13.2774,0.8293,0.0239,81.8182,2.9017
