species,EG,tax_id
ACHROMOBACTER_RUHLANDII,0.0067867,72557
ACHROMOBACTER_XYLOSOXIDANS,0.056727299999999994,85698
ACINETOBACTER_BAUMANNII,0.0146662,470
ACINETOBACTER_PITTII,0.0032795000000000003,48296
ENTEROCOCCUS_FAECALIS,0.12613649999999998,1351
ESCHERICHIA_COLI,0.1624353,562
KLEBSIELLA_PNEUMONIAE,0.0622851,573
KLEBSIELLA_QUASIPNEUMONIAE,0.0031017,1463165
KLEBSIELLA_VARIICOLA,0.0120158,244366
LEGIONELLA_PNEUMOPHILA,0.001673,446
LISTERIA_MONOCYTOGENES,0.0762777,1639
NEISSERIA_MENINGITIDIS,0.0973717,487
SALMONELLA_ENTERICA,0.0776727,28901
STAPHYLOCOCCUS_ARGENTEUS,0.0014609,985002
STAPHYLOCOCCUS_AUREUS,0.10110010000000001,1280
STREPTOCOCCUS_PYOGENES,0.0954471,1314
VIBRIO_FURNISSII,0.10156269999999999,29494
