species,Mix-C,tax_id
ACHROMOBACTER_DENITRIFICANS,0.0013778000000000002,32002
ACHROMOBACTER_RUHLANDII,0.024312,72557
ACHROMOBACTER_XYLOSOXIDANS,0.2421847,85698
ACINETOBACTER_BAUMANNII,0.0,470
ACINETOBACTER_NOSOCOMIALIS,0.0,106654
ACINETOBACTER_PITTII,0.0,48296
AEROMONAS_HYDROPHILA,0.0022407,644
ENTEROCOCCUS_FAECALIS,0.0455638,1351
ESCHERICHIA_COLI,0.2948771,562
KLEBSIELLA_PNEUMONIAE,0.0,573
KLEBSIELLA_QUASIPNEUMONIAE,0.0,1463165
KLEBSIELLA_VARIICOLA,0.0,244366
LEGIONELLA_PNEUMOPHILA,0.0064932,446
LISTERIA_MONOCYTOGENES,0.0282804,1639
NEISSERIA_MENINGITIDIS,0.0,487
SALMONELLA_ENTERICA,0.0,28901
STAPHYLOCOCCUS_ARGENTEUS,0.0,985002
STAPHYLOCOCCUS_AUREUS,0.0,1280
STREPTOCOCCUS_PYOGENES,0.3168969,1314
VIBRIO_FURNISSII,0.0377734,29494
