species,Mix-D,tax_id
ACHROMOBACTER_DENITRIFICANS,0.0,32002
ACHROMOBACTER_RUHLANDII,0.0,72557
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698
ACINETOBACTER_BAUMANNII,0.0,470
ACINETOBACTER_NOSOCOMIALIS,0.0,106654
ACINETOBACTER_PITTII,0.0,48296
AEROMONAS_HYDROPHILA,0.0017182,644
ENTEROCOCCUS_FAECALIS,0.361074,1351
ESCHERICHIA_COLI,0.0348619,562
KLEBSIELLA_PNEUMONIAE,0.0,573
KLEBSIELLA_QUASIPNEUMONIAE,0.0,1463165
KLEBSIELLA_VARIICOLA,0.0,244366
LEGIONELLA_PNEUMOPHILA,0.0062621000000000005,446
LISTERIA_MONOCYTOGENES,0.2202346,1639
NEISSERIA_MENINGITIDIS,0.0255085,487
SALMONELLA_ENTERICA,0.0,28901
STAPHYLOCOCCUS_ARGENTEUS,0.000607,985002
STAPHYLOCOCCUS_AUREUS,0.025281099999999997,1280
STREPTOCOCCUS_PYOGENES,0.0,1314
VIBRIO_FURNISSII,0.3244526,29494
