species,EG,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.022284,85698
ACINETOBACTER_BAUMANNII,0.0690597,470
ACINETOBACTER_SEIFERTII,0.0,1530123
AEROMONAS_HYDROPHILA,9.1e-05,644
ENTEROCOCCUS_FAECALIS,0.1347903,1351
ESCHERICHIA_COLI,0.166797,562
KLEBSIELLA_PNEUMONIAE,0.0548766,573
LEGIONELLA_PNEUMOPHILA,0.0014013,446
LISTERIA_MONOCYTOGENES,0.08832430000000001,1639
NEISSERIA_MENINGITIDIS,0.09479789999999999,487
SALMONELLA_ENTERICA,0.0738172,28901
STAPHYLOCOCCUS_AUREUS,0.10729269999999999,1280
STREPTOCOCCUS_PYOGENES,0.09360210000000001,1314
VIBRIO_FURNISSII,0.092866,29494
