genus,Mix-A_S2_L001,tax_id
ESCHERICHIA,0.4927249854499709,561
STAPHYLOCOCCUS,0.2466244932489865,1279
NEISSERIA,0.1942033884067768,482
KLEBSIELLA,0.01849503699007398,570
ACINETOBACTER,0.014664029328058657,469
SALMONELLA,0.014663029326058653,590
UNCLASSIFIED,0.004066008132016264,12908
LEGIONELLA,0.000317000634001268,445
AEROMONAS,3.4000068000136e-05,642
ENTEROBACTER,1.4000028000056e-05,547
CITROBACTER,9.000018000036e-06,544
RAOULTELLA,6.000012000024e-06,160674
KOSAKONIA,4.000008000016e-06,1330547
FIBROBACTER,4.000008000016e-06,832
DANKOOKIA,3.000006000012e-06,1940143
SHIGELLA,0.0,620
PSEUDOCITROBACTER,0.0,1504576
SULFITOBACTER,0.0,60136
RHODANOBACTER,0.0,75309
STREPTOCOCCUS,0.0,1301
PUSILLIMONAS,0.0,305976
PSEUDOMONAS,0.0,286
ACHROMOBACTER,0.0,222
LISTERIA,0.0,1637
LIMOSILACTOBACILLUS,0.0,2742598
LEPTOSPIRA,0.0,171
HAEMOPHILUS,0.0,724
GIGASPORA,0.0,4873
ENTEROCOCCUS,0.0,1350
ENTAMOEBA,0.0,5758
CLOSTRIDIOIDES,0.0,1870884
ATLANTIBACTER,0.0,1903434
AEROMICROBIUM,0.0,2040
VIBRIO,0.0,662
