species,Mix-A_S2_L001,tax_id
ESCHERICHIA_COLI,0.49113798227596456,562
STAPHYLOCOCCUS_AUREUS,0.24585349170698342,1280
NEISSERIA_MENINGITIDIS,0.1923503847007694,487
KLEBSIELLA_PNEUMONIAE,0.016138032276064553,573
ACINETOBACTER_BAUMANNII,0.010652021304042608,470
UNCLASSIFIED,0.004066008132016264,12908
SALMONELLA_ENTERICA,0.003084006168012336,28901
STAPHYLOCOCCUS_SP._GDQ8D198P,0.00038500077000154,2804385
LEGIONELLA_PNEUMOPHILA,0.000314000628001256,446
STAPHYLOCOCCUS_KLOOSII,0.00013500027000054,29384
NEISSERIA_GONORRHOEAE,8.000016000032e-05,485
ACINETOBACTER_PITTII,6.300012600025201e-05,48296
KLEBSIELLA_VARIICOLA,5.1000102000204e-05,244366
SALMONELLA_BONGORI,3.7000074000148e-05,54736
ACINETOBACTER_NOSOCOMIALIS,3.1000062000124e-05,106654
AEROMONAS_HYDROPHILA,2.6000052000104e-05,644
ACINETOBACTER_SEIFERTII,2.1000042000084e-05,1530123
KLEBSIELLA_QUASIPNEUMONIAE,1.3000026000052e-05,1463165
KLEBSIELLA_HUAXIENSIS,9.000018000036e-06,2153354
ACINETOBACTER_CALCOACETICUS,9.000018000036e-06,471
ACINETOBACTER_SP._ANC-3813,8.000016000032e-06,1977873
SALMONELLA_SP._S030-03996,8.000016000032e-06,2665535
ENTEROBACTER_HORMAECHEI,7.000014000028e-06,158836
SALMONELLA_SP._32040203-2019-00004,7.000014000028e-06,2819775
ACINETOBACTER_URSINGII,5.00001000002e-06,108980
CITROBACTER_TRUCTAE,5.00001000002e-06,2562449
ACINETOBACTER_RADIORESISTENS,5.00001000002e-06,40216
KLEBSIELLA_SP._K5,5.00001000002e-06,2769350
KLEBSIELLA_GRIMONTII,5.00001000002e-06,2058152
KOSAKONIA_PSEUDOSACCHARI,4.000008000016e-06,1646340
KLEBSIELLA_AFRICANA,4.000008000016e-06,2489010
ACINETOBACTER_RONGCHENGENSIS,4.000008000016e-06,2419601
FIBROBACTER_SP._UWOV1,4.000008000016e-06,1896215
SALMONELLA_SP._SSDFZ54,4.000008000016e-06,2500542
DANKOOKIA_RUBRA,3.000006000012e-06,1442381
NEISSERIA_LACTAMICA,0.0,486
LEPTOSPIRA_BORGPETERSENII,0.0,174
LIMOSILACTOBACILLUS_REUTERI,0.0,1598
PSEUDOMONAS_AERUGINOSA,0.0,287
PSEUDOMONAS_SP._57B-090624,0.0,2213080
LISTERIA_SP._PSOL-1,0.0,1844999
PANTOEA_COFFEIPHILA,0.0,1465635
LISTERIA_BOORIAE,0.0,1552123
LISTERIA_COSSARTIAE,0.0,2838249
NOCARDIOPSIS_SP._L17-MGMASL7,0.0,1938893
NEISSERIA_POLYSACCHAREA,0.0,489
LISTERIA_IMMOBILIS,0.0,2713502
LISTERIA_MARTHII,0.0,529731
LISTERIA_MONOCYTOGENES,0.0,1639
NEISSERIA_SP._ORAL-TAXON-014,0.0,641148
NEISSERIA_BERGERI,0.0,1906581
NEISSERIA_ELONGATA,0.0,495
SPHINGOMONAS_SP._JC676,0.0,2768065
SHIGELLA_BOYDII,0.0,621
STREPTOCOCCUS_DYSGALACTIAE,0.0,1334
VIBRIO_TRITONIUS,0.0,1435069
VIBRIO_FURNISSII,0.0,29494
VIBRIO_FLUVIALIS,0.0,676
VIBRIO_CHOLERAE,0.0,666
VIBRIO_CASEI,0.0,673372
TRABULSIELLA_ODONTOTERMITIS,0.0,379893
SULFITOBACTER_SP._BDSS02,0.0,2663018
STREPTOCOCCUS_PYOGENES,0.0,1314
STREPTOCOCCUS_PHOCAE,0.0,119224
STREPTOCOCCUS_PHAGE_JAVAN150,0.0,2548008
STREPTOCOCCUS_PENAEICIDA,0.0,1765960
STREPTOCOCCUS_ICTALURI,0.0,380397
STREPTOCOCCUS_EQUI,0.0,1336
STREPTOCOCCUS_AGALACTIAE,0.0,1311
SHIGELLA_DYSENTERIAE,0.0,622
STREPTOCOCCUS_SP._HKU75,0.0,2781599
