genus,Mix-B_S3_L001,tax_id
KLEBSIELLA,0.3603297206594413,570
SALMONELLA,0.3341086682173365,590
ACINETOBACTER,0.24689849379698758,469
ACHROMOBACTER,0.021866043732087465,222
STREPTOCOCCUS,0.01050502101004202,1301
ESCHERICHIA,0.003958007916015832,561
SHIGELLA,0.00119500239000478,620
UNCLASSIFIED,0.000637001274002548,12908
LEGIONELLA,0.000299000598001196,445
AEROMONAS,3.4000068000136e-05,642
ENTEROBACTER,2.4000048000096e-05,547
PSEUDOMONAS,1.3000026000052e-05,286
CITROBACTER,1.2000024000047999e-05,544
PUSILLIMONAS,9.000018000036e-06,305976
RHODANOBACTER,8.000016000032e-06,75309
ATLANTIBACTER,6.000012000024e-06,1903434
KOSAKONIA,5.00001000002e-06,1330547
SULFITOBACTER,4.000008000016e-06,60136
PSEUDOCITROBACTER,0.0,1504576
AEROMICROBIUM,0.0,2040
STAPHYLOCOCCUS,0.0,1279
RAOULTELLA,0.0,160674
NEISSERIA,0.0,482
ENTEROCOCCUS,0.0,1350
LISTERIA,0.0,1637
LIMOSILACTOBACILLUS,0.0,2742598
LEPTOSPIRA,0.0,171
CLOSTRIDIOIDES,0.0,1870884
DANKOOKIA,0.0,1940143
HAEMOPHILUS,0.0,724
GIGASPORA,0.0,4873
FIBROBACTER,0.0,832
ENTAMOEBA,0.0,5758
VIBRIO,0.0,662
