genus,Mix-C_S4_L001,tax_id
ACHROMOBACTER,0.428135,222
ESCHERICHIA,0.223971,561
STREPTOCOCCUS,0.146402,1301
SHIGELLA,0.075318,620
VIBRIO,0.036431,662
ENTEROCOCCUS,0.026158,1350
LISTERIA,0.015823,1637
UNCLASSIFIED,0.005378,12908
SALMONELLA,0.000207,590
LEGIONELLA,0.00018700000000000002,445
AEROMONAS,1.4999999999999999e-05,642
GIGASPORA,1.1e-05,4873
KLEBSIELLA,1.1e-05,570
LIMOSILACTOBACILLUS,7e-06,2742598
HAEMOPHILUS,0.0,724
FIBROBACTER,0.0,832
DANKOOKIA,0.0,1940143
SULFITOBACTER,0.0,60136
AEROMICROBIUM,0.0,2040
STAPHYLOCOCCUS,0.0,1279
ENTAMOEBA,0.0,5758
ENTEROBACTER,0.0,547
RHODANOBACTER,0.0,75309
RAOULTELLA,0.0,160674
PUSILLIMONAS,0.0,305976
PSEUDOMONAS,0.0,286
PSEUDOCITROBACTER,0.0,1504576
NEISSERIA,0.0,482
ATLANTIBACTER,0.0,1903434
CLOSTRIDIOIDES,0.0,1870884
LEPTOSPIRA,0.0,171
ACINETOBACTER,0.0,469
KOSAKONIA,0.0,1330547
CITROBACTER,0.0,544
