species,Mix-C_S4_L001,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.427878,85698.0
ESCHERICHIA_COLI,0.216846,562.0
STREPTOCOCCUS_PYOGENES,0.143391,1314.0
SHIGELLA_SONNEI,0.067255,624.0
VIBRIO_FURNISSII,0.03506,29494.0
ENTEROCOCCUS_FAECALIS,0.022737,1351.0
LISTERIA_MONOCYTOGENES,0.015375,1639.0
UNCLASSIFIED,0.005378,12908.0
SHIGELLA_FLEXNERI,0.003683,623.0
SHIGELLA_BOYDII,0.001495,621.0
ESCHERICHIA_SP._MOD1-EC7003,0.000789,2093900.0
ESCHERICHIA_SP._MOD1-EC5990,0.000316,2093880.0
SALMONELLA_ENTERICA,0.000207,28901.0
LEGIONELLA_PNEUMOPHILA,0.000181,446.0
ESCHERICHIA_ALBERTII,0.000108,208962.0
STREPTOCOCCUS_EQUI,9.5e-05,1336.0
ENTEROCOCCUS_FAECIUM,6.5e-05,1352.0
ENTEROCOCCUS_SP._S157-ASV-20,3.3e-05,2847000.0
ENTEROCOCCUS_GALLINARUM,3e-05,1353.0
ENTEROCOCCUS_SP._BWR-S5,2.9e-05,2787714.0
VIBRIO_FLUVIALIS,1.7e-05,676.0
ENTEROCOCCUS_CASSELIFLAVUS,1.6e-05,37734.0
ENTEROCOCCUS_SP._CU9D,1.6e-05,1857218.0
AEROMONAS_HYDROPHILA,1.3e-05,644.0
ENTEROCOCCUS_THAILANDICUS,1.3e-05,417368.0
ENTEROCOCCUS_SP._HMSC073E09,1.3e-05,1739405.0
VIBRIO_VULNIFICUS,1.3e-05,672.0
GIGASPORA_MARGARITA,1.1e-05,4874.0
VIBRIO_TRITONIUS,1.1e-05,1435069.0
LISTERIA_COSSARTIAE,8e-06,2838249.0
LISTERIA_IMMOBILIS,8e-06,2713502.0
ENTEROCOCCUS_DURANS,8e-06,53345.0
ENTEROCOCCUS_CECORUM,8e-06,44008.0
LISTERIA_MARTHII,8e-06,529731.0
VIBRIO_CASEI,7e-06,673372.0
STREPTOCOCCUS_AGALACTIAE,7e-06,1311.0
LIMOSILACTOBACILLUS_REUTERI,7e-06,1598.0
ENTEROCOCCUS_RIVORUM,6e-06,762845.0
KLEBSIELLA_PNEUMONIAE,6e-06,573.0
KLEBSIELLA_OXYTOCA,5e-06,571.0
LISTERIA_SP._PSOL-1,4e-06,1844999.0
SHIGELLA_DYSENTERIAE,3e-06,622.0
LEPTOSPIRA_BORGPETERSENII,0.0,174.0
NEISSERIA_LACTAMICA,0.0,486.0
NEISSERIA_SP._ORAL-TAXON-014,0.0,641148.0
LISTERIA_BOORIAE,0.0,1552123.0
NEISSERIA_GONORRHOEAE,0.0,485.0
NEISSERIA_ELONGATA,0.0,495.0
NEISSERIA_BERGERI,0.0,1906581.0
SALMONELLA_SP._S030-03996,0.0,2665535.0
NEISSERIA_MENINGITIDIS,0.0,487.0
STREPTOCOCCUS_DYSGALACTIAE,0.0,1334.0
STAPHYLOCOCCUS_HAEMOLYTICUS,0.0,1283.0
STAPHYLOCOCCUS_KLOOSII,0.0,29384.0
STAPHYLOCOCCUS_SACCHAROLYTICUS,0.0,33028.0
STAPHYLOCOCCUS_SAPROPHYTICUS,0.0,29385.0
STAPHYLOCOCCUS_SCHWEITZERI,0.0,1654388.0
STREPTOCOCCUS_SP._HKU75,0.0,2781599.0
STREPTOCOCCUS_ICTALURI,0.0,380397.0
NEISSERIA_POLYSACCHAREA,0.0,489.0
STREPTOCOCCUS_PENAEICIDA,0.0,1765960.0
STREPTOCOCCUS_PHAGE_JAVAN150,0.0,2548008.0
STREPTOCOCCUS_PHOCAE,0.0,119224.0
SULFITOBACTER_SP._BDSS02,0.0,2663018.0
TRABULSIELLA_ODONTOTERMITIS,0.0,379893.0
VIBRIO_CHOLERAE,0.0,666.0
STAPHYLOCOCCUS_GALLINARUM,0.0,1293.0
STAPHYLOCOCCUS_EPIDERMIDIS,0.0,1282.0
STAPHYLOCOCCUS_CAPITIS,0.0,29388.0
STAPHYLOCOCCUS_AUREUS,0.0,1280.0
STAPHYLOCOCCUS_ARGENTEUS,0.0,985002.0
STAPHYLOCOCCUS_SP._MZ8,0.0,2836366.0
STAPHYLOCOCCUS_SP._HMSC076E07,0.0,1715174.0
STAPHYLOCOCCUS_SP._GDQ8D198P,0.0,2804385.0
SPHINGOMONAS_SP._JC676,0.0,2768065.0
SALMONELLA_BONGORI,0.0,54736.0
SALMONELLA_SP._SSDFZ54,0.0,2500542.0
KOSAKONIA_PSEUDOSACCHARI,0.0,1646340.0
SALMONELLA_SP._32040203-2019-00004,0.0,2819775.0
PSEUDOMONAS_AERUGINOSA,0.0,287.0
PSEUDOMONAS_SP._57B-090624,0.0,2213080.0
PANTOEA_COFFEIPHILA,0.0,1465635.0
NOCARDIOPSIS_SP._L17-MGMASL7,0.0,1938893.0
LACTOCOCCUS_RAFFINOLACTIS,0.0,1366.0
ACHROMOBACTER_SP._ASV32,0.0,2795101.0
KOSAKONIA_ARACHIDIS,0.0,551989.0
ACHROMOBACTER_PIECHAUDII,0.0,72556.0
ACINETOBACTER_OLEIVORANS,0.0,1148157.0
ACINETOBACTER_NOSOCOMIALIS,0.0,106654.0
ACINETOBACTER_LARVAE,0.0,1789224.0
ACINETOBACTER_JUNII,0.0,40215.0
ACINETOBACTER_INDICUS,0.0,756892.0
ACINETOBACTER_CALCOACETICUS,0.0,471.0
