species,Mix-D_S5_L001,tax_id
VIBRIO_FURNISSII,0.42565242565242567,29494.0
ENTEROCOCCUS_FAECALIS,0.2767722767722768,1351.0
LISTERIA_MONOCYTOGENES,0.20993620993620993,1639.0
ESCHERICHIA_COLI,0.03583703583703584,562.0
NEISSERIA_MENINGITIDIS,0.013607013607013607,487.0
STAPHYLOCOCCUS_AUREUS,0.008575008575008576,1280.0
UNCLASSIFIED,0.0011000011000011,12908.0
LEGIONELLA_PNEUMOPHILA,0.000272000272000272,446.0
SALMONELLA_ENTERICA,0.000194000194000194,28901.0
STAPHYLOCOCCUS_SCHWEITZERI,5.8000058000058e-05,1654388.0
ENTEROCOCCUS_HIRAE,4.8000048000048e-05,1354.0
NEISSERIA_GONORRHOEAE,4.1000041000041e-05,485.0
ENTEROCOCCUS_FAECIUM,4.000004000004e-05,1352.0
NEISSERIA_LACTAMICA,3.2000032000032e-05,486.0
AEROMONAS_HYDROPHILA,2.9000029000029e-05,644.0
ESCHERICHIA_SP._MOD1-EC5990,2.9000029000029e-05,2093880.0
SHIGELLA_FLEXNERI,2.7000027000027e-05,623.0
SHIGELLA_SONNEI,2.5000025000025e-05,624.0
STAPHYLOCOCCUS_ARGENTEUS,2.3000023000023e-05,985002.0
NEISSERIA_POLYSACCHAREA,2.2000022000022e-05,489.0
NEISSERIA_ELONGATA,1.9000019000019e-05,495.0
ENTEROBACTER_ROGGENKAMPII,1.7000017000017e-05,1812935.0
STAPHYLOCOCCUS_GALLINARUM,1.7000017000017e-05,1293.0
ESCHERICHIA_SP._MOD1-EC7003,1.5000015000015e-05,2093900.0
CITROBACTER_SP._ASV29,1.4000014000014e-05,2795111.0
AEROMICROBIUM_ERYTHREUM,1.000001000001e-05,2041.0
NEISSERIA_SP._ORAL-TAXON-014,1.000001000001e-05,641148.0
STAPHYLOCOCCUS_HAEMOLYTICUS,1.000001000001e-05,1283.0
STAPHYLOCOCCUS_SP._MZ8,9.000009000009e-06,2836366.0
CLOSTRIDIOIDES_DIFFICILE,9.000009000009e-06,1496.0
ENTEROCOCCUS_AVIUM,8.000008000008e-06,33945.0
ENTEROBACTER_HORMAECHEI,8.000008000008e-06,158836.0
STAPHYLOCOCCUS_SACCHAROLYTICUS,8.000008000008e-06,33028.0
ENTEROCOCCUS_LEMANII,7.000007000007e-06,1159752.0
STAPHYLOCOCCUS_SP._HMSC076E07,6.000006000006e-06,1715174.0
STREPTOCOCCUS_SP._HKU75,6.000006000006e-06,2781599.0
LEPTOSPIRA_BORGPETERSENII,5.000005000005e-06,174.0
ENTAMOEBA_HISTOLYTICA,5.000005000005e-06,5759.0
STAPHYLOCOCCUS_CAPITIS,4.000004000004e-06,29388.0
STAPHYLOCOCCUS_KLOOSII,4.000004000004e-06,29384.0
HAEMOPHILUS_INFLUENZAE,4.000004000004e-06,727.0
SHIGELLA_BOYDII,0.0,621.0
STREPTOCOCCUS_PHOCAE,0.0,119224.0
LIMOSILACTOBACILLUS_REUTERI,0.0,1598.0
LISTERIA_SP._PSOL-1,0.0,1844999.0
LISTERIA_COSSARTIAE,0.0,2838249.0
LISTERIA_IMMOBILIS,0.0,2713502.0
LISTERIA_MARTHII,0.0,529731.0
VIBRIO_TRITONIUS,0.0,1435069.0
VIBRIO_FLUVIALIS,0.0,676.0
VIBRIO_CASEI,0.0,673372.0
SULFITOBACTER_SP._BDSS02,0.0,2663018.0
STREPTOCOCCUS_PYOGENES,0.0,1314.0
STREPTOCOCCUS_ICTALURI,0.0,380397.0
STREPTOCOCCUS_PENAEICIDA,0.0,1765960.0
SHIGELLA_DYSENTERIAE,0.0,622.0
STREPTOCOCCUS_EQUI,0.0,1336.0
