Genus,RA,TAX_ID
Achromobacter,0.4072585379569464,222
Streptococcus,0.13597466962053867,1301
Escherichia,0.06043271444152971,561
Vibrio,0.043636815874281226,662
Enterococcus,0.028044790092787424,1350
Listeria,0.021722237156372916,1637
Legionella,0.0056165280880476325,445
Shigella,0.004971527269244198,620
Aeromonas,0.0037081753660669317,642
unclassified,0.0014159119770858631,12908
Citrobacter,0.0009223125480853903,544
Klebsiella,0.000918450267733274,570
Salmonella,0.000913043075240311,590
Enterobacter,0.0007187703735288575,547
Acinetobacter,0.0002552967312748924,469
Kosakonia,0.00010312288540150722,1330547
Leclercia,0.00010119174522544903,83654
Bordetella,8.960490416909991e-05,517
Raoultella,7.840429114796242e-05,160674
Streptomyces,6.256894170428527e-05,1883
Cronobacter,4.9437188507089605e-05,413496
Pseudomonas,4.827850440145469e-05,286
Buttiauxella,4.4802452084549953e-05,82976
Cupriavidus,3.4760523169047376e-05,106589
Cedecea,3.437429513383574e-05,158483
Bacillus,3.437429513383574e-05,1386
Atlantibacter,3.2443154957777554e-05,1903434
Yokenella,3.0898242816931e-05,158876
Pluralibacter,2.819464657044954e-05,1330546
Kluyvera,2.7035962464814625e-05,579
Staphylococcus,2.7035962464814625e-05,1279
Phytobacter,2.5877278359179714e-05,447792
Plesiomonas,2.4718594253544802e-05,702
Scandinavium,2.16287699718517e-05,2726810
Jejubacter,1.9697629795793514e-05,2815296
Serratia,1.8152717654946962e-05,613
Lelliottia,1.7766489619735325e-05,1330545
Ralstonia,1.4676665338042225e-05,48736
Burkholderia,1.4676665338042225e-05,32008
Delftia,1.4676665338042225e-05,80865
Variovorax,1.2745525161984038e-05,34072
Mycolicibacterium,1.1200613021137488e-05,1866885
Mycobacterium,1.1200613021137488e-05,1763
Nocardia,1.1200613021137488e-05,1817
Pantoea,1.0428156950714213e-05,53335
Pectobacterium,1.0428156950714213e-05,122277
Methylobacterium,1.0041928915502575e-05,407
Acidovorax,1.0041928915502575e-05,12916
Pseudescherichia,9.655700880290938e-06,2055880
