Genus,RA,TAX_ID
Escherichia,0.21487700309688693,561
Staphylococcus,0.21289309246280644,1279
Neisseria,0.18872188649655897,482
Klebsiella,0.03409770438655038,570
Salmonella,0.030890735244990218,590
Acinetobacter,0.023774632196928394,469
Legionella,0.005502374233678489,445
Aeromonas,0.003591735986048382,642
unclassified,0.0009737240360514032,12908
Vibrio,0.00047158246824458114,662
Citrobacter,0.0004059498566847683,544
Shigella,0.0003844195819931895,620
Enterococcus,0.00037261265716232367,1350
Cupriavidus,0.00033753914516475173,106589
Enterobacter,0.00031566160797814744,547
Listeria,0.00023926385907254523,1637
Kosakonia,6.563261155981284e-05,1330547
Leclercia,5.486747421402343e-05,83654
Raoultella,4.5838649343361345e-05,160674
Phietavirus,4.479686185828495e-05,1623298
Haemophilus,3.7157086967724726e-05,724
Mammaliicoccus,3.507351199757194e-05,2803850
Cronobacter,3.125362455229183e-05,413496
Cedecea,2.4655637146807997e-05,158483
Jeotgalibaca,2.1530274691578815e-05,1470540
Yokenella,2.0141224711476957e-05,158876
Lelliottia,1.9446699721426027e-05,1330545
Atlantibacter,1.9446699721426027e-05,1903434
Pluralibacter,1.8752174731375096e-05,1330546
Jejubacter,1.8057649741324166e-05,2815296
Kluyvera,1.6321337266196845e-05,579
Bacillus,1.5974074771171378e-05,1386
Biseptimavirus,1.5974074771171378e-05,1623274
Achromobacter,1.4932287286094985e-05,222
Triavirus,1.3543237305993126e-05,1623273
Erwinia,1.2501449820916732e-05,551
Streptomyces,1.0417874850763942e-05,1883
Streptococcus,7.987037385585689e-06,1301
Scandinavium,7.639774890560225e-06,2726810
Buttiauxella,7.29251239553476e-06,82976
Serratia,7.29251239553476e-06,613
Pantoea,6.945249900509295e-06,53335
Pseudescherichia,6.250724910458366e-06,2055880
Homo,6.250724910458366e-06,9605
Phytobacter,5.556199920407436e-06,447792
Pseudomonas,4.861674930356507e-06,286
Methylobacterium,4.5144124353310415e-06,407
Shimwellia,4.167149940305577e-06,1335483
Clostridium,4.167149940305577e-06,1485
Alteromonas,3.125362455229183e-06,226
Psychrobacillus,2.778099960203718e-06,1221880
Yersinia,2.778099960203718e-06,629
Cyanobacterium,2.778099960203718e-06,102234
Morganella,2.4308374651782534e-06,581
Plasmodium,2.4308374651782534e-06,5820
Eikenella,2.4308374651782534e-06,538
Capnocytophaga,2.0835749701527885e-06,1016
