Genus,RA,TAX_ID
Klebsiella,0.3171036392743939,570
Salmonella,0.29032978079756705,590
Acinetobacter,0.2289802723164568,469
Achromobacter,0.03835139049515977,222
Streptococcus,0.013454191831577143,1301
Escherichia,0.006502385312259059,561
Legionella,0.005600196500471173,445
Aeromonas,0.003474230060824124,642
unclassified,0.0010045885804848796,12908
Staphylococcus,0.0009102201661954939,1279
Shigella,0.0004654839158742397,620
Citrobacter,0.00023357855735457893,544
Neisseria,0.00021383481110254433,482
Enterobacter,0.00017903227533624605,547
Erwinia,0.00012515527285188042,551
Raoultella,4.6514927610725607e-05,160674
Serratia,4.618028784374197e-05,613
Kosakonia,2.3090143921870983e-05,1330547
Leclercia,2.208622462092007e-05,83654
Vibrio,1.940910648505097e-05,662
Cronobacter,1.7735907650132786e-05,413496
Enterococcus,1.5058789514263686e-05,1350
Chromobacterium,1.1712391844427312e-05,535
Bordetella,1.1712391844427312e-05,517
Listeria,9.36991347554185e-06,1637
Plasmodium,9.36991347554185e-06,5820
Pluralibacter,9.035273708558211e-06,1330546
Bacillus,8.700633941574573e-06,1386
Streptomyces,8.700633941574573e-06,1883
Pseudomonas,7.696714640623661e-06,286
Jejubacter,7.362074873640024e-06,2815296
Scandinavium,7.362074873640024e-06,2726810
Cedecea,7.362074873640024e-06,158483
Kluyvera,6.692795339672749e-06,579
Atlantibacter,6.023515805705474e-06,1903434
Phytobacter,5.688876038721837e-06,447792
Pantoea,5.3542362717382e-06,53335
Yokenella,5.3542362717382e-06,158876
Homo,5.3542362717382e-06,9605
Yersinia,5.019596504754562e-06,629
Cupriavidus,5.019596504754562e-06,106589
Burkholderia,4.684956737770925e-06,32008
Buttiauxella,4.684956737770925e-06,82976
Pectobacterium,4.0156772038036495e-06,122277
Arcobacter,4.0156772038036495e-06,28196
Apibacter,3.681037436820012e-06,1778601
Virgibacillus,3.681037436820012e-06,84406
Treponema,3.3463976698363745e-06,157
Candidatus Hamiltonella,3.3463976698363745e-06,568987
Clostridium,3.011757902852737e-06,1485
Lelliottia,3.011757902852737e-06,1330545
Xanthomonas,2.3424783688854623e-06,338
Xenorhabdus,2.3424783688854623e-06,626
Edwardsiella,2.3424783688854623e-06,635
Plesiomonas,2.3424783688854623e-06,702
Massilia,2.3424783688854623e-06,149698
Haemophilus,2.3424783688854623e-06,724
Shimwellia,2.3424783688854623e-06,1335483
Mixta,2.0078386019018248e-06,2100764
Variovorax,2.0078386019018248e-06,34072
Morganella,2.0078386019018248e-06,581
Buchnera,2.0078386019018248e-06,32199
Brenneria,2.0078386019018248e-06,71655
Ralstonia,1.6731988349181872e-06,48736
Mycobacterium,1.6731988349181872e-06,1763
Proteus,1.6731988349181872e-06,583
Empedobacter,1.6731988349181872e-06,59734
Methylophaga,1.6731988349181872e-06,40222
Priestia,1.33855906793455e-06,2800373
Thiomicrorhabdus,1.33855906793455e-06,2039723
Acetobacterium,1.33855906793455e-06,33951
Candidatus Pelagibacter,1.33855906793455e-06,198251
Methylobacterium,1.33855906793455e-06,407
Sodalis,1.33855906793455e-06,84565
Nocardia,1.33855906793455e-06,1817
Cyanobium,1.33855906793455e-06,167375
Pseudoalteromonas,1.33855906793455e-06,53246
Providencia,1.33855906793455e-06,586
Shewanella,1.33855906793455e-06,22
Saccharothrix,1.33855906793455e-06,2071
Pseudescherichia,1.33855906793455e-06,2055880
Delftia,1.0039193009509124e-06,80865
Halomonas,1.0039193009509124e-06,2745
Rahnella,1.0039193009509124e-06,34037
Acidovorax,1.0039193009509124e-06,12916
Mycolicibacterium,1.0039193009509124e-06,1866885
Wolbachia,1.0039193009509124e-06,953
