Species,RA,TAX_ID
Staphylococcus cohnii,0.06448683015440508,29382
unclassified,0.03996366939146231,12908
Escherichia coli,0.027247956403269755,562
Enterococcus faecalis,0.019981834695731154,1351
Vibrio furnissii,0.011807447774750226,29494
Listeria monocytogenes,0.007266121707538601,1639
Streptococcus pyogenes,0.005449591280653951,1314
Achromobacter xylosoxidans,0.004541326067211626,85698
Klebsiella pneumoniae,0.0036330608537693005,573
Homo sapiens,0.0036330608537693005,9606
Acinetobacter baumannii,0.0036330608537693005,470
Pseudomonas tolaasii,0.0036330608537693005,29442
Xanthomonas euvesicatoria,0.0036330608537693005,456327
Enterococcus faecium,0.0027247956403269754,1352
Neisseria meningitidis,0.0027247956403269754,487
Staphylococcus aureus,0.0018165304268846503,1280
Cupriavidus oxalaticus,0.0018165304268846503,96344
Phreatobacter cathodiphilus,0.0009082652134423251,1868589
Flammeovirga yaeyamensis,0.0009082652134423251,367791
Leishmania braziliensis,0.0009082652134423251,5660
Scheffersomyces stipitis,0.0009082652134423251,4924
Tetrapisispora phaffii,0.0009082652134423251,113608
Salmonella enterica,0.0009082652134423251,28901
Filimonas lacunae,0.0009082652134423251,477680
Hymenobacter sp. DG25B,0.0009082652134423251,1385664
Algoriphagus machipongonensis,0.0009082652134423251,388413
Blautia sp. YL58,0.0009082652134423251,1796616
Azoarcus sp. DD4,0.0009082652134423251,2027405
Shigella dysenteriae,0.0009082652134423251,622
Enterococcus durans,0.0009082652134423251,53345
Acinetobacter junii,0.0009082652134423251,40215
Legionella pneumophila,0.0009082652134423251,446
Paenibacillus lentus,0.0009082652134423251,1338368
Klebsiella oxytoca,0.0009082652134423251,571
Thalassiosira pseudonana,0.0009082652134423251,35128
