Species,RA,TAX_ID
Escherichia,0.29446020650886556,561
Listeria,0.13575592376651313,1637
Enterococcus,0.13548270377761698,1350
Shigella,0.1146401392128144,620
Neisseria,0.04437313326628408,482
Achromobacter,0.034184517428864004,222
Acinetobacter,0.03368830730975455,469
Streptococcus,0.030987147733896776,1301
Staphylococcus,0.03064358419831705,1279
Klebsiella,0.029338966905535738,570
Salmonella,0.026341320696283692,590
Vibrio,0.014087409630422942,662
Legionella,0.00800763972231586,445
Citrobacter,0.005349588672362319,544
Kluyvera,0.004435013842838057,579
Enterobacter,0.004122273175086447,547
Bordetella,0.00328032506764043,517
Pantoea,0.0027732426847468065,53335
Yersinia,0.0025104057077645304,629
Cronobacter,0.002173365530455304,413496
Raoultella,0.0018109929785289642,160674
Morococcus,0.0015310865474055435,212742
Lelliottia,0.001383767373130059,1330545
Lactobacillus,0.0012636832196339168,1578
Erwinia,0.0012470486560441389,551
Carnobacterium,0.0011577330090571938,2747
Trabulsiella,0.001130932878829218,158851
Leclercia,0.00111364597941239,83654
Kosakonia,0.0010429762648152942,1330547
Yokenella,0.001034061008512276,158876
Serratia,0.0010123164809439386,613
Pluralibacter,0.0008932108311883716,1330546
Bacillus,0.0007321926045448345,1386
Moraxella,0.0006273296203465284,475
Ruminococcus,0.0006175989442596975,1263
Aeromonas,0.0006047153116754577,642
Haemophilus,0.0006029757494699907,724
Streptobacillus,0.0005680214214038887,34104
Franconibacter,0.0005595410556522371,1649295
Kingella,0.0005476359268085726,32257
Atlantibacter,0.0005458963646031056,1903434
Shimwellia,0.000539536090289367,1335483
Siccibacter,0.0005144755222668583,1649298
Cedecea,0.0005106158686234784,158483
Cupriavidus,0.0004582115571837858,106589
Photobacterium,0.00045500423936745604,657
Pseudomonas,0.000450166081983501,286
Shewanella,0.0003595457633424557,22
Gallibacterium,0.00033959515929850634,155493
Comamonas,0.0003347570019145513,283
Xenorhabdus,0.00032866853419541686,626
Dickeya,0.00031828552228153586,204037
Aerococcus,0.00031159908005427215,1375
Lamprocystis,0.0003030643529836998,53452
Eikenella,0.0002973564144970113,538
Nitrosomonas,0.00027985206980449983,914
Clostridium,0.0002757749708854366,1485
Mangrovibacter,0.00027534008033406986,451512
Buttiauxella,0.0002506056802250863,82976
Ralstonia,0.00024337562480861418,48736
Edwardsiella,0.0002339167553163875,635
Herbaspirillum,0.00022717595177020297,963
Orrella,0.00022201162647272289,1921582
Acidovorax,0.0002128245635751004,12916
Obesumbacterium,0.00020760587695869948,82982
Massilia,0.0002046160044180531,149698
Bavariicoccus,0.00020401802990992383,697279
Lactococcus,0.00019863625933676037,1357
Cutibacterium,0.00018825324742287937,1912216
Morganella,0.00018357817399568686,581
Aliivibrio,0.00018254530893619086,511678
Candidimonas,0.0001700965669033178,1074468
Atopostipes,0.00016672616513022554,292480
Pseudoalteromonas,0.00015324455803785646,53246
Tistrella,0.00015193988638375624,171436
Nissabacter,0.00015134191187562697,1964366
Corynebacterium,0.00015047213077289346,1716
Bergeriella,0.00014753661955116794,334108
Jeotgalibaca,0.00014617758657814686,1470540
Pectobacterium,0.00014606886394030519,122277
Lachnoclostridium,0.00013780594346433705,1506553
Stenotrophomonas,0.00013655563312915764,40323
Xenophilus,0.00013639254917239513,151754
Providencia,0.00013416373509664056,586
Sodalis,0.00013275034080469865,84565
Lampropedia,0.00013275034080469865,198705
Aquabacterium,0.00013236981157225275,92793
Salinivibrio,0.00013171747574520262,51366
Tetragenococcus,0.00012997791353973565,51668
Desulfotalea,0.00012937993903160637,109168
Methanosarcina,0.0001287819645234771,2207
Gilliamella,0.00012622698253419748,1193503
Paraburkholderia,0.00012459614296657219,1822464
Luteimonas,0.00012432433637196797,83614
Clostridioides,0.00012367200054491786,1870884
Erysipelatoclostridium,0.00012089957327995486,1505663
Burkholderia,0.00011339771126887854,32008
Rahnella,0.0001128540980796701,34037
Pediococcus,0.00011236484620938251,1253
Methyloglobulus,0.00011002730949578627,1410680
Hydrogenophaga,0.00010681999167945652,47420
Brenneria,0.00010497170683614786,71655
Bibersteinia,0.00010230800220902655,476528
Castellaniella,0.00010160130506305559,359336
Sanguibacteroides,9.948121362514271e-05,1635148
Chania,9.937249098730104e-05,1745211
Jeotgalicoccus,9.839398724672586e-05,227979
Izhakiella,9.746984482507152e-05,1780190
Tatumella,9.420816568982094e-05,82986
Peptostreptococcus,9.279477139787902e-05,1257
Alteromonas,9.176190633838301e-05,226
Plesiomonas,8.991362149507435e-05,702
Trichococcus,8.980489885723266e-05,82802
Macrococcus,8.752172346255725e-05,69965
Chromobacterium,8.632577444629871e-05,535
Pragia,8.447748960299005e-05,82984
Ewingella,8.360770850025655e-05,41201
Microcystis,8.333590190565235e-05,1125
Grimontia,8.224867552723548e-05,246861
Hafnia,8.121581046773947e-05,568
Pedobacter,8.083528123529357e-05,84567
Idiomarina,7.838902188385563e-05,135575
Tyzzerella,7.828029924601394e-05,1506577
Pusillimonas,7.811721528925142e-05,305976
Simonsiella,7.686690495407202e-05,71
Vitreoscilla,7.648637572162612e-05,59
Ideonella,7.610584648918023e-05,36862
Rhodopseudomonas,7.469245219723831e-05,1073
Piscirickettsia,7.387703241342566e-05,1237
Enteractinococcus,7.371394845666313e-05,1164863
Salinicoccus,7.2028747570117e-05,45669
Halomonas,7.170257965659194e-05,2745
Parvibaculum,6.84952618402622e-05,256616
Ferrimonas,6.80060099699746e-05,44011
Snodgrassella,6.740803546184534e-05,1193515
Lysobacter,6.447252424011982e-05,68
Lonsdalea,6.251551675896947e-05,1082702
Janthinobacterium,6.197190356976104e-05,29580
Rouxiella,6.159137433731513e-05,1565532
Kinetoplastibacterium,6.14282903805526e-05,33055
Melissococcus,6.121084510486924e-05,33969
Paenibacillus,6.023234136429406e-05,44249
Spongiibacter,6.023234136429406e-05,630749
Oceanospirillum,5.767735937501444e-05,965
Brachymonas,5.7459914099331066e-05,28219
Peptoniphilus,5.577471321278493e-05,162289
Enhygromyxa,5.566599057494325e-05,215802
Aliicoccus,5.5013654747893134e-05,1647178
Conchiformibius,5.365462177487206e-05,334107
Arsenophonus,5.3491537818109526e-05,637
Thauera,5.305664726674278e-05,33057
Kerstersia,5.158889165588002e-05,257820
Raphidiopsis,5.153453033695918e-05,244599
Marinomonas,5.012113604501726e-05,28253
Francisella,5.001241340717557e-05,262
Pseudorhodoferax,4.936007758012546e-05,747294
Alcanivorax,4.887082570983787e-05,59753
Novosphingobium,4.838157383955028e-05,165696
Enterovibrio,4.772923801250017e-05,188143
Streptomyces,4.707690218545005e-05,1883
Candidatus Endobugula,4.664201163408331e-05,62100
Marinobacter,4.631584372055825e-05,2742
Delftia,4.539170129890392e-05,80865
Rhizobacter,4.5282978661062235e-05,212743
Diaphorobacter,4.381522305019947e-05,238749
Proteus,4.376086173127863e-05,583
Prevotella,4.376086173127863e-05,838
Photorhabdus,4.147768633660322e-05,29487
Lysinibacillus,4.115151842307816e-05,400634
Eubacterium,4.115151842307816e-05,1730
Crocosphaera,4.109715710415732e-05,263510
Psychromonas,4.093407314739479e-05,67572
Dolosicoccus,4.066226655279057e-05,171413
Pseudovibrio,3.8977065666244445e-05,258255
Couchioplanes,3.870525907164023e-05,56433
Ramlibacter,3.832472983919432e-05,174951
Myroides,3.821600720135264e-05,76831
Alicycliphilus,3.772675533106505e-05,201096
Azoarcus,3.707441950401494e-05,12960
Psychrobacter,3.625899972020229e-05,497
Herminiimonas,3.446507619581447e-05,303379
Tolumonas,3.441071487689363e-05,43947
Pseudoxanthomonas,3.4084546963368573e-05,83618
Caviibacter,3.381274036876436e-05,1792239
Thiomonas,3.370401773092267e-05,32012
Megasphaera,3.31060432227934e-05,906
Granulicatella,3.299732058495171e-05,117563
Leminorella,3.2888597947110026e-05,82980
Exiguobacterium,3.277987530926834e-05,33986
Xanthomonas,3.2671152671426655e-05,338
Thioalkalivibrio,3.261679135250581e-05,106633
Kurthia,3.201881684437653e-05,1649
Brevibacillus,3.191009420653485e-05,55080
Mucilaginibacter,3.147520365516811e-05,423349
Methyloversatilis,3.060542255243462e-05,378210
Facklamia,3.0170532001067874e-05,66831
Oceanobacillus,2.9681280130780286e-05,182709
Actinopolyspora,2.9626918811859445e-05,1849
Catenovulum,2.9626918811859445e-05,1172191
Curvibacter,2.95725574929386e-05,281915
Variovorax,2.9300750898334384e-05,34072
Weissella,2.9083305622651013e-05,46255
Sphingomonas,2.8539692433442584e-05,13687
Carboxydothermus,2.8539692433442584e-05,129957
Leuconostoc,2.8213524519917526e-05,1243
Capnocytophaga,2.815916320099668e-05,1016
Actinophytocola,2.7996079244234155e-05,695999
Nosocomiicoccus,2.794171792531331e-05,489909
Ignavigranum,2.7452466055025722e-05,89092
Polaromonas,2.739810473610488e-05,52972
Arthrobacter,2.7343743417184036e-05,1663
Alloscardovia,2.723502077934235e-05,419014
Pseudacidovorax,2.6093433082004648e-05,433923
Caballeronia,2.5821626487400432e-05,1827195
Avibacterium,2.5712903849558746e-05,292486
Aquincola,2.5658542530637905e-05,391952
Methylobacterium,2.560418121171706e-05,407
Moellerella,2.5278013298192003e-05,158848
Butyrivibrio,2.4625677471141884e-05,830
Bradyrhizobium,2.4462593514379357e-05,374
Tumebacillus,2.419078691977514e-05,432330
Rugamonas,2.419078691977514e-05,212744
Actinomyces,2.41364256008543e-05,1654
Alcaligenes,2.3864619006250084e-05,507
Rheinheimera,2.3864619006250084e-05,67575
Mitsuaria,2.342972845488334e-05,65047
Aggregatibacter,2.342972845488334e-05,416916
Alysiella,2.3103560541358283e-05,194195
Ottowia,2.2777392627833222e-05,219181
Treponema,2.272303130891238e-05,157
Falsirhodobacter,2.2668669989991537e-05,1434002
Paraglaciecola,2.2614308671070695e-05,1621534
Actinobacillus,2.255994735214985e-05,713
Rummeliibacillus,2.2451224714308165e-05,648802
Laribacter,2.1961972844020577e-05,168470
Phaseolibacter,2.1961972844020577e-05,1297562
Melaminivora,2.1907611525099736e-05,1649468
Methylibium,2.1744527568337205e-05,316612
Arcanobacterium,2.1309637016970462e-05,28263
Mycobacterium,2.1309637016970462e-05,1763
Rappaport,2.1255275698049618e-05,1955421
Moritella,2.0983469103445405e-05,58050
Isobaculum,2.071166250884119e-05,142587
Microbacterium,2.054857855207866e-05,33882
Rosenbergiella,2.0276771957474445e-05,1356488
Glaciecola,2.016804931963276e-05,89404
Zymobacter,2.0059326681791074e-05,33073
Kiloniella,2.0059326681791074e-05,454159
Planococcus,2.000496536287023e-05,1372
Xylophilus,1.951571349258264e-05,54066
Flavobacterium,1.951571349258264e-05,237
Chlamydia,1.951571349258264e-05,810
Rubrivivax,1.929826821689927e-05,28067
Atopococcus,1.929826821689927e-05,269773
Dechloromonas,1.929826821689927e-05,73029
Chitinimonas,1.9189545579057584e-05,240411
Azohydromonas,1.8863377665532527e-05,312063
Vagococcus,1.8645932389849155e-05,2737
Arenimonas,1.8645932389849155e-05,490567
Mesorhizobium,1.859157107092831e-05,68287
Advenella,1.8102319200640726e-05,290425
Verminephrobacter,1.804795788171988e-05,364316
Anaerococcus,1.788487392495735e-05,165779
Turicibacter,1.766742864927398e-05,191303
Leptothrix,1.7558706011432293e-05,88
Cardiobacterium,1.7341260735748922e-05,2717
Skermanella,1.712381546006555e-05,204447
Pandoraea,1.712381546006555e-05,93217
Alishewanella,1.6797647546540493e-05,111142
Chitiniphilus,1.6743286227619648e-05,585890
Azospirillum,1.6471479633015435e-05,191
Virgibacillus,1.6471479633015435e-05,84406
Brochothrix,1.641711831409459e-05,2755
Budvicia,1.625403435733206e-05,82978
Roseateles,1.619967303841122e-05,93681
Derxia,1.603658908164869e-05,203697
Stenoxybacter,1.603658908164869e-05,422440
Dyella,1.5982227762727848e-05,231454
Jeongeupia,1.5982227762727848e-05,885864
Agarivorans,1.5927866443807003e-05,261825
Mannheimia,1.5819143805965317e-05,75984
Haliea,1.5601698530281946e-05,475794
Jeotgalibacillus,1.549297589244026e-05,157226
Hungatella,1.5384253254598574e-05,1649459
Asticcacaulis,1.5221169297836045e-05,76890
Rhodanobacter,1.51668079789152e-05,75309
Sphaerotilus,1.51668079789152e-05,34102
Pseudogulbenkiania,1.4949362703231829e-05,568394
Marinobacterium,1.4895001384310986e-05,48075
Nocardia,1.47862787464693e-05,1817
Crenobacter,1.4514472151865086e-05,1654931
Thiomicrospira,1.44057495140234e-05,933
Oligella,1.44057495140234e-05,90243
Butyricicoccus,1.4297026876181712e-05,580596
Sporosarcina,1.424266555726087e-05,1569
Paracoccus,1.4188304238340027e-05,265
Thiothrix,1.4133942919419184e-05,1030
Rhizobium,1.4025220281577498e-05,379
Candidatus Schmidhempelia,1.3970858962656655e-05,1505768
Massiliomicrobiota,1.3970858962656655e-05,1924110
Candidatus Endoriftia,1.386213632481497e-05,393764
Azotobacter,1.386213632481497e-05,352
Vogesella,1.3807775005894126e-05,57739
Knoellia,1.3590329730210755e-05,136099
Gracilibacillus,1.3427245773448224e-05,74385
Candidatus Magnetomorum,1.3318523135606538e-05,1141978
Thiobacillus,1.3101077859923167e-05,919
Kocuria,1.3101077859923167e-05,57493
Ornithinibacillus,1.3046716541002324e-05,484508
Bartonella,1.2611825989635579e-05,773
Colwellia,1.2394380713952207e-05,28228
Pyramidobacter,1.2394380713952207e-05,638847
Borrelia,1.2340019395031365e-05,138
Azospira,1.2231296757189679e-05,146937
Rothia,1.2176935438268836e-05,32207
Hahella,1.206821280042715e-05,158481
Pisciglobus,1.2013851481506307e-05,1384499
Chitinilyticum,1.1959490162585464e-05,551208
Bosea,1.190512884366462e-05,85413
Cosenzaea,1.190512884366462e-05,1354333
Oceanisphaera,1.1850767524743777e-05,225143
Methylophaga,1.1850767524743777e-05,40222
Desulfovibrio,1.1796406205822934e-05,872
Amphibacillus,1.1742044886902091e-05,29331
Solibacillus,1.1742044886902091e-05,648800
Citreicella,1.1687683567981248e-05,282682
Duganella,1.1687683567981248e-05,75654
Anthococcus,1.1578960930139562e-05,1930830
Paenalcaligenes,1.152459961121872e-05,1100891
Catellicoccus,1.1470238292297876e-05,300418
Desulfosporosinus,1.136151565445619e-05,79206
Roseivivax,1.1307154335535348e-05,93682
Caldimonas,1.1252793016614505e-05,196013
Noviherbaspirillum,1.1252793016614505e-05,1344552
Pelomonas,1.1198431697693662e-05,335058
Basfia,1.1089709059851976e-05,697331
Steroidobacter,1.1089709059851976e-05,469322
Geobacillus,1.1089709059851976e-05,129337
Pseudoduganella,1.1035347740931131e-05,1522432
Chryseobacterium,1.0872263784168603e-05,59732
Lacinutrix,1.081790246524776e-05,291183
Pasteurella,1.0763541146326917e-05,745
Thalassotalea,1.0763541146326917e-05,1518149
Microvirgula,1.0709179827406074e-05,57479
Endozoicomonas,1.0654818508485231e-05,305899
Taylorella,1.0654818508485231e-05,29574
Dialister,1.0600457189564388e-05,39948
Atopobacter,1.0383011913881017e-05,136491
Collimonas,1.0383011913881017e-05,202907
Aneurinibacillus,1.0328650594960174e-05,55079
Coprococcus,1.027428927603933e-05,33042
Cystobacter,1.027428927603933e-05,42
Neptunomonas,1.0219927957118486e-05,75687
Subdoligranulum,1.0219927957118486e-05,292632
Aquitalea,1.0219927957118486e-05,407217
Tepidiphilus,1.0165566638197643e-05,203470
Brevundimonas,1.0056844000355957e-05,41275
Frischella,1.0056844000355957e-05,1335631
Teredinibacter,1.0002482681435115e-05,2425
Hymenobacter,9.893760043593429e-06,89966
Paucibacter,9.7306760868309e-06,318147
Tropicibacter,9.676314767910057e-06,599653
Candidatus Photodesmus,9.676314767910057e-06,1076727
Parageobacillus,9.513230811147528e-06,1906945
Allofustis,9.458869492226686e-06,192987
Oceanivirga,9.404508173305841e-06,1824856
Lautropia,9.350146854384998e-06,47670
Sulfuritalea,9.295785535464155e-06,1054211
Pelistega,9.241424216543312e-06,106146
Magnetospirillum,9.18706289762247e-06,13134
Nitrospirillum,9.18706289762247e-06,1543705
Synechococcus,9.18706289762247e-06,1129
Xylella,9.18706289762247e-06,2370
Cellvibrio,9.078340259780784e-06,10
Halobacillus,9.02397894085994e-06,45667
Blautia,8.969617621939098e-06,572511
Helicobacter,8.915256303018255e-06,209
Halothiobacillus,8.860894984097412e-06,109262
Chromohalobacter,8.806533665176569e-06,42054
Solimonas,8.752172346255726e-06,413435
Buchnera,8.697811027334883e-06,32199
Pseudoflavonifractor,8.64344970841404e-06,1017280
Roseimaritima,8.64344970841404e-06,1579506
Paenisporosarcina,8.589088389493196e-06,651660
Frateuria,8.371643113809824e-06,70411
Gayadomonas,8.371643113809824e-06,1234605
Oribacterium,8.317281794888981e-06,265975
Desemzia,8.262920475968138e-06,82800
Thalassobacter,8.208559157047295e-06,266808
Halotalea,8.208559157047295e-06,376488
Arsukibacterium,8.154197838126452e-06,336830
Acidithiobacillus,8.154197838126452e-06,119977
Wohlfahrtiimonas,8.045475200284767e-06,582472
Simiduia,8.045475200284767e-06,447467
Methylobacillus,7.882391243522238e-06,404
Tepidimonas,7.882391243522238e-06,114248
Candidatus Regiella,7.828029924601395e-06,568988
Sutterella,7.719307286759708e-06,40544
Sphingobium,7.664945967838865e-06,165695
Methylomicrobium,7.664945967838865e-06,39773
Erythrobacter,7.610584648918023e-06,1041
Gallaecimonas,7.501862011076336e-06,745410
Oceanimonas,7.501862011076336e-06,129577
Rhodoferax,7.39313937323465e-06,28065
Methylovulum,7.39313937323465e-06,762296
Basilea,7.39313937323465e-06,1472344
Kitasatospora,7.39313937323465e-06,2063
Hylemonella,7.338778054313807e-06,232523
Luteibacter,7.2300554164721214e-06,242605
Limnohabitans,7.066971459709592e-06,665874
Enhydrobacter,7.012610140788749e-06,212791
Nevskia,7.012610140788749e-06,64001
Aromatoleum,6.958248821867906e-06,551759
Reinekea,6.958248821867906e-06,230494
Thermomonas,6.84952618402622e-06,141948
Holdemania,6.84952618402622e-06,61170
Gemmata,6.795164865105377e-06,113
Azonexus,6.795164865105377e-06,146936
Terribacillus,6.740803546184534e-06,459532
Oceanicaulis,6.740803546184534e-06,153232
Mitsuokella,6.686442227263691e-06,52225
Gulbenkiania,6.686442227263691e-06,397456
Chitinophaga,6.632080908342848e-06,79328
Formivibrio,6.632080908342848e-06,83764
Caenimonas,6.523358270501162e-06,763439
Fenollaria,6.523358270501162e-06,1686313
Gemella,6.414635632659476e-06,1378
Deinococcus,6.3059129948177895e-06,1298
Aliagarivorans,6.3059129948177895e-06,882379
Chondromyces,6.251551675896947e-06,50
Domibacillus,6.197190356976104e-06,1433999
Ferriphaselus,6.088467719134418e-06,1443590
Azovibrio,6.088467719134418e-06,146935
Inquilinus,5.979745081292732e-06,171673
Candidatus Hamiltonella,5.8710224434510454e-06,568987
Nitrolancea,5.8166611245302025e-06,1206748
Rubripirellula,5.76229980560936e-06,1579505
Massilibacterium,5.76229980560936e-06,1923871
Methylophilus,5.76229980560936e-06,16
Alkanindiges,5.76229980560936e-06,222991
Histophilus,5.653577167767674e-06,214906
Roseomonas,5.653577167767674e-06,125216
Caulobacter,5.599215848846831e-06,75
Devosia,5.599215848846831e-06,46913
Agrobacterium,5.544854529925988e-06,357
Afipia,5.544854529925988e-06,1033
Methylococcus,5.544854529925988e-06,413
Paludibacterium,5.490493211005144e-06,400060
Nitrosospira,5.436131892084301e-06,35798
Pontibacillus,5.436131892084301e-06,289201
Neofamilia,5.3817705731634585e-06,1933048
Chrysiogenes,5.3274092542426156e-06,118004
Roseburia,5.3274092542426156e-06,841
Selenomonas,5.273047935321773e-06,970
Thioalkalimicrobium,5.21868661640093e-06,92244
Candidatus Marithrix,5.21868661640093e-06,1031282
Gilvimarinus,5.164325297480087e-06,940550
Aestuariibacter,5.164325297480087e-06,249523
Aquibacillus,5.109963978559243e-06,1647190
Aureimonas,5.109963978559243e-06,414371
Solobacterium,5.0556026596384e-06,123375
Lacimicrobium,5.001241340717557e-06,1751872
Nocardiopsis,5.001241340717557e-06,2013
Sideroxydans,4.8925187028758715e-06,314343
Fluoribacter,4.8925187028758715e-06,461
Amantichitinum,4.8925187028758715e-06,1433987
Microbulbifer,4.8925187028758715e-06,48073
Candidatus Liberibacter,4.783796065034186e-06,34019
Methylotenera,4.783796065034186e-06,359407
Silvimonas,4.729434746113343e-06,300264
Viridibacillus,4.729434746113343e-06,496496
Arcobacter,4.457628151509127e-06,28196
Hoeflea,4.457628151509127e-06,274591
Candidatus Blochmannia,4.457628151509127e-06,203804
Marinimicrobium,4.4032668325882845e-06,359337
Methylomonas,4.348905513667442e-06,416
Acholeplasma,4.348905513667442e-06,2147
Nitrincola,4.348905513667442e-06,267849
Acidilobus,4.348905513667442e-06,105850
Desulfotomaculum,4.348905513667442e-06,1562
Bhargavaea,4.348905513667442e-06,941338
Polycyclovorans,4.240182875825755e-06,1274363
Perlucidibaca,4.240182875825755e-06,661182
Sphingobacterium,4.240182875825755e-06,28453
Rugosibacter,4.240182875825755e-06,1914449
Asaccharospora,4.240182875825755e-06,1505660
Candidatus Accumulibacter,4.131460237984069e-06,327159
Globicatella,4.131460237984069e-06,13075
Andreprevotia,4.131460237984069e-06,397275
Propionivibrio,4.131460237984069e-06,83766
Chelonobacter,4.077098919063226e-06,658623
Azorhizobium,4.022737600142383e-06,6
Centipeda,4.022737600142383e-06,82202
Mizugakiibacter,4.022737600142383e-06,1544982
Lunatimonas,3.9140149623006975e-06,1774589
Simplicispira,3.9140149623006975e-06,352450
Candidatus Arthromitus,3.9140149623006975e-06,49082
Chitinibacter,3.9140149623006975e-06,230666
Anoxybacillus,3.8052923244590113e-06,150247
Borreliella,3.8052923244590113e-06,64895
Anaplasma,3.696569686617325e-06,768
Rhodococcus,3.696569686617325e-06,1827
Hydrogenovibrio,3.642208367696482e-06,28884
Candidatus Tachikawaea,3.587847048775639e-06,1682492
Immundisolibacter,3.587847048775639e-06,1934947
Oleibacter,3.479124410933953e-06,759360
Abiotrophia,3.479124410933953e-06,46123
Jiangella,3.479124410933953e-06,281472
Acetobacter,3.479124410933953e-06,434
Salinicola,3.479124410933953e-06,404432
Oenococcus,3.42476309201311e-06,46254
Nocardioides,3.42476309201311e-06,1839
Alkalimonas,3.370401773092267e-06,265980
Congregibacter,3.370401773092267e-06,393661
Lentisphaera,3.370401773092267e-06,256846
Candidatus Thiodiazotropha,3.370401773092267e-06,1913444
Wigglesworthia,3.370401773092267e-06,51228
Actinotignum,3.370401773092267e-06,1653174
Zhongshania,3.370401773092267e-06,1434050
Oxalobacter,3.370401773092267e-06,846
Rhodospirillum,3.370401773092267e-06,1081
Desulfurispirillum,3.316040454171424e-06,393029
Marinospirillum,3.261679135250581e-06,64968
Sphingopyxis,3.261679135250581e-06,165697
Methylobacter,3.261679135250581e-06,429
Leucothrix,3.261679135250581e-06,45247
Veillonella,3.261679135250581e-06,29465
Candidatus Contendobacter,3.261679135250581e-06,1400859
Geobacter,3.261679135250581e-06,28231
Thermithiobacillus,3.1529564974088948e-06,119979
Sedimenticola,3.1529564974088948e-06,349742
Aquaspirillum,3.1529564974088948e-06,187
Alkaliphilus,3.1529564974088948e-06,114627
Coprobacillus,3.1529564974088948e-06,100883
Thorsellia,3.1529564974088948e-06,336803
Oceanobacter,3.1529564974088948e-06,196079
Aureispira,3.098595178488052e-06,365032
Muribacter,3.044233859567209e-06,1857532
Desulfitobacterium,3.044233859567209e-06,36853
Loktanella,3.044233859567209e-06,245186
Psychrobacillus,3.044233859567209e-06,1221880
Marichromatium,3.044233859567209e-06,85076
Angelakisella,3.044233859567209e-06,1935176
Oceanicola,3.044233859567209e-06,252301
Helcococcus,3.044233859567209e-06,31983
Ensifer,3.044233859567209e-06,106591
Thiorhodococcus,2.989872540646366e-06,57488
Dietzia,2.9355112217255227e-06,37914
Candidatus Hoaglandella,2.9355112217255227e-06,1906659
Candidatus Fukatsuia,2.9355112217255227e-06,1927833
Oleiagrimonas,2.9355112217255227e-06,1649642
Desulfobulbus,2.9355112217255227e-06,893
Aquimonas,2.9355112217255227e-06,265718
Hydrocarboniphaga,2.9355112217255227e-06,243627
Cellulosilyticum,2.9355112217255227e-06,698776
Zymomonas,2.9355112217255227e-06,541
