Species,RA,TAX_ID
Escherichia coli,0.29335215269828036,562
Enterococcus faecalis,0.1289936754969925,1351
Listeria monocytogenes,0.12520893995106655,1639
Shigella flexneri,0.057282102494067066,623
Shigella dysenteriae,0.05719161364311317,622
Achromobacter xylosoxidans,0.03229811446095976,85698
Salmonella enterica,0.026302943102380127,28901
Klebsiella pneumoniae,0.022920983365739053,573
Streptococcus pyogenes,0.022644577109555943,1314
Neisseria meningitidis,0.02028253040265259,487
Staphylococcus aureus,0.019815321320372926,1280
Acinetobacter baumannii,0.01950650843910315,470
Neisseria gonorrhoeae,0.009595726537806996,485
Listeria innocua,0.008332465266421812,1642
Neisseria lactamica,0.008028320676203045,486
Legionella pneumophila,0.007939243169055267,446
Acinetobacter pittii,0.007340779112806485,48296
Vibrio fluvialis,0.0070512365027356454,676
Streptococcus dysgalactiae,0.0034394448555134065,1334
Neisseria cinerea,0.00336610926004927,483
Enterobacter aerogenes,0.002913990700004272,548
Citrobacter freundii,0.002805751486565717,546
Klebsiella oxytoca,0.002761185591764787,571
Enterococcus durans,0.0026174999358109983,53345
Citrobacter amalonaticus,0.0025360219722346334,35703
Staphylococcus epidermidis,0.0024671375380051815,1282
Cronobacter sakazakii,0.002170158231725174,28141
Yersinia pestis,0.0021266237035517934,632
Enterobacter cloacae,0.0018860981495165685,550
Achromobacter denitrificans,0.001836646833848302,32002
Raoultella ornithinolytica,0.0018083656752718288,54291
Staphylococcus haemolyticus,0.0017976177493636875,1283
Pantoea sp. PSNIH2,0.0017964778178279756,1484157
Kluyvera intermedia,0.001741543974297475,61648
Listeria seeligeri,0.001577285268246789,1640
Morococcus cerebrosus,0.0015288653192060714,1056807
Enterobacter lignolyticus,0.0014487444169817446,1334193
Lelliottia amnigena,0.0013817055861910649,61646
Kluyvera cryocrescens,0.0013711747900992494,580
Kluyvera ascorbata,0.0013158066869360969,51288
Staphylococcus capitis,0.0012305832340281072,29388
Neisseria elongata,0.00120072788428327,495
Acinetobacter venetianus,0.0011866144462220742,52133
Neisseria mucosa,0.0011807519411812697,488
Trabulsiella odontotermitis,0.001129292174711987,379893
Leclercia adecarboxylata,0.0011119760718599813,83655
Kosakonia sacchari,0.0010414631640080839,1158459
Yokenella regensburgei,0.0010325065590846328,158877
Streptococcus agalactiae,0.0009422348379470615,1311
Carnobacterium maltaromaticum,0.0008989174395900068,2751
Pluralibacter gergoviae,0.0008919150030134905,61647
Enterobacter sp. 638,0.0007813959265035113,399742
Vibrio alginolyticus,0.0007803645598759624,663
Klebsiella sp. RIT-PI-d,0.0006970952753149075,1681196
Escherichia vulneris,0.0006804305619118802,566
Staphylococcus cohnii,0.0006486210438201082,29382
Enterococcus faecium,0.00063477901802932,1352
Ruminococcus sp. Zagget7,0.0006131203188507926,1930001
Franconibacter pulveris,0.0005587292998611075,435910
Atlantibacter hermannii,0.0005451044038866454,565
Shimwellia blattae,0.0005387533567591074,563
Vibrio vulnificus,0.0005379391199478845,672
