Species,RA,TAX_ID
Escherichia,0.5281534717442853,561
Shigella,0.162315079020246,620
Neisseria,0.12107461743074792,482
Staphylococcus,0.077895361401822,1279
Legionella,0.020843547542902227,445
Klebsiella,0.012390969350089456,570
Salmonella,0.010050421308413231,590
Acinetobacter,0.009461420466055408,469
Citrobacter,0.004682284954718225,544
Enterococcus,0.00448603625998222,1350
Morococcus,0.003967858183271229,212742
Kluyvera,0.0036316623449069536,579
Enterobacter,0.00341893928981665,547
Carnobacterium,0.002070249644729145,2747
Pantoea,0.0014932648951039688,53335
Kingella,0.0013318756072001276,32257
Aeromonas,0.0013146369723964024,642
Moraxella,0.001269205102347176,475
Yersinia,0.0012336663404488558,629
Ruminococcus,0.0010951203666445324,1263
Lelliottia,0.0010710457214876058,1330545
Raoultella,0.001040559662893826,160674
Streptococcus,0.0009005700595739195,1301
Trabulsiella,0.000871400251420818,158851
Lactobacillus,0.0008407443540604988,1578
Leclercia,0.000833186528949506,83654
Kosakonia,0.0008317853591255579,1330547
Yokenella,0.000818962532251851,158876
Cronobacter,0.000809621400092197,413496
Unassigned,0.0008077956333519009,12908
Erwinia,0.0008002802679325429,551
Eikenella,0.0007491587992042544,538
Pluralibacter,0.0006556200985328096,1330546
Aerococcus,0.0006394429560199542,1375
Serratia,0.0006132453262812881,613
Bacillus,0.0005776641046913332,1386
Haemophilus,0.0005200887628345564,724
Cutibacterium,0.0004523655546770645,1912216
Shimwellia,0.00043219720115053877,1335483
Atlantibacter,0.0004228985286825195,1903434
Listeria,0.00042213425423309324,1637
Franconibacter,0.00042115768132549306,1649295
Cedecea,0.00039062916304007827,158483
Siccibacter,0.000365875162816995,1649298
Corynebacterium,0.0003538590700843492,1716
Jeotgalibaca,0.0002930143319716935,1470540
Bergeriella,0.0002773891654500904,334108
Obesumbacterium,0.0002730158172117069,82982
Streptobacillus,0.0002485165751384324,34104
Jeotgalicoccus,0.0002441856865916837,227979
Mangrovibacter,0.0002216820500252444,451512
Methyloglobulus,0.0002165019676457999,1410680
Edwardsiella,0.00020775527116903293,635
Vitreoscilla,0.00020724575486941543,59
Macrococcus,0.00020172599495689257,69965
Simonsiella,0.00020087680112419677,71
Buttiauxella,0.0001949749039869608,82976
Dickeya,0.00019106861235656,204037
Enteractinococcus,0.00017374505816956525,1164863
Pedobacter,0.0001667816687414595,84567
