Species,RA,TAX_ID
Acinetobacter,0.208154263418578,469
Klebsiella,0.19589574124766024,570
Salmonella,0.17287392404524654,590
Escherichia,0.12417831896470438,561
Shigella,0.058960942377034954,620
Legionella,0.04981995090053563,445
Achromobacter,0.02800255506765562,222
Streptococcus,0.020078557208806184,1301
Citrobacter,0.015287756999720025,544
Enterobacter,0.013147283403133488,547
Kluyvera,0.012699711370196131,579
Yersinia,0.012513061840470744,629
Raoultella,0.007009511872795928,160674
Pantoea,0.005433919055031148,53335
Lelliottia,0.003826702197774035,1330545
Erwinia,0.0037882117766182295,551
Cronobacter,0.0034828995665959236,413496
Trabulsiella,0.0034613333255965654,158851
Pluralibacter,0.003369749333549963,1330546
Aeromonas,0.0033069848025697674,642
Kosakonia,0.0032942191352517618,1330547
Yokenella,0.0031430620290544653,158876
Leclercia,0.0030025429789555073,83654
Streptobacillus,0.002918405626177742,34104
Serratia,0.0028639581208744287,613
Bordetella,0.0020431837380871904,517
Franconibacter,0.0017097290342047353,1649295
Shimwellia,0.0016651459081926088,1335483
Atlantibacter,0.0015864242930649062,1903434
Siccibacter,0.0014940666242111518,1649298
Cedecea,0.0014686319991760342,158483
Lamprocystis,0.0014293679012130768,53452
Gallibacterium,0.0013912643184608474,155493
Nitrosomonas,0.0011323727168676533,914
Haemophilus,0.0009064590891793078,724
Edwardsiella,0.0008808310449424022,635
Dickeya,0.0008493037150509636,204037
Comamonas,0.0007775451911876277,283
Mangrovibacter,0.0007579131422061491,451512
Xenorhabdus,0.000670197534195306,626
Pseudomonas,0.0005796773477585374,286
Moraxella,0.0005732945140995344,475
Buttiauxella,0.0005381889289750184,82976
Pectobacterium,0.0004714593043581698,122277
Vibrio,0.000452891060986525,662
Shewanella,0.00044815229054271977,22
Providencia,0.0004246518575254818,586
Neisseria,0.0003745562842623983,482
Sodalis,0.000370494481024851,84565
Obesumbacterium,0.0003694306754150172,82982
Nissabacter,0.0003542472680746617,1964366
Bibersteinia,0.0003516361088505242,476528
Morganella,0.0003501854648371144,581
Cupriavidus,0.0003445763079852634,106589
Izhakiella,0.00031488646051081043,1780190
Tatumella,0.00029902608596419717,82986
Rahnella,0.0002944807347221799,34037
Brenneria,0.0002922564139016183,71655
Gilliamella,0.00027949074658361245,1193503
Chania,0.000270593463301366,1745211
Rhodopseudomonas,0.0002694329480906382,1073
Lactobacillus,0.00025647386157084435,1578
Spongiibacter,0.0002375187797956236,630749
Plesiomonas,0.0002339405245625462,702
Pragia,0.00023355368615897028,82984
Staphylococcus,0.0002280412389080132,1279
Myroides,0.0002239794356704659,76831
Ralstonia,0.0002134380891730217,48736
Idiomarina,0.00021063351074709617,135575
Ruminococcus,0.00020260661387289553,1263
Paraburkholderia,0.00019080804256382954,1822464
Arsenophonus,0.00019013107535757165,637
Alcanivorax,0.00018664952972538825,59753
Ewingella,0.00018239430728605297,41201
Caviibacter,0.00018239430728605297,1792239
Stenotrophomonas,0.00018229759768515898,40323
Hafnia,0.00018200746888247704,568
Photobacterium,0.00017533450642079218,657
Piscirickettsia,0.00016314909670815024,1237
Pseudoalteromonas,0.00015676626304914735,53246
Herbaspirillum,0.00015531561903573757,963
Lonsdalea,0.00015086697739461434,1082702
Rouxiella,0.00014777227016600687,1565532
Candidimonas,0.00013210531482118153,1074468
Bacillus,0.0001258191907630726,1386
Orrella,0.00012533564275860268,1921582
Tistrella,0.00012417512754787487,171436
Acidovorax,0.00012330474113982903,12916
Halomonas,0.00011943635710406969,2745
Massilia,0.00011672848827903814,149698
Lampropedia,0.00011421403865579458,198705
Psychrobacter,0.00011276339464238482,497
Lachnoclostridium,0.00011247326583970286,1506553
Desulfotalea,0.00011189300823433897,109168
Zymobacter,0.00011063578342271719,33073
Erysipelatoclostridium,0.00010657398018516987,1505663
Proteus,0.00010657398018516987,583
Enhygromyxa,0.00010318914415388045,215802
Xenophilus,9.81602449073933e-05,151754
Luteimonas,9.622605288951363e-05,83614
Photorhabdus,9.264779765643625e-05,29487
Methanosarcina,9.245437845464827e-05,2207
Alishewanella,9.245437845464827e-05,111142
Marinobacter,9.16807016474964e-05,2742
Aquabacterium,8.568470639206942e-05,92793
Aggregatibacter,7.843148632502065e-05,416916
Snodgrassella,7.736768071518683e-05,1193515
Burkholderia,7.698084231161091e-05,32008
Hydrogenophaga,7.40795542847914e-05,47420
Leminorella,7.320916787674554e-05,82980
Kiloniella,7.224207186780571e-05,454159
Pusillimonas,7.088813745528994e-05,305976
Janthinobacterium,7.030787984992605e-05,29580
Ideonella,6.963091264366815e-05,36862
Actinobacillus,6.837368783204637e-05,713
Phaseolibacter,6.653620541506068e-05,1297562
Microcystis,6.605265741059077e-05,1125
Francisella,6.28612405810893e-05,262
Alteromonas,6.179743497125548e-05,226
Mannheimia,6.063691976052769e-05,75984
Alicycliphilus,6.044350055873972e-05,201096
Oceanivirga,5.976653335248183e-05,1824856
Marinomonas,5.889614694443598e-05,28253
Haliea,5.754221253192021e-05,475794
Parvibaculum,5.502776290867664e-05,256616
Rosenbergiella,5.444750530331274e-05,1356488
Oligella,5.386724769794884e-05,90243
Exiguobacterium,5.3480409294372906e-05,33986
Salinivibrio,5.2319894083645104e-05,51366
Sanguibacteroides,5.183634607917518e-05,1635148
Castellaniella,5.096595967112933e-05,359336
Clostridium,5.077254046934136e-05,1485
Rheinheimera,4.932189645593161e-05,67575
Grimontia,4.806467164430982e-05,246861
Aliivibrio,4.738770443805194e-05,511678
Avibacterium,4.574364122285422e-05,292486
Kingella,4.574364122285422e-05,32257
Ferrimonas,4.5550222021066255e-05,44011
Asticcacaulis,4.3616030003186585e-05,76890
Brachymonas,4.3519320402292596e-05,28219
Streptomyces,4.3422610801398614e-05,1883
Tolumonas,4.3229191599610644e-05,43947
Tumebacillus,4.0714741976367076e-05,432330
Cosenzaea,3.9554226765639274e-05,1354333
Corynebacterium,3.8780549958487406e-05,1716
Thioalkalivibrio,3.8490421155805454e-05,106633
Frischella,3.829700195401748e-05,1335631
Enterococcus,3.7716744348653585e-05,1350
Tepidiphilus,3.597597153256188e-05,203470
Kinetoplastibacterium,3.520229472541001e-05,33055
Skermanella,3.394506991378823e-05,204447
Methyloglobulus,3.3751650712000257e-05,1410680
Sphingomonas,3.239771629948449e-05,13687
Lysobacter,3.239771629948449e-05,68
Basfia,3.201087789590856e-05,697331
Psychromonas,3.123720108875669e-05,67572
Moellerella,3.0463524281604817e-05,158848
Pelistega,2.9496428272664982e-05,106146
Chromobacterium,2.891617066730108e-05,535
Candidatus Schmidhempelia,2.8432622662831165e-05,1505768
Candidatus Endoriftia,2.8142493860149213e-05,393764
