Species,RA,TAX_ID
Escherichia,0.6619318181818182,561
Shigella,0.2159090909090909,620
Enterococcus,0.017045454545454544,1350
Klebsiella,0.014204545454545454,570
Kluyvera,0.011363636363636364,579
Enterobacter,0.011363636363636364,547
Olsenella,0.005681818181818182,133925
Bacillus,0.005681818181818182,1386
Azovibrio,0.005681818181818182,146935
Salmonella,0.005681818181818182,590
Siccibacter,0.005681818181818182,1649298
Streptomyces,0.005681818181818182,1883
Citrobacter,0.005681818181818182,544
Dialister,0.002840909090909091,39948
Skermanella,0.002840909090909091,204447
Pyrobaculum,0.002840909090909091,2276
Achromobacter,0.002840909090909091,222
Anaeromassilibacillus,0.002840909090909091,1924093
Limnochorda,0.002840909090909091,1676651
Novosphingobium,0.002840909090909091,165696
Listeria,0.002840909090909091,1637
Neorhizobium,0.002840909090909091,1525371
Palaeococcus,0.002840909090909091,83867
