Species,RA
Bacteroides uniformis,0.047
Blautia sp.,0.045
Enterocloster clostridioformis,0.053
Parabacteroides distasonis,0.048
Bacillus subtilis subsp. subtilis,0.052
Streptococcus mutans,0.069
Pseudomonas putida,0.039
Lactobacillus delbrueckii subsp. delbrueckii,0.036
Escherichia coli,0.056
Flavonifractor plautii,0.037
Staphylococcus epidermidis,0.048
Cutibacterium acnes subsp.acnes,0.05
Bifidobacterium longum,0.057
Anaerostipes caccae,0.053
Ruminococcus gnavus,0.056
Megasphaera massiliensis,0.048
Megamonas funiformis,0.037
Collinsella aerofaciens,0.062
Bifidobacterium longum subsp. longum,0.047
Akkermansia muciniphila,0.06
