Species,RA
Streptococcus,0.12599615656540872
Escherichia,0.12143662059941589
Staphylococcus,0.1193782789595465
Lachnoclostridium,0.08596016208115692
Bacillus,0.07392804559290793
Akkermansia,0.0696947472071987
Cutibacterium,0.052956149438007326
Clostridium,0.04451217180548853
Shigella,0.04262813989336341
Bacteroides,0.036934957993846884
Anaerostipes,0.03633353407160041
Bifidobacterium,0.027986715922082444
Blautia,0.026070139339827214
Parabacteroides,0.025892468376407306
Collinsella,0.020255478428597803
Megasphaera,0.012657583131563628
Flavonifractor,0.011454102583884677
Megamonas,0.01045621102770809
Lactobacillus,0.009712033449119334
Pseudomonas,0.007711742326565874
Prevotella,0.0027972203292753466
Ruminococcus,0.0024842299719487087
Eubacterium,0.0019221522790818955
Tyzzerella,0.0015929489026138906
Roseburia,0.0015628955012786734
Coprococcus,0.0012775068204414852
Fusicatenibacter,0.0009739674669557909
Dorea,0.0009296782439354708
Alistipes,0.000921136750924409
Erysipelatoclostridium,0.0008185992908425428
Prevotellamassilia,0.0007446521059782582
Holdemania,0.0007208071046557108
Emergencia,0.0006599489669518959
Clostridioides,0.0005994467247902084
Citrobacter,0.00054088213613566
Ruthenibacterium,0.0005301261819735824
Anaerotruncus,0.0005095633284284337
Klebsiella,0.0005031176647210121
Kluyvera,0.00048512516786900704
Treponema,0.0004779677130773303
Corynebacterium,0.00047642549906144413
Propionibacterium,0.0004687539729311387
Coprobacillus,0.00046183378183421367
Hungatella,0.0004484283830807417
Barnesiella,0.00037250400076019286
Obesumbacterium,0.00036265755742799667
Odoribacter,0.0003579122835329624
Solobacterium,0.00034450688477949046
Faecalitalea,0.0003416992643915952
Enterobacter,0.0003375076057843149
Salmonella,0.000324102207030843
Lactonifactor,0.0003137021484108928
Ruminiclostridium,0.00031006410509136647
Oscillibacter,0.00029480014072900615
Anaerosporobacter,0.0002845978018546824
Cronobacter,0.0002711133152029599
Phascolarctobacterium,0.000264074492258659
Angelakisella,0.0002507481814034377
Fournierella,0.00024390707820476324
Subdoligranulum,0.00021982481318746414
Pseudoflavonifractor,0.00021915256605233428
Lamprocystis,0.0002163054017153137
Faecalibacterium,0.00020780345265337724
Stomatobaculum,0.00020669622207786922
Bariatricus,0.00020127870104770507
Butyricicoccus,0.0001991828717440649
Acinetobacter,0.00019858971250718562
Gabonia,0.00019554482842453863
Intestinimonas,0.0001924999443418916
Porphyromonas,0.00018107174304468398
Lachnoanaerobaculum,0.00017343976086350382
Lelliottia,0.00016853631117196837
Culturomica,0.00015572407165537574
Intestinibacter,0.00014793391367769442
Riemerella,0.00014623352386530715
Enterococcus,0.00014619397991618186
Sellimonas,0.00014397951876516583
Rikenella,0.00014295137608790842
Streptomyces,0.0001373756792612431
Mediterranea,0.00013650571238048683
Coprobacter,0.00013539848180497881
Bittarella,0.00013365854804346623
Holdemanella,0.00012768741172554808
Hymenobacter,0.0001256311263710332
Eisenbergiella,0.00012432617604989877
Pantoea,0.0001231003136270149
Achromatium,0.00011902728686711047
Leclercia,0.00011831549578285532
Actinomyces,0.0001166546499195933
Oribacterium,0.00011345159004044515
Criibacterium,0.00011317478239656816
Veillonella,0.00011190937602455901
Acidaminococcus,0.00011143484863505557
Trabulsiella,0.00011060442570342458
Cellulomonas,0.00010981354672091885
Neglecta,0.00010945765117879129
Hespellia,0.00010882494799278672
Acetivibrio,0.00010803406901028099
Butyrivibrio,0.00010783634926465457
Massilioclostridium,0.00010653139894352013
Catonella,0.00010601732760489141
Kosakonia,0.00010273517982749268
Alloprevotella,0.00010174658109936054
Rhodococcus,9.854352122021238e-05
Catabacter,9.391687917255393e-05
Johnsonella,9.253284095316893e-05
Raoultella,8.719440782125534e-05
Pluralibacter,8.331910080697733e-05
Eggerthella,8.20141504858429e-05
Fibrobacter,7.908789825057174e-05
Selenomonas,7.699206894693159e-05
Senegalimassilia,7.675480525217987e-05
Yokenella,7.572666257492243e-05
Paraprevotella,6.999278995175599e-05
Helicobacter,6.876692752887212e-05
Actinobaculum,6.765969695336412e-05
Cyclobacterium,6.742243325861241e-05
Myroides,6.591976319185154e-05
Gordonibacter,6.560341159884926e-05
Mobiluncus,6.21235440758241e-05
Faecalicoccus,5.9592731331805805e-05
Traorella,5.868322050192423e-05
Raphidiopsis,5.397749055601521e-05
Methyloglobulus,5.018127143998777e-05
Merdibacter,4.622687652745918e-05
Pseudoramibacter,4.472420646069832e-05
Gabonibacter,4.428922302032017e-05
Shewanella,4.39333274781926e-05
Allobaculum,4.227248161493059e-05
Acidipropionibacterium,4.215384976755474e-05
Shimwellia,4.16793223780513e-05
Luteimonas,3.970212492178701e-05
Phocea,3.851580644802843e-05
Haemophilus,3.8159910905900864e-05
Robinsoniella,3.7645839567272145e-05
Franconibacter,3.7092224279518144e-05
Enorma,3.665724083914e-05
Oxalobacter,3.491730707762742e-05
Novosphingobium,3.4403235738998705e-05
Pedobacter,3.4403235738998705e-05
Capnocytophaga,3.436369178987342e-05
Leuconostoc,3.3335549112615985e-05
Atlantibacter,3.254467013011027e-05
Gemmata,3.080473636859769e-05
Rappaport,2.957887394571383e-05
Tannerella,2.9499786047463257e-05
Microcystis,2.8985714708834542e-05
Erwinia,2.8115747828078252e-05
Pediococcus,2.7680764387700108e-05
Acetitomaculum,2.7048061201695532e-05
Drancourtella,2.669216565956796e-05
Pseudobutyrivibrio,2.641535801569096e-05
Siccibacter,2.5229039541932383e-05
Methanosarcina,2.4635880305053096e-05
Arthrospira,2.3765913424296806e-05
Gardnerella,2.2658682848788804e-05
Streptobacillus,2.2540051001412946e-05
Aquabacterium,2.250050705228766e-05
Marinomonas,2.23818752049118e-05
Cedecea,2.2144611510160085e-05
Rhodobacter,2.0918749087276226e-05
Sphingobium,2.0681485392524508e-05
Serratia,2.0641941443399222e-05
Oceanospirillum,2.056285354514865e-05
Sporomusa,1.9930150359144078e-05
Crocosphaera,1.9257903224014216e-05
