Species,RA
Streptococcus mutans,0.12443061118529049
Escherichia coli,0.12038581601331741
Staphylococcus epidermidis,0.09940733144701121
Clostridium clostridioforme,0.07939042568639615
Bacillus subtilis,0.06546302980721631
Cutibacterium acnes,0.052006710849678936
Akkermansia muciniphila,0.027585389113076935
Parabacteroides distasonis,0.023316473041519174
Bifidobacterium longum,0.02308432315747325
Shigella flexneri,0.022566194660224602
Bacteroides uniformis,0.02197813629831355
Clostridium clostridioforme CAG:132,0.021243915885941454
Ruminococcus gnavus,0.02122544058836398
Clostridium clostridioforme CAG:511,0.02009469194340619
Shigella dysenteriae,0.01961200321090312
Anaerostipes sp. CAG:276,0.019299218149579807
Anaerostipes caccae,0.016781225022735838
Collinsella aerofaciens,0.015587884832246887
Megasphaera massiliensis,0.011427446384082099
Flavonifractor plautii,0.011345300376395338
Akkermansia sp. 54_46,0.010873532789422874
Staphylococcus sp. HMSC062B11,0.010852855996106029
Akkermansia muciniphila CAG:154,0.010469148238708441
Megamonas funiformis,0.010279733271956209
Akkermansia sp. UNK.MGS-1,0.010139528209966404
Akkermansia sp. Phil8,0.009346040078963768
Lactobacillus delbrueckii,0.008152440888976067
Staphylococcus sp. DORA_6_22,0.006184390031143827
Pseudomonas putida,0.004555628516673611
Collinsella sp. CAG:166,0.004167301934881656
Clostridium bolteae,0.003301337110812245
Bacillus sp. BSC154,0.003282861813234771
Bacteroides coprocola,0.003254242368622936
Bifidobacterium breve,0.0022506193109680934
Clostridium bolteae CAG:59,0.0020298654048671533
Bacteroides fragilis,0.001972842348559108
Bacillus amyloliquefaciens,0.001902998817062956
Blautia producta,0.0016783599184807712
Tyzzerella nexilis,0.0013423944020193672
Bacteroides plebeius,0.0013322070884018815
Bacteroides stercoris,0.0013010408153856753
Bacteroides coprophilus,0.0012491545824694981
Parabacteroides johnsonii,0.0012326217811326463
Prevotella stercorea,0.0011787498853927218
Bacillus velezensis,0.0010669052685160036
Bacteroides thetaiotaomicron,0.0010515811315066502
Parabacteroides gordonii,0.001010443377788583
Eubacterium ramulus,0.0009677084604948928
Fusicatenibacter saccharivorans,0.0009594636431180293
Pseudomonas entomophila,0.0009248872100349529
Bacteroides oleiciplenus,0.0008989872601599892
Megasphaera elsdenii,0.0008653173253225364
Bacteroides fluxus,0.0008440361998419412
Ruminococcus gauvreauii,0.0007819626533082783
Blautia obeum,0.0007715163401920429
Prevotellamassilia timonensis,0.0007372852397739659
Blautia hansenii,0.0007198459401914904
Staphylococcus capitis,0.0007003778112021428
Clostridium citroniae,0.000671585700257808
Emergencia timonensis,0.0006558730640003302
Bacteroides sp. 43_46,0.0006407647599066013
Bacteroides salyersiae,0.0006121453152947665
Ruminococcaceae bacterium D16,0.0006111524838828929
Clostridioides difficile,0.0006026918335904047
Propionibacterium namnetense,0.0005833532043504319
Coprococcus comes,0.0005780437146260643
Clostridium innocuum,0.000576835050298566
Staphylococcus haemolyticus,0.000566172904266706
Clostridium scindens,0.0005523595976667253
Dorea formicigenerans,0.000544762279036736
Clostridiales bacterium 1_7_47FAA,0.0005352656307492493
Ruthenibacterium lactatiformans,0.000529697141526132
Lachnospiraceae bacterium M18-1,0.0005015093627455466
Blautia sp. KLE 1732,0.0004914083822943108
Holdemania filiformis,0.0004827750656693229
Roseburia intestinalis,0.0004589471117843563
Bifidobacterium saguini,0.0004494936300799946
Ruminococcus faecis,0.0004488461313331205
Hungatella hathewayi,0.0004486302984174958
Coprobacillus sp. D6,0.00044103297978750645
Anaerotruncus colihominis,0.0004365868217256377
Propionibacterium humerusii,0.0004357666566462638
Bacillus licheniformis,0.00043149316491689483
Roseburia hominis,0.0004198813540562861
Treponema endosymbiont of Eucomonympha sp.,0.0004167301934881655
Coprococcus sp. HPP0048,0.0004156078623269171
Blautia schinkii,0.00041258620150817137
Pseudomonas cremoricolorata,0.0004039097183000585
Roseburia inulinivorans,0.000401449223061937
Clostridium glycyrrhizinilyticum,0.0003956217343400701
Ruminococcus lactaris,0.00039277273985382415
Eubacterium contortum,0.00037913209958634326
Obesumbacterium proteus,0.00037882993350446867
Ruminococcus torques,0.00037434060885947496
Bifidobacterium reuteri,0.00035189398563450645
Clostridium symbiosum,0.0003490881577313854
Lactobacillus fermentum,0.0003463254964113893
Faecalitalea cylindroides,0.0003456779976645152
Solobacterium moorei,0.0003401958416076479
Salmonella enterica,0.00033808067903452586
Eubacterium sp. 3_1_31,0.00033259852297765855
Clostridia bacterium UC5.1-1D1,0.0003263393684245423
