SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline
SRR17380241,27,0.4246,0.0176,13.8483,0.7630,0.0246,78.9474,12.1776,0.0,8.0,biobakery3
SRR17380242,27,0.4218,0.0178,14.3753,0.7603,0.0244,78.9474,12.4936,0.0,8.0,biobakery3
SRR17380243,26,0.3956,0.0182,13.8528,0.7637,0.0249,78.9474,12.2299,0.0,7.0,biobakery3
SRR17380244,27,0.4210,0.0177,14.5122,0.7605,0.0246,78.9474,12.0670,0.0,8.0,biobakery3
SRR17380245,27,0.4259,0.0174,15.6858,0.7645,0.0245,78.9474,12.2074,0.0,8.0,biobakery3
SRR17380246,27,0.4226,0.0176,15.1287,0.7625,0.0246,78.9474,12.1748,0.0,8.0,biobakery3
Average,27,0.4186,0.0177,14.5672,0.7624,0.0246,78.9474,12.2250,0.0,7.833333333333333,biobakery3
SRR17380241,20,0.3402,0.0097,3.8094,0.9025,0.0169,94.7368,4.7301,0.0,1.0,biobakery4
SRR17380242,20,0.3412,0.0101,3.8479,0.8988,0.0170,94.7368,4.7592,0.0,1.0,biobakery4
SRR17380243,20,0.3440,0.0098,3.8208,0.9025,0.0169,94.7368,4.7396,0.0,1.0,biobakery4
SRR17380244,20,0.3497,0.0096,3.7897,0.9035,0.0168,94.7368,4.6947,0.0,1.0,biobakery4
SRR17380245,20,0.3364,0.0097,3.8070,0.9030,0.0169,94.7368,4.7237,0.0,1.0,biobakery4
SRR17380246,20,0.3469,0.0097,3.7765,0.9035,0.0168,94.7368,4.6524,0.0,1.0,biobakery4
Average,20,0.3431,0.0098,3.8085,0.9023,0.0169,94.7368,4.7166,0.0,1.0,biobakery4
SRR17380241,32,0.5234,0.0149,8.0323,0.7609,0.0206,100.0000,9.9487,0.0,13.0,jams
SRR17380242,33,0.5285,0.0144,8.5517,0.7617,0.0207,100.0000,9.7779,0.0,14.0,jams
SRR17380243,30,0.4728,0.0158,7.5641,0.7631,0.0219,100.0000,9.6921,0.0,11.0,jams
SRR17380244,33,0.5357,0.0143,8.0522,0.7636,0.0205,100.0000,9.4463,0.0,14.0,jams
SRR17380245,36,0.5698,0.0132,8.6561,0.7618,0.0196,100.0000,9.7728,0.0,17.0,jams
SRR17380246,35,0.5534,0.0138,8.1048,0.7590,0.0200,100.0000,10.0981,0.0,16.0,jams
Average,33,0.5306,0.0144,8.1602,0.7617,0.0206,100.0000,9.7893,0.0,14.166666666666666,jams
SRR17380241,23,0.2253,0.0206,6.2025,0.7636,0.0247,94.7368,8.4619,0.0,4.0,jams202212
SRR17380242,22,0.1639,0.0212,5.3021,0.7671,0.0251,94.7368,7.8357,0.0,3.0,jams202212
SRR17380243,22,0.1808,0.0210,5.3154,0.7691,0.0248,94.7368,7.3115,0.0,3.0,jams202212
SRR17380244,22,0.1691,0.0212,5.0883,0.7673,0.0248,94.7368,7.7266,0.0,3.0,jams202212
SRR17380245,23,0.2413,0.0203,6.0955,0.7666,0.0245,94.7368,7.8788,0.0,4.0,jams202212
SRR17380246,23,0.2374,0.0205,6.1966,0.7640,0.0242,94.7368,8.2394,0.0,4.0,jams202212
Average,22,0.2030,0.0208,5.7001,0.7663,0.0247,94.7368,7.9090,0.0,3.5,jams202212
SRR17380241,34,0.5905,0.0129,8.2953,0.7809,0.0208,100.0000,1.5350,0.0,15.0,sunbeam
SRR17380242,34,0.5860,0.0129,8.4444,0.7805,0.0210,100.0000,1.5415,0.0,15.0,sunbeam
SRR17380243,33,0.5796,0.0133,7.9984,0.7810,0.0212,100.0000,1.5246,0.0,14.0,sunbeam
SRR17380244,33,0.5812,0.0132,7.9924,0.7817,0.0211,100.0000,1.5262,0.0,14.0,sunbeam
SRR17380245,34,0.5920,0.0128,8.3659,0.7819,0.0207,100.0000,1.5338,0.0,15.0,sunbeam
SRR17380246,33,0.5808,0.0133,8.0115,0.7810,0.0211,100.0000,1.5219,0.0,14.0,sunbeam
Average,34,0.5850,0.0131,8.1847,0.7812,0.0210,100.0000,1.5305,0.0,14.5,sunbeam
SRR17380241,55,0.3941,0.0113,14.5447,0.6883,0.0237,89.4737,20.2132,0.0,36.0,wgsa2
SRR17380242,54,0.3827,0.0116,14.4304,0.6875,0.0242,89.4737,20.3473,0.0,35.0,wgsa2
SRR17380243,54,0.3929,0.0115,14.3513,0.6886,0.0238,89.4737,20.0621,0.0,35.0,wgsa2
SRR17380244,54,0.3890,0.0115,14.2716,0.6895,0.0239,89.4737,20.2010,0.0,35.0,wgsa2
SRR17380245,54,0.3913,0.0115,14.3851,0.6896,0.0239,89.4737,20.1429,0.0,35.0,wgsa2
SRR17380246,54,0.3909,0.0115,14.2907,0.6892,0.0239,89.4737,20.1791,0.0,35.0,wgsa2
Average,54,0.3902,0.0115,14.3790,0.6888,0.0239,89.4737,20.1909,0.0,35.166666666666664,wgsa2
SRR17380241,257,0.4704,0.0037,23.8272,0.5206,0.0116,94.7368,26.0628,0.0,238.0,woltka
SRR17380242,264,0.4740,0.0036,24.3616,0.5209,0.0113,94.7368,26.6495,0.0,245.0,woltka
SRR17380243,258,0.4714,0.0037,23.9276,0.5209,0.0116,94.7368,26.0630,0.0,239.0,woltka
SRR17380244,257,0.4687,0.0037,23.8163,0.5199,0.0116,94.7368,26.0586,0.0,238.0,woltka
SRR17380245,258,0.4693,0.0037,23.9240,0.5199,0.0116,94.7368,26.0049,0.0,239.0,woltka
SRR17380246,254,0.4683,0.0038,23.5638,0.5200,0.0117,94.7368,26.0269,0.0,235.0,woltka
Average,258,0.4703,0.0037,23.9034,0.5204,0.0116,94.7368,26.1443,0.0,239.0,woltka
