SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,20,0.0697,0.0241,7.1397,0.7586,0.0336,89.4737,6.4245,biobakery3
SRR17380242,20,0.0655,0.0239,7.1151,0.7615,0.0333,89.4737,6.4792,biobakery3
SRR17380243,20,0.0568,0.0237,7.1419,0.7628,0.0335,89.4737,6.9590,biobakery3
SRR17380244,20,0.0660,0.0244,7.2061,0.7557,0.0336,89.4737,6.3814,biobakery3
SRR17380245,20,0.0764,0.0238,7.0559,0.7621,0.0332,89.4737,6.2467,biobakery3
SRR17380246,20,0.0677,0.0242,7.0979,0.7581,0.0337,89.4737,6.3996,biobakery3
Average,20,0.0670,0.0240,7.1261,0.7598,0.0335,89.4737,6.4817,biobakery3
SRR17380241,19,0.6779,0.0053,0.8227,0.9495,0.0087,100.0000,0.0000,biobakery4
SRR17380242,19,0.6811,0.0057,0.8249,0.9459,0.0087,100.0000,0.0000,biobakery4
SRR17380243,19,0.6885,0.0053,0.8010,0.9494,0.0086,100.0000,0.0000,biobakery4
SRR17380244,19,0.6919,0.0052,0.8012,0.9509,0.0085,100.0000,0.0000,biobakery4
SRR17380245,19,0.6771,0.0052,0.8138,0.9506,0.0086,100.0000,0.0000,biobakery4
SRR17380246,19,0.6850,0.0052,0.7995,0.9511,0.0086,100.0000,0.0000,biobakery4
Average,19,0.6836,0.0053,0.8105,0.9496,0.0086,100.0000,0.0000,biobakery4
SRR17380241,19,0.0269,0.0200,1.8972,0.8102,0.0231,100.0000,0.0000,jams
SRR17380242,20,0.1478,0.0193,2.1855,0.8071,0.0224,100.0000,1.0187,jams
SRR17380243,19,0.0288,0.0199,1.8892,0.8108,0.0229,100.0000,0.0000,jams
SRR17380244,19,0.0269,0.0199,1.8784,0.8111,0.0229,100.0000,0.0000,jams
SRR17380245,19,0.0266,0.0199,1.8859,0.8105,0.0230,100.0000,0.0000,jams
SRR17380246,19,0.0253,0.0201,1.8976,0.8092,0.0231,100.0000,0.0000,jams
Average,19,0.0470,0.0198,1.9390,0.8098,0.0229,100.0000,0.1698,jams
SRR17380241,19,0.0272,0.0200,1.8962,0.8102,0.0231,100.0000,0.0000,jams202212
SRR17380242,19,0.0292,0.0199,1.9038,0.8110,0.0230,100.0000,0.0000,jams202212
SRR17380243,19,0.0288,0.0200,1.8923,0.8104,0.0230,100.0000,0.0000,jams202212
SRR17380244,19,0.0270,0.0199,1.8790,0.8112,0.0229,100.0000,0.0000,jams202212
SRR17380245,19,0.0274,0.0199,1.8811,0.8110,0.0230,100.0000,0.0000,jams202212
SRR17380246,19,0.0253,0.0201,1.8962,0.8093,0.0231,100.0000,0.0000,jams202212
Average,19,0.0275,0.0199,1.8914,0.8105,0.0230,100.0000,0.0000,jams202212
SRR17380241,20,0.0419,0.0235,4.1953,0.7649,0.0337,100.0000,11.3618,wgsa2
SRR17380242,20,0.0429,0.0238,4.2331,0.7624,0.0343,100.0000,11.5737,wgsa2
SRR17380243,20,0.0396,0.0235,4.1920,0.7651,0.0337,100.0000,11.2782,wgsa2
SRR17380244,20,0.0443,0.0235,4.2043,0.7650,0.0339,100.0000,11.4283,wgsa2
SRR17380245,20,0.0421,0.0234,4.1958,0.7656,0.0337,100.0000,11.3516,wgsa2
SRR17380246,20,0.0425,0.0235,4.1963,0.7654,0.0337,100.0000,11.3584,wgsa2
Average,20,0.0422,0.0235,4.2028,0.7647,0.0338,100.0000,11.3920,wgsa2
SRR17380241,22,0.0005,0.0393,8.3354,0.5672,0.0457,89.4737,18.3273,woltka
SRR17380242,22,0.0001,0.0393,8.2909,0.5681,0.0453,89.4737,18.7181,woltka
SRR17380243,22,0.0004,0.0394,8.3365,0.5670,0.0456,89.4737,18.3461,woltka
SRR17380244,22,0.0005,0.0394,8.3293,0.5663,0.0458,89.4737,18.2730,woltka
SRR17380245,22,0.0006,0.0394,8.3342,0.5664,0.0458,89.4737,18.2344,woltka
SRR17380246,22,0.0005,0.0394,8.3546,0.5661,0.0458,89.4737,18.2470,woltka
Average,22,0.0004,0.0394,8.3302,0.5668,0.0457,89.4737,18.3576,woltka
