SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,17,0.2683,0.0031,2.9154,0.8404,0.0048,100.0000,0.0000,bio4
SRR17380242,17,0.2667,0.0030,2.7401,0.8446,0.0047,100.0000,0.0000,bio4
SRR17380243,17,0.2744,0.0030,2.8350,0.8461,0.0046,100.0000,0.0000,bio4
SRR17380244,17,0.2551,0.0032,3.0019,0.8349,0.0048,100.0000,0.0000,bio4
SRR17380245,17,0.2771,0.0031,2.8973,0.8429,0.0047,100.0000,0.0000,bio4
SRR17380246,17,0.2608,0.0032,2.9331,0.8386,0.0048,100.0000,0.0000,bio4
Average,17,0.2671,0.0031,2.8871,0.8412,0.0048,100.0000,0.0000,bio4
SRR17380241,19,0.0294,0.0033,1.8893,0.8104,0.0039,100.0000,0.0000,jams
SRR17380242,19,0.0298,0.0033,1.9110,0.8093,0.0039,100.0000,0.0000,jams
SRR17380243,19,0.0296,0.0033,1.8964,0.8091,0.0039,100.0000,0.0000,jams
SRR17380244,19,0.0276,0.0033,1.8859,0.8093,0.0039,100.0000,0.0000,jams
SRR17380245,19,0.0291,0.0033,1.8776,0.8108,0.0039,100.0000,0.0000,jams
SRR17380246,19,0.0276,0.0033,1.8902,0.8094,0.0039,100.0000,0.0000,jams
Average,19,0.0289,0.0033,1.8917,0.8097,0.0039,100.0000,0.0000,jams
SRR17380241,19,0.0476,0.0036,7.1479,0.7940,0.0048,100.0000,0.0000,wgsa
SRR17380242,19,0.0495,0.0036,7.3192,0.7927,0.0048,100.0000,0.0000,wgsa
SRR17380243,19,0.0477,0.0036,7.2308,0.7938,0.0048,100.0000,0.0000,wgsa
SRR17380244,19,0.0464,0.0036,7.2784,0.7946,0.0048,100.0000,0.0000,wgsa
SRR17380245,19,0.0474,0.0036,7.1787,0.7948,0.0048,100.0000,0.0000,wgsa
SRR17380246,19,0.0471,0.0036,7.1059,0.7944,0.0048,100.0000,0.0000,wgsa
Average,19,0.0476,0.0036,7.2102,0.7941,0.0048,100.0000,0.0000,wgsa
SRR17380241,18,0.0619,0.0067,4.1905,0.6387,0.0082,100.0000,0.0000,woltka
SRR17380242,18,0.0655,0.0066,4.1572,0.6414,0.0081,100.0000,0.0000,woltka
SRR17380243,18,0.0618,0.0067,4.1904,0.6385,0.0082,100.0000,0.0000,woltka
SRR17380244,18,0.0608,0.0067,4.1939,0.6374,0.0083,100.0000,0.0000,woltka
SRR17380245,18,0.0609,0.0067,4.2048,0.6373,0.0083,100.0000,0.0000,woltka
SRR17380246,18,0.0611,0.0067,4.2050,0.6370,0.0083,100.0000,0.0000,woltka
Average,18,0.0620,0.0067,4.1903,0.6384,0.0082,100.0000,0.0000,woltka
