SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,25,0.7349,0.0017,9.2662,0.8682,0.0030,100.0000,12.1824,bio4
SRR17380242,24,0.7228,0.0019,7.0430,0.8627,0.0030,100.0000,12.4963,bio4
SRR17380243,24,0.7262,0.0018,7.6601,0.8661,0.0030,100.0000,12.2389,bio4
SRR17380244,25,0.7321,0.0017,9.2694,0.8695,0.0030,100.0000,12.0713,bio4
SRR17380245,24,0.7233,0.0018,6.8140,0.8689,0.0030,100.0000,12.2145,bio4
SRR17380246,25,0.7337,0.0017,9.2930,0.8673,0.0030,100.0000,12.1816,bio4
Average,24,0.7288,0.0018,8.2243,0.8671,0.0030,100.0000,12.2308,bio4
SRR17380241,41,0.6427,0.0018,13.4612,0.7733,0.0030,100.0000,7.3217,jams
SRR17380242,43,0.6512,0.0017,14.1590,0.7762,0.0029,100.0000,6.6539,jams
SRR17380243,35,0.5914,0.0021,10.7320,0.7779,0.0033,100.0000,6.5015,jams
SRR17380244,40,0.6313,0.0019,12.2247,0.7757,0.0030,100.0000,6.9000,jams
SRR17380245,43,0.6571,0.0017,14.1460,0.7764,0.0029,100.0000,6.6244,jams
SRR17380246,40,0.6321,0.0019,10.6141,0.7726,0.0030,100.0000,7.1679,jams
Average,40,0.6343,0.0019,12.5562,0.7753,0.0030,100.0000,6.8615,jams
SRR17380241,2991,0.5945,0.0000,84.4364,0.7090,0.0005,100.0000,21.0065,wgsa
SRR17380242,3069,0.5864,0.0000,85.0036,0.7069,0.0005,100.0000,21.1566,wgsa
SRR17380243,2978,0.5967,0.0000,84.4862,0.7094,0.0005,100.0000,20.8576,wgsa
SRR17380244,3101,0.5933,0.0000,87.3076,0.7097,0.0005,100.0000,21.0032,wgsa
SRR17380245,3060,0.5954,0.0000,86.3309,0.7100,0.0005,100.0000,20.9410,wgsa
SRR17380246,3022,0.5951,0.0000,85.3077,0.7097,0.0005,100.0000,20.9850,wgsa
Average,3037,0.5936,0.0000,85.4788,0.7091,0.0005,100.0000,20.9917,wgsa
SRR17380241,2659,0.5208,0.0001,144.7338,0.5339,0.0006,100.0000,27.1282,woltka
SRR17380242,3356,0.5244,0.0000,156.7421,0.5343,0.0005,100.0000,27.7533,woltka
SRR17380243,2735,0.5217,0.0001,146.6864,0.5344,0.0006,100.0000,27.1411,woltka
SRR17380244,3088,0.5194,0.0001,154.7923,0.5328,0.0005,100.0000,27.1434,woltka
SRR17380245,2940,0.5197,0.0001,150.4796,0.5330,0.0006,100.0000,27.0826,woltka
SRR17380246,2721,0.5191,0.0001,146.6560,0.5327,0.0006,100.0000,27.1132,woltka
Average,2916,0.5209,0.0001,150.0150,0.5335,0.0006,100.0000,27.2270,woltka
