SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,18,0.1320,0.0034,4.1482,0.8153,0.0051,100.0000,6.4245,bio4
SRR17380242,18,0.1283,0.0034,4.0185,0.8171,0.0050,100.0000,6.4792,bio4
SRR17380243,18,0.1142,0.0033,4.1452,0.8193,0.0050,100.0000,6.9590,bio4
SRR17380244,18,0.1262,0.0034,4.2104,0.8121,0.0051,100.0000,6.3814,bio4
SRR17380245,18,0.1433,0.0033,4.1141,0.8202,0.0050,100.0000,6.2467,bio4
SRR17380246,18,0.1287,0.0034,4.1596,0.8156,0.0051,100.0000,6.3996,bio4
Average,18,0.1288,0.0034,4.1327,0.8166,0.0050,100.0000,6.4817,bio4
SRR17380241,27,0.5881,0.0023,9.1593,0.8098,0.0032,100.0000,0.1713,jams
SRR17380242,27,0.5853,0.0024,9.8110,0.8087,0.0033,100.0000,0.1414,jams
SRR17380243,25,0.5323,0.0026,7.6416,0.8084,0.0034,100.0000,0.1737,jams
SRR17380244,25,0.5317,0.0025,7.3646,0.8089,0.0034,100.0000,0.1075,jams
SRR17380245,26,0.5645,0.0024,9.0853,0.8102,0.0033,100.0000,0.1652,jams
SRR17380246,22,0.3811,0.0029,3.7742,0.8088,0.0036,100.0000,0.1559,jams
Average,25,0.5305,0.0025,7.8060,0.8091,0.0034,100.0000,0.1525,jams
SRR17380241,147,0.5273,0.0007,24.3587,0.7020,0.0023,100.0000,18.1184,wgsa
SRR17380242,147,0.5206,0.0007,24.1232,0.6995,0.0023,100.0000,18.2704,wgsa
SRR17380243,146,0.5285,0.0007,24.3303,0.7024,0.0023,100.0000,18.0326,wgsa
SRR17380244,151,0.5270,0.0007,24.5720,0.7023,0.0023,100.0000,18.1563,wgsa
SRR17380245,142,0.5262,0.0007,24.0035,0.7030,0.0024,100.0000,18.0774,wgsa
SRR17380246,144,0.5265,0.0007,24.0502,0.7025,0.0023,100.0000,18.1130,wgsa
Average,146,0.5260,0.0007,24.2396,0.7019,0.0023,100.0000,18.1280,wgsa
SRR17380241,224,0.4519,0.0006,26.4722,0.5773,0.0023,100.0000,21.3329,woltka
SRR17380242,231,0.4551,0.0006,26.5257,0.5779,0.0022,100.0000,21.8369,woltka
SRR17380243,225,0.4524,0.0006,26.1900,0.5771,0.0023,100.0000,21.3672,woltka
SRR17380244,223,0.4506,0.0006,26.2066,0.5765,0.0023,100.0000,21.2850,woltka
SRR17380245,225,0.4512,0.0006,26.1996,0.5765,0.0023,100.0000,21.2554,woltka
SRR17380246,222,0.4504,0.0006,26.0036,0.5762,0.0023,100.0000,21.2523,woltka
Average,225,0.4519,0.0006,26.2663,0.5769,0.0023,100.0000,21.3883,woltka
