SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,24,0.7167,0.0018,6.9206,0.8675,0.0031,100.0000,2.0709,bio4
SRR17380242,24,0.7189,0.0019,7.5479,0.8641,0.0030,100.0000,2.0928,bio4
SRR17380243,24,0.7253,0.0018,6.7596,0.8692,0.0030,100.0000,1.9979,bio4
SRR17380244,24,0.7150,0.0018,8.3137,0.8691,0.0031,100.0000,1.9960,bio4
SRR17380245,24,0.7210,0.0018,6.7387,0.8686,0.0030,100.0000,2.0268,bio4
SRR17380246,24,0.7198,0.0018,6.8349,0.8678,0.0030,100.0000,2.0683,bio4
Average,24,0.7194,0.0018,7.1859,0.8677,0.0030,100.0000,2.0421,bio4
SRR17380241,37,0.6109,0.0020,11.3769,0.7773,0.0032,100.0000,1.1500,jams
SRR17380242,40,0.6229,0.0019,13.3173,0.7752,0.0031,100.0000,1.1801,jams
SRR17380243,35,0.5980,0.0021,11.3420,0.7798,0.0032,100.0000,1.0373,jams
SRR17380244,41,0.6365,0.0018,12.9537,0.7775,0.0030,100.0000,1.1572,jams
SRR17380245,39,0.6317,0.0019,12.0451,0.7764,0.0030,100.0000,1.0974,jams
SRR17380246,37,0.6223,0.0020,9.7986,0.7737,0.0031,100.0000,1.1630,jams
Average,38,0.6204,0.0020,11.8056,0.7766,0.0031,100.0000,1.1308,jams
SRR17380241,180,0.7709,0.0004,24.1590,0.7735,0.0014,100.0000,1.5907,wgsa
SRR17380242,176,0.7678,0.0004,23.7314,0.7730,0.0015,100.0000,1.5523,wgsa
SRR17380243,177,0.7695,0.0004,23.9776,0.7734,0.0015,100.0000,1.5812,wgsa
SRR17380244,177,0.7721,0.0004,23.9891,0.7747,0.0014,100.0000,1.5713,wgsa
SRR17380245,177,0.7716,0.0004,23.9247,0.7747,0.0015,100.0000,1.5794,wgsa
SRR17380246,177,0.7716,0.0004,23.8469,0.7741,0.0015,100.0000,1.5850,wgsa
Average,177,0.7706,0.0004,23.9381,0.7739,0.0015,100.0000,1.5767,wgsa
SRR17380241,328,0.5101,0.0005,23.2527,0.5419,0.0017,100.0000,4.3193,woltka
SRR17380242,330,0.5140,0.0005,23.2722,0.5433,0.0016,100.0000,4.3728,woltka
SRR17380243,323,0.5105,0.0005,22.9629,0.5422,0.0017,100.0000,4.3155,woltka
SRR17380244,324,0.5079,0.0005,23.0450,0.5414,0.0017,100.0000,4.3051,woltka
SRR17380245,322,0.5077,0.0005,22.9938,0.5412,0.0017,100.0000,4.2976,woltka
SRR17380246,323,0.5077,0.0005,23.0808,0.5411,0.0017,100.0000,4.3100,woltka
Average,325,0.5097,0.0005,23.1012,0.5418,0.0017,100.0000,4.3200,woltka
