SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,24,0.4417,0.0188,4.8308,0.8095,0.0242,78.9474,12.4255,bio4
SRR17380242,24,0.4334,0.0187,4.8759,0.8096,0.0243,78.9474,12.5566,bio4
SRR17380243,24,0.4286,0.0187,4.9216,0.8103,0.0243,78.9474,11.9873,bio4
SRR17380244,24,0.4186,0.0192,4.8662,0.8056,0.0244,78.9474,11.9759,bio4
SRR17380245,24,0.4385,0.0187,4.8465,0.8103,0.0242,78.9474,12.1608,bio4
SRR17380246,24,0.4367,0.0187,4.8611,0.8104,0.0242,78.9474,12.4099,bio4
Average,24,0.4329,0.0188,4.8670,0.8093,0.0243,78.9474,12.2527,bio4
SRR17380241,39,0.0708,0.0196,2.5904,0.8046,0.0226,100.0000,9.2244,jams
SRR17380242,41,0.0721,0.0197,2.9884,0.8033,0.0229,100.0000,9.5732,jams
SRR17380243,35,0.0698,0.0196,2.5858,0.8045,0.0226,100.0000,9.3984,jams
SRR17380244,41,0.0677,0.0195,2.5877,0.8050,0.0225,100.0000,9.3953,jams
SRR17380245,41,0.0672,0.0197,2.8284,0.8026,0.0228,100.0000,9.7363,jams
SRR17380246,38,0.0686,0.0198,3.0816,0.8014,0.0229,100.0000,9.9863,jams
Average,39,0.0694,0.0196,2.7771,0.8036,0.0227,100.0000,9.5523,jams
SRR17380241,2999,0.0780,0.0238,3.9952,0.7250,0.0281,89.4737,35.3971,wgsa
SRR17380242,3073,0.0794,0.0238,4.0248,0.7229,0.0284,89.4737,36.0705,wgsa
SRR17380243,2978,0.0778,0.0238,3.9966,0.7250,0.0282,89.4737,35.2305,wgsa
SRR17380244,3105,0.0770,0.0237,3.9951,0.7256,0.0281,89.4737,35.5026,wgsa
SRR17380245,3064,0.0774,0.0237,3.9891,0.7257,0.0281,89.4737,35.3494,wgsa
SRR17380246,3027,0.0776,0.0237,3.9944,0.7256,0.0281,89.4737,35.4195,wgsa
Average,3041,0.0779,0.0238,3.9992,0.7250,0.0282,89.4737,35.4949,wgsa
SRR17380241,328,0.0682,0.0360,4.1020,0.6054,0.0398,94.7368,26.4628,woltka
SRR17380242,330,0.0693,0.0356,4.0792,0.6082,0.0393,94.7368,26.7945,woltka
SRR17380243,323,0.0677,0.0359,4.0981,0.6057,0.0397,94.7368,26.4708,woltka
SRR17380244,324,0.0669,0.0360,4.1057,0.6046,0.0399,94.7368,26.3951,woltka
SRR17380245,322,0.0673,0.0361,4.1099,0.6042,0.0399,94.7368,26.3597,woltka
SRR17380246,323,0.0675,0.0360,4.1132,0.6045,0.0399,94.7368,26.4282,woltka
Average,325,0.0678,0.0360,4.1014,0.6054,0.0398,94.7368,26.4852,woltka
