genus,SRR17380241,tax_id
AKKERMANSIA,0.048541299999999996,239934
ANAEROSTIPES,0.0663031,207244
BACILLUS,0.0424268,1386
BACTEROIDES,0.059015000000000005,816
BIFIDOBACTERIUM,0.10595179999999998,1678
BLAUTIA,0.13290949999999999,572511
COLLINSELLA,0.0480843,102106
CUTIBACTERIUM,0.0578088,1912216
ESCHERICHIA,0.0710588,561
FLAVONIFRACTOR,0.0390557,946234
LACHNOCLOSTRIDIUM,0.0644431,1506553
LACTOBACILLUS,0.0420158,1578
MEGAMONAS,0.013345000000000001,158846
MEGASPHAERA,0.0082173,906
PARABACTEROIDES,0.0625934,375288
PSEUDOMONAS,0.0074249,286
STAPHYLOCOCCUS,0.0516477,1279
STREPTOCOCCUS,0.0791576,1301
