species,SRR17380241,tax_id
AKKERMANSIA_MUCINIPHILA,0.048541299999999996,239935
ANAEROSTIPES_CACCAE,0.0663031,105841
BACILLUS_INTESTINALIS,0.0046177,1963032
BACILLUS_MURIMARTINI,0.0378091,171685
BACTEROIDES_UNIFORMIS,0.059015000000000005,820
BIFIDOBACTERIUM_LONGUM,0.10595179999999998,216816
BLAUTIA_COCCOIDES,0.00036490000000000003,1532
BLAUTIA_PRODUCTA,0.0604723,33035
CLOSTRIDIUM_CLOSTRIDIIFORME,0.0644431,1531
COLLINSELLA_AEROFACIENS,0.0480485,74426
COLLINSELLA_STERCORIS,3.5799999999999996e-05,147206
CUTIBACTERIUM_ACNES,0.0578088,1747
ESCHERICHIA_COLI,0.0710588,562
FLAVONIFRACTOR_PLAUTII,0.0390557,292800
LACTOBACILLUS_DELBRUECKII,0.0420158,1584
MEGAMONAS_FUNIFORMIS,0.008031700000000001,437897
MEGAMONAS_FUNIFORMIS_CAG-377,0.0005115,1263086
MEGAMONAS_HYPERMEGALE,0.0048018,158847
MEGASPHAERA_SP._DISK-18,0.0082173,1776081
PARABACTEROIDES_DISTASONIS,0.0625934,823
PSEUDOMONAS_PUTIDA_GROUP,0.0074249,136845
RUMINOCOCCUS_GNAVUS,0.0720723,33038
STAPHYLOCOCCUS_EPIDERMIDIS,0.0516477,1282
STREPTOCOCCUS_MUTANS,0.0791576,1309
