species,SRR17380245,tax_id
AKKERMANSIA_MUCINIPHILA,0.0534238,239935
ANAEROSTIPES_CACCAE,0.052989499999999995,105841
BACILLUS_SUBTILIS,0.0541559,1423
BACTEROIDES_UNIFORMIS,0.0523661,820
BIFIDOBACTERIUM_LONGUM,0.097091,216816
BLAUTIA_PRODUCTA,0.047236799999999995,33035
COLLINSELLA_AEROFACIENS,0.0305171,74426
CUTIBACTERIUM_ACNES,0.0517505,1747
ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.055158500000000006,1531
ESCHERICHIA_COLI,0.0605992,562
FLAVONIFRACTOR_PLAUTII,0.0349078,292800
LACTOBACILLUS_DELBRUECKII,0.0362125,1584
MEGAMONAS_FUNIFORMIS,0.0320271,437897
MEGASPHAERA_MASSILIENSIS,0.0586298,1232428
PARABACTEROIDES_DISTASONIS,0.0552874,823
PSEUDOMONAS_PUTIDA,0.0442267,303
RUMINOCOCCUS_GNAVUS,0.0644671,33038
STAPHYLOCOCCUS_EPIDERMIDIS,0.0496035,1282
STREPTOCOCCUS_MUTANS,0.0693495,1309
