genus,SRR17380246,tax_id
AKKERMANSIA,0.10787940000000001,239934
ANAEROSTIPES,0.10762359999999999,207244
BACILLUS,0.1046858,1386
BACTEROIDES,0.10378180000000001,816
BIFIDOBACTERIUM,0.194713,1678
BLAUTIA,0.09304779999999999,572511
COLLINSELLA,0.0625544,102106
CUTIBACTERIUM,0.10375920000000001,1912216
ENTEROCLOSTER,0.11370100000000001,2719313
ESCHERICHIA,0.123168,561
FLAVONIFRACTOR,0.068708,946234
LACTOBACILLUS,0.07253599999999999,1578
MEDITERRANEIBACTER,0.1267744,2316020
MEGAMONAS,0.0631292,158846
MEGASPHAERA,0.11914659999999999,906
PARABACTEROIDES,0.1140482,375288
PSEUDOMONAS,0.086286,286
STAPHYLOCOCCUS,0.0961966,1279
STREPTOCOCCUS,0.1382612,1301
