species,SRR17380243
Enterocloster clostridioformis,80905.0
Escherichia coli,74173.0
Parabacteroides distasonis,73254.0
Pseudomonas putida,74473.0
Bacteroides uniformis,67138.0
Bifidobacterium longum,66958.0
Ruminococcus gnavus,63790.0
Bacillus subtilis,56788.0
Blautia producta,54049.0
Anaerostipes caccae,47424.0
Megasphaera massiliensis,41830.0
Akkermansia muciniphila,41186.0
Flavonifractor plautii,38402.0
Streptococcus mutans,35155.0
Cutibacterium acnes,34218.0
Staphylococcus epidermidis,30213.0
Collinsella aerofaciens,30484.0
Megamonas funiformis,24591.0
Lactobacillus delbrueckii,19384.0
Blautia Unclassified NSJ 34,2688.0
Blautia Unclassified NBRC 113351,5649.0
Blautia Unclassified AF13 16,607.0
Blautia marasmi,0.0
Akkermansia phage DTMo 2021a,0.0
Staphylococcus aureus,729.0
Bacteroides thetaiotaomicron,891.0
Clostridioides difficile,492.0
Sporofaciens musculi,277.0
Parabacteroides Unclassified AF27 14,0.0
Bacteroides Unclassified 3 1 23,139.0
Bacteroides eggerthii,183.0
Eisenbergiella massiliensis,0.0
Campylobacter coli,84.0
Bacteroides intestinalis,55.0
Bacteroides fragilis,76.0
Staphylococcus Unclassified HMSC076E07,0.0
Enterococcus faecium,0.0
Blautia Unclassified AM47 4,0.0
Bacteroides finegoldii,0.0
Phocaeicola vulgatus,13.0
Blautia Unclassified AF34 10,32.0
Citrobacter Unclassified RHBSTW 00053,0.0
Paenibacillus ihbetae,0.0
Megamonas rupellensis,26.0
Blautia pseudococcoides,49.0
Bacteroides Unclassified AM32 11AC,0.0
Megamonas hypermegale,0.0
Bacteroides nordii,0.0
Clostridium Unclassified MCC353,0.0
Bacteroides Unclassified AF17 1,0.0
Mucispirillum schaedleri,0.0
