genus,SRR17380245,tax_id
BLAUTIA,0.084012915987084,572511
ENTEROCLOSTER,0.08096591903408097,2719313
PARABACTEROIDES,0.07543692456307544,375288
ESCHERICHIA,0.07455392544607456,561
PSEUDOMONAS,0.07288492711507288,286
BACTEROIDES,0.0705109294890705,816
BIFIDOBACTERIUM,0.06694593305406694,1678
MEDITERRANEIBACTER,0.06447593552406447,2316020
BACILLUS,0.05663794336205664,1386
ANAEROSTIPES,0.048073951926048075,207244
MEGASPHAERA,0.041995958004041996,906
AKKERMANSIA,0.037583962416037585,239934
FLAVONIFRACTOR,0.03730696269303731,946234
STREPTOCOCCUS,0.03605496394503605,1301
CUTIBACTERIUM,0.03382296617703382,1912216
STAPHYLOCOCCUS,0.031918968081031916,1279
COLLINSELLA,0.03001796998203002,102106
MEGAMONAS,0.025573974426025572,158846
LACTOBACILLUS,0.019355980644019357,1578
UNCLASSIFIED,0.00774999225000775,12908
SPOROFACIENS,0.000373999626000374,2811390
CLOSTRIDIOIDES,0.000287999712000288,1870884
ENTEROCOCCUS,0.000177999822000178,1350
CAMPYLOBACTER,7.7999922000078e-05,194
PHOCAEICOLA,1.0999989000011e-05,909656
PAENIBACILLUS,1.0999989000011e-05,44249
CITROBACTER,0.0,544
PSYCHROBACTER,0.0,497
CLOSTRIDIUM,0.0,1485
