genus,SRR17380241,tax_id
BLAUTIA,0.08398908398908399,572511
ENTEROCLOSTER,0.07999207999208,2719313
PARABACTEROIDES,0.07528807528807528,375288
ESCHERICHIA,0.07496207496207496,561
PSEUDOMONAS,0.07298507298507298,286
BACTEROIDES,0.0708030708030708,816
BIFIDOBACTERIUM,0.06704206704206704,1678
MEDITERRANEIBACTER,0.06443106443106443,2316020
BACILLUS,0.05647105647105647,1386
ANAEROSTIPES,0.04890704890704891,207244
MEGASPHAERA,0.04219104219104219,906
AKKERMANSIA,0.03766903766903767,239934
FLAVONIFRACTOR,0.0374990374990375,946234
STREPTOCOCCUS,0.036059036059036056,1301
CUTIBACTERIUM,0.033909033909033916,1912216
STAPHYLOCOCCUS,0.030239030239030237,1279
COLLINSELLA,0.029946029946029948,102106
MEGAMONAS,0.02511902511902512,158846
LACTOBACILLUS,0.019438019438019438,1578
UNCLASSIFIED,0.00894900894900895,12908
CLOSTRIDIOIDES,0.000679000679000679,1870884
SPOROFACIENS,9.4000094000094e-05,2811390
PHOCAEICOLA,8.4000084000084e-05,909656
MURIVENTRICOLA,6.9000069000069e-05,2981639
EUBACTERIUM,4.2000042000042e-05,1730
PAENIBACILLUS,0.0,44249
PSYCHROBACTER,0.0,497
ENTEROCOCCUS,0.0,1350
