Species,RA,TAX_ID
Blautia sp. NBRC 113351,0.07758914076073947,2877527
Pseudomonas putida,0.07535828096783491,303
Bifidobacterium longum,0.06805038323565858,216816
Parabacteroides distasonis,0.06209484248012988,823
Ruminococcus gnavus,0.057811021750068796,33038
Enterocloster clostridioformis,0.05676398317573476,1531
Anaerostipes caccae,0.045088200380060346,105841
Bacteroides uniformis,0.04489238951137657,820
Megasphaera massiliensis,0.043393683247219976,1232428
Akkermansia muciniphila,0.04165520026444645,239935
Flavonifractor plautii,0.03947604105433365,292800
Cutibacterium acnes,0.03634082815377626,1747
Collinsella aerofaciens,0.03255589769309557,74426
Streptococcus mutans,0.03108914808838113,1309
Staphylococcus epidermidis,0.024901768892695644,1282
Megamonas funiformis,0.020479130062382656,437897
Lactobacillus delbrueckii,0.019608361978984325,1584
Escherichia coli,0.005369940059891258,562
unclassified,0.00501882389723064,12908
Lachnoclostridium sp. YL32,0.003316368485930114,1834196
Bacillus subtilis,0.00307984849693786,1423
Enterocloster bolteae,0.0012308402525268152,208479
Clostridioides difficile,0.0004455613217762855,1496
Bacillus vallismortis,0.00037411681563490756,72361
Faecalibacterium prausnitzii,0.0003692317211978903,853
Clostridium hylemonae,0.00031081413355522517,89153
Ruminococcus sp. FMBCY1,0.00026684828362206955,2831966
Bacillus tequilensis,0.0002013065999254209,227866
Bacillus cabrialesii,0.00015734074999226527,2487276
Bacillus rugosus,0.00012416281694085617,2715209
Escherichia albertii,0.00011296780885602487,208962
Shigella flexneri,0.00011276426325448248,623
Clostridium innocuum,0.00010319761998199029,1522
Wansuia hejianensis,0.00010258698317736313,2763667
Escherichia fergusonii,8.447142464009067e-05,564
Escherichia marmotae,8.182533182003964e-05,1499973
Bacillus halotolerans,7.510832696914086e-05,260554
Bacillus velezensis,6.940905012595402e-05,492670
Bacillus inaquosorum,6.879841332132686e-05,483913
Staphylococcus aureus,6.737359411053015e-05,1280
Longicatena caecimuris,6.574522929819105e-05,1796635
Roseburia hominis,6.554168369664867e-05,301301
Escherichia sp. E4742,6.411686448585196e-05,2044467
Bacillus mojavensis,5.841758764266511e-05,72360
Roseburia intestinalis,5.4550221213359755e-05,166486
Anaerotruncus colihominis,5.414313001027498e-05,169435
Bacillus sp. MBGLi79,4.844385316708814e-05,2070759
Salmonella enterica,4.620485155012188e-05,28901
Shigella dysenteriae,4.5390669143952335e-05,622
Dorea longicatena,4.498357794086756e-05,88431
Ruthenibacterium lactatiformans,4.416939553469801e-05,1550024
Blautia pseudococcoides,4.030202910539266e-05,1796616
Faecalibacterium sp. I3389,3.948784669922311e-05,2929493
Staphylococcus haemolyticus,3.826657308996879e-05,1283
Blautia sp. SC05B48,3.7452390683799236e-05,2479767
Shigella boydii,3.724884508225685e-05,621
Bacillus sp. JS,3.6231117074544916e-05,1127744
Dysosmobacter welbionis,3.6027571473002525e-05,2093857
Enterococcus faecium,3.4806297863748205e-05,1352
Megasphaera stantonii,3.3381478652951494e-05,2144175
Blautia argi,3.297438744986672e-05,1912897
Bacillus spizizenii,3.2770841848324334e-05,96241
Bacillus atrophaeus,3.256729624678194e-05,1452
Blautia producta,3.093893143444285e-05,33035
Shigella sonnei,2.931056662210375e-05,624
Bacteroides fragilis,2.9107021020561364e-05,817
Eubacterium sp. NSJ-61,2.9107021020561364e-05,2764325
Bacteroides humanifaecis,2.788574741130704e-05,2792859
Cutibacterium avidum,2.646092820051033e-05,33010
Klebsiella pneumoniae,2.6053836997425554e-05,573
Bacteroides xylanisolvens,2.483256338817123e-05,371601
Phocaeicola dorei,2.4629017786628847e-05,357276
Novisyntrophococcus fermenticellae,2.442547218508646e-05,2068655
Bifidobacterium breve,2.3814835380459295e-05,1685
Clostridium scindens,2.3814835380459295e-05,29347
Citrobacter freundii,2.361128977891691e-05,546
Cutibacterium modestum,2.3204198575832135e-05,2559073
Bacillus sp. MD-5,2.21864705681202e-05,2009331
Streptococcus troglodytae,2.1168742560408264e-05,1111760
Clostridium sp. M62/1,2.0354560154238713e-05,411486
Bacillus sp. LJBS06,1.9540377748069166e-05,2809036
Massilistercora timonensis,1.8929740943442006e-05,2086584
Coprococcus sp. ART55/1,1.8929740943442006e-05,751585
Dehalobacter restrictus,1.8929740943442006e-05,55583
Qiania dongpingensis,1.8726195341899618e-05,2763669
Homo sapiens,1.852264974035723e-05,9606
Bacteroides cellulosilyticus,1.791201293573007e-05,246787
Christensenella sp. Marseille-P3954,1.6690739326475747e-05,2086585
Faecalibacterium sp. IP118,1.628364812339097e-05,2929488
Coprococcus eutactus,1.628364812339097e-05,33043
Bacteroides sp. HF-162,1.628364812339097e-05,2785531
Bacillus intestinalis,1.6080102521848584e-05,1963032
Eubacterium maltosivorans,1.6080102521848584e-05,2041044
Lacrimispora saccharolytica,1.5265920115679036e-05,84030
Streptococcus oralis,1.4858828912594262e-05,1303
Bacteroides helcogenes,1.4451737709509488e-05,290053
Bacillus sp. WR11,1.4451737709509488e-05,2448811
Blautia liquoris,1.3230464100255165e-05,2779518
Citrobacter farmeri,1.221273609254323e-05,67824
Bacteroides sp. A1C1,1.2009190491000842e-05,2528203
Bacteroides stercoris,1.2009190491000842e-05,46506
Caproicibacter fermentans,1.1805644889458456e-05,2576756
Bacteroides thetaiotaomicron,1.1805644889458456e-05,818
Faecalicatena sp. Marseille-Q4148,1.1602099287916068e-05,2823316
Lactobacillus iners,1.1602099287916068e-05,147802
Enterobacter cloacae,1.1602099287916068e-05,550
Bacillus amyloliquefaciens,1.1195008084831294e-05,1390
Blautia obeum,1.0991462483288906e-05,40520
Enterobacter hormaechei,1.0787916881746518e-05,158836
Amedibacterium intestinale,1.0584371280204132e-05,2583452
Lachnoclostridium phocaeense,1.0177280077119357e-05,1871021
Bacteroides eggerthii,9.97373447557697e-06,28111
Faecalibacterium sp. IP329,9.97373447557697e-06,2929489
Parabacteroides goldsteinii,9.97373447557697e-06,328812
Bacillus glycinifermentans,9.770188874034583e-06,1664069
Blautia hansenii,9.566643272492197e-06,1322
Bacteroides ovatus,9.363097670949809e-06,28116
Campylobacter jejuni,9.363097670949809e-06,197
