Genus,RA,TAX_ID
Blautia,0.07915998798433872,572511
Pseudomonas,0.07829325101036913,286
Bifidobacterium,0.07367417713689704,1678
Parabacteroides,0.07277470737398133,375288
Bacteroides,0.0609520331664984,816
Enterocloster,0.05824407681430859,2719313
Mediterraneibacter,0.05754185620144849,2316020
Bacillus,0.053080990807882734,1386
Anaerostipes,0.0451681800467056,207244
Megasphaera,0.04333906498106442,906
Akkermansia,0.04174726263528274,239934
Flavonifractor,0.03978738689713278,946234
Cutibacterium,0.036702832988786634,1912216
Collinsella,0.03275512225526188,102106
Streptococcus,0.031820873904090885,1301
Staphylococcus,0.0264399102712423,1279
Megamonas,0.020683031015340424,158846
Lactobacillus,0.019583754853232653,1578
Escherichia,0.009480745448352262,561
unclassified,0.005111941023697516,12908
Lachnoclostridium,0.0036145864126875017,1506553
Faecalibacterium,0.000621582023425084,216851
Clostridioides,0.0004091598618267147,1870884
Ruminococcus,0.00026203279484485854,1263
Shigella,0.00023850610278982243,620
Citrobacter,0.00018224662178864916,544
Roseburia,0.00013331792164520453,841
Wansuia,0.00010263093200820093,2944198
Enterobacter,0.00010177851562939527,547
Erysipelatoclostridium,0.00010160803235363414,1505663
Klebsiella,8.43892215017599e-05,570
Longicatena,6.427219496194643e-05,1918536
Salmonella,6.41017116861853e-05,590
Enterococcus,5.91576966891125e-05,1350
Phocaeicola,5.506609807084535e-05,909656
Eubacterium,5.080401617681707e-05,1730
Ruthenibacterium,4.756483393735558e-05,1905344
Anaerotruncus,4.739435066159445e-05,244127
Coprococcus,4.671241755854992e-05,33042
Dorea,3.852922032201563e-05,189330
Dysosmobacter,3.580148790983753e-05,2591381
Clostridium,3.256230567037604e-05,1485
Kosakonia,2.9834573258197943e-05,1330547
Novisyntrophococcus,2.8300223776347763e-05,2888809
Campylobacter,2.6765874294497584e-05,194
Leclercia,2.5913457915691928e-05,83654
Christensenella,2.2503792400469308e-05,990721
Dehalobacter,2.1139926194380257e-05,56112
Homo,2.0798959642857996e-05,9605
Qiania,1.824171050644103e-05,2944195
Massilistercora,1.568446137002406e-05,2717089
Raoultella,1.568446137002406e-05,160674
Lacrimispora,1.4661561715457275e-05,2719231
Lelliottia,1.3979628612412752e-05,1330545
Faecalicatena,1.380914533665162e-05,2005359
Cronobacter,1.1081412924473522e-05,413496
Caproicibacter,1.0399479821428998e-05,2576755
Anaerobutyricum,1.0058513269906736e-05,2569097
Kluyvera,1.0058513269906736e-05,579
Pluralibacter,9.717546718384472e-06,1330546
Cedecea,9.717546718384472e-06,158483
Amedibacterium,9.035613615339949e-06,2749267
Alistipes,8.865130339578818e-06,239759
Monoglobus,8.012713960773163e-06,2039302
Treponema,8.012713960773163e-06,157
Emergencia,7.330780857728638e-06,1926556
Sellimonas,7.160297581967507e-06,1769710
Filifactor,6.648847754684113e-06,44259
Aeromonas,6.478364478922982e-06,642
Butyrivibrio,6.478364478922982e-06,830
Yokenella,6.13739792740072e-06,158876
Simiaoa,5.796431375878458e-06,2944193
Oscillibacter,5.796431375878458e-06,459786
Pseudocitrobacter,5.455464824356195e-06,1504576
Buttiauxella,5.284981548595064e-06,82976
Faecalitalea,5.114498272833933e-06,1573534
Olivibacter,4.60304844555054e-06,376469
Jejubacter,4.432565169789409e-06,2815296
Faecalibacillus,4.262081894028277e-06,2678885
Flintibacter,3.921115342506015e-06,1918454
Anaerotignum,3.7506320667448844e-06,2039240
Phytobacter,3.5801487909837534e-06,447792
Gardnerella,3.5801487909837534e-06,2701
Atlantibacter,3.4096655152226224e-06,1903434
Streptomyces,3.4096655152226224e-06,1883
Prevotella,3.239182239461491e-06,838
Ligilactobacillus,3.06869896370036e-06,2767887
Paenibacillus,3.06869896370036e-06,44249
Acinetobacter,2.898215687939229e-06,469
Nostoc,2.898215687939229e-06,1177
Aliarcobacter,2.7277324121780976e-06,2321111
Scandinavium,2.5572491364169666e-06,2726810
Metabacillus,2.5572491364169666e-06,2675233
Vibrio,2.5572491364169666e-06,662
Lachnospira,2.5572491364169666e-06,28050
Lacticaseibacillus,2.5572491364169666e-06,2759736
Sporosarcina,2.3867658606558356e-06,1569
Wujia,2.2162825848947046e-06,2944152
Shimwellia,2.2162825848947046e-06,1335483
Bizionia,2.2162825848947046e-06,283785
Parvularcula,2.2162825848947046e-06,208215
Sphingobacterium,2.2162825848947046e-06,28453
Corynebacterium,2.045799309133573e-06,1716
Tetragenococcus,2.045799309133573e-06,51668
Saccharomonospora,2.045799309133573e-06,1851
Capnocytophaga,2.045799309133573e-06,1016
Plesiomonas,1.8753160333724422e-06,702
Planococcus,1.8753160333724422e-06,1372
Eggerthella,1.8753160333724422e-06,84111
Sulfuricaulis,1.8753160333724422e-06,1744881
Bradyrhizobium,1.8753160333724422e-06,374
Rhizobium,1.8753160333724422e-06,379
Acutalibacter,1.7048327576113112e-06,1918385
Synechococcus,1.53434948185018e-06,1129
Polynucleobacter,1.53434948185018e-06,44013
Mammaliicoccus,1.53434948185018e-06,2803850
