Species,RA,TAX_ID
unclassified,0.1003086100594653,12908
Pseudomonas putida,0.0706856027795891,303
Parabacteroides distasonis,0.06128572419196294,823
Bifidobacterium longum,0.06090935191583373,216816
Enterocloster clostridioformis,0.05675481026579334,1531
Bacteroides uniformis,0.047882917351993695,820
Ruminococcus gnavus,0.0473956863327137,33038
Anaerostipes caccae,0.04211826270815288,105841
Akkermansia muciniphila,0.040444280479615374,239935
Streptococcus mutans,0.03454154663305726,1309
Cutibacterium acnes,0.03372265180196401,1747
Flavonifractor plautii,0.029986605709057996,292800
Staphylococcus epidermidis,0.02938349764961216,1282
Collinsella aerofaciens,0.027608693271953984,74426
Blautia producta,0.022937267029362815,33035
Megamonas funiformis,0.022588875560832708,437897
Lactobacillus delbrueckii,0.01945639373619208,1584
Escherichia coli,0.016753964758781107,562
Blautia sp. YL58,0.014389130307837545,1796616
Megasphaera elsdenii,0.008034445590711346,907
Lachnoclostridium sp. YL32,0.003529687636862646,1834196
Bacillus subtilis,0.0034551735296693884,1423
Blautia argi,0.0016365731053343585,1912897
Enterocloster bolteae,0.0015731600794168313,208479
Clostridioides difficile,0.0011081312226882986,1496
Megasphaera stantonii,0.0010270781224148166,2144175
Bifidobacterium breve,0.0008740960982588638,1685
Blautia sp. SC05B48,0.00071487922023572,2479767
Anaerostipes rhamnosivorans,0.0005585516647363965,1229621
Coprococcus comes,0.0005074562769467343,410072
Faecalibacterium prausnitzii,0.0004927055251145997,853
Clostridium scindens,0.0004774985644629145,29347
Roseburia intestinalis,0.00046654955279370114,166486
Oscillibacter sp. PEA192,0.0004425225549640386,2109687
Ruminococcus torques,0.00034398144994111864,33039
Dysosmobacter welbionis,0.00033820280489347827,2093857
Coprococcus catus,0.00032406033148741107,116085
Blautia obeum,0.00028558672103864757,40520
Anaerobutyricum hallii,0.0002763104750411196,39488
Bacillus vallismortis,0.00026566560258494,72361
Bacillus tequilensis,0.0002562372869808952,227866
Blautia hansenii,0.0002480255282289852,1322
Bifidobacterium bifidum,0.0002335789156098843,1681
Megamonas hypermegale,0.0002247588784319069,158847
Dysosmobacter sp. Marseille-Q4140,0.0002247588784319069,2830675
Longicatena caecimuris,0.0002074229432889858,1796635
Roseburia hominis,0.00019769048847190728,301301
Ruthenibacterium lactatiformans,0.00017518418670741322,1550024
Lachnoclostridium phocaeense,0.00016545173189033469,1871021
Lacrimispora saccharolytica,0.00015876066920359323,84030
Faecalibacillus intestinalis,0.00015435065061460452,1982626
Anaerostipes hadrus,0.00011557290095280732,649756
Staphylococcus aureus,9.975766187505475e-05,1280
Oscillibacter sp. MM50,9.960559226853789e-05,2714355
Escherichia albertii,9.54997128925829e-05,208962
Faecalicatena sp. Marseille-Q4148,8.789623256674031e-05,2823316
Escherichia fergusonii,7.831584735617864e-05,564
Bifidobacterium adolescentis,7.770756893011124e-05,1680
Oscillibacter sp. MM59,7.740342971707755e-05,2714358
Bifidobacterium catenulatum,7.709929050404384e-05,1686
Escherichia marmotae,7.694722089752699e-05,1499973
Bacillus mojavensis,7.618687286494272e-05,72360
Enterococcus faecium,7.49703160128079e-05,1352
Clostridium innocuum,7.451410719325736e-05,1522
Intestinimonas butyriciproducens,7.360168955415625e-05,1297617
Bacillus halotolerans,7.314548073460569e-05,260554
Bacillus inaquosorum,7.299341112808883e-05,483913
Clostridium perfringens,7.238513270202143e-05,1502
Olsenella sp. GAM18,7.071236703033607e-05,2109685
Escherichia sp. E4742,6.234853867190921e-05,2044467
Salmonella enterica,5.9611285754605886e-05,28901
Staphylococcus haemolyticus,5.9611285754605886e-05,1283
Flintibacter sp. KGMB00164,5.945921614808903e-05,2610895
Bacillus sp. MBGLi79,5.5961615198201445e-05,2070759
Hungatella hathewayi,5.580954559168459e-05,154046
Bacillus velezensis,5.580954559168459e-05,492670
Amedibacterium intestinale,5.2311944641797e-05,2583452
Eubacterium sp. NSJ-61,5.2311944641797e-05,2764325
Massilistercora timonensis,5.003090054404422e-05,2086584
Eubacterium limosum,4.911848290494311e-05,1736
Bifidobacterium pseudocatenulatum,4.881434369190941e-05,28026
Aminipila sp. JN-18,4.698950841370719e-05,2507160
Clostridium hylemonae,4.5925021168089225e-05,89153
Eubacterium callanderi,4.501260352898812e-05,53442
Bacillus spizizenii,4.1210863366066824e-05,96241
Caproiciproducens sp. 7D4C2,4.0450515333482566e-05,2721621
Bacillus atrophaeus,3.969016730089831e-05,1452
