Species,RA,TAX_ID
Pseudomonas putida,0.071,303
Parabacteroides distasonis,0.061500000000000006,823
Bifidobacterium longum,0.061200000000000004,216816
Enterocloster clostridioformis,0.0571,1531
Bacteroides uniformis,0.0479,820
Ruminococcus gnavus,0.0475,33038
Anaerostipes caccae,0.042199999999999994,105841
Akkermansia muciniphila,0.0404,239935
Streptococcus mutans,0.0346,1309
Cutibacterium acnes,0.0338,1747
Flavonifractor plautii,0.0298,292800
Staphylococcus epidermidis,0.029500000000000002,1282
Collinsella aerofaciens,0.0276,74426
Blautia producta,0.023,33035
Megamonas funiformis,0.0227,437897
Lactobacillus delbrueckii,0.0195,1584
Escherichia coli,0.0168,562
Blautia sp. YL58,0.014499999999999999,1796616
Megasphaera elsdenii,0.008100000000000001,907
Bacillus subtilis,0.0034999999999999996,1423
Lachnoclostridium sp. YL32,0.0034999999999999996,1834196
Enterocloster bolteae,0.0016,208479
Blautia argi,0.0016,1912897
Clostridioides difficile,0.0011,1496
Megasphaera stantonii,0.001,2144175
Bifidobacterium breve,0.0009,1685
Blautia sp. SC05B48,0.0007000000000000001,2479767
Anaerostipes rhamnosivorans,0.0006,1229621
Faecalibacterium prausnitzii,0.0005,853
Roseburia intestinalis,0.0005,166486
Coprococcus comes,0.0005,410072
Clostridium scindens,0.0005,29347
Oscillibacter sp. PEA192,0.0004,2109687
Anaerobutyricum hallii,0.0003,39488
Coprococcus catus,0.0003,116085
Bacillus tequilensis,0.0003,227866
Bacillus vallismortis,0.0003,72361
Blautia obeum,0.0003,40520
Ruminococcus torques,0.0003,33039
Dysosmobacter welbionis,0.0003,2093857
Megamonas hypermegale,0.0002,158847
Bifidobacterium bifidum,0.0002,1681
Ruthenibacterium lactatiformans,0.0002,1550024
Dysosmobacter sp. Marseille-Q4140,0.0002,2830675
Longicatena caecimuris,0.0002,1796635
Lachnoclostridium phocaeense,0.0002,1871021
Lacrimispora saccharolytica,0.0002,84030
Blautia hansenii,0.0002,1322
Roseburia hominis,0.0002,301301
Clostridium perfringens,0.0001,1502
Bacillus sp. MBGLi79,0.0001,2070759
Bacillus atrophaeus,0.0001,1452
Salmonella enterica,0.0001,28901
Faecalibacillus intestinalis,0.0001,1982626
Bacillus inaquosorum,0.0001,483913
Bacillus mojavensis,0.0001,72360
Bacillus velezensis,0.0001,492670
Bacillus halotolerans,0.0001,260554
Intestinimonas butyriciproducens,0.0001,1297617
Anaerostipes hadrus,0.0001,649756
Flintibacter sp. KGMB00164,0.0001,2610895
Massilistercora timonensis,0.0001,2086584
Bifidobacterium adolescentis,0.0001,1680
Bifidobacterium catenulatum,0.0001,1686
Hungatella hathewayi,0.0001,154046
Oscillibacter sp. MM59,0.0001,2714358
Escherichia fergusonii,0.0001,564
Enterococcus faecium,0.0001,1352
Staphylococcus aureus,0.0001,1280
Oscillibacter sp. MM50,0.0001,2714355
Staphylococcus haemolyticus,0.0001,1283
Olsenella sp. GAM18,0.0001,2109685
Escherichia sp. E4742,0.0001,2044467
Escherichia marmotae,0.0001,1499973
Clostridium innocuum,0.0001,1522
Faecalicatena sp. Marseille-Q4148,0.0001,2823316
Escherichia albertii,0.0001,208962
Eubacterium limosum,0.0001,1736
Eubacterium sp. NSJ-61,0.0001,2764325
Paracoccus suum,0.0,2259340
Paracoccus zhejiangensis,0.0,1077935
Sulfitobacter sp. JL08,0.0,2070369
Agrobacterium sp. RAC06,0.0,1842536
Sulfitobacter sp. JK7-1,0.0,2829501
Paracoccus kondratievae,0.0,135740
Paracoccus aminophilus,0.0,34003
Paracoccus liaowanqingii,0.0,2560053
Bosea sp. F3-2,0.0,2599640
Devosia sp. LEGU1,0.0,2774137
Agrobacterium sp. T29,0.0,2580515
Devosia sp. G19,0.0,2801335
Devosia ginsengisoli,0.0,400770
Youhaiella tibetensis,0.0,1447062
Bartonella sp. 1-1C,0.0,515256
Bartonella sp. HY038,0.0,2759660
Bosea sp. ANAM02,0.0,2020412
Bosea sp. PAMC 26642,0.0,1792307
Methylosinus sp. C49,0.0,2699395
Sulfitobacter sp. THAF37,0.0,2587855
Methylosinus trichosporium,0.0,426
Kaustia mangrovi,0.0,2593653
Candidatus Phaeomarinobacter ectocarpi,0.0,1458461
Pseudorhodoplanes sinuspersici,0.0,1235591
Candidatus Hodgkinia cicadicola,0.0,573658
Methylocella silvestris,0.0,199596
Methylocella tundrae,0.0,227605
Paracoccus jeotgali,0.0,2065379
Paracoccus pantotrophus,0.0,82367
Sulfitobacter sp. BSw21498,0.0,664426
Celeribacter indicus,0.0,1208324
Sulfitobacter pseudonitzschiae,0.0,1402135
Pelagovum pacificum,0.0,2588711
Polymorphum gilvum,0.0,991904
Marinovum algicola,0.0,42444
Rhodovulum sulfidophilum,0.0,35806
Rhodovulum sp. P5,0.0,1564506
Sagittula sp. P11,0.0,2009329
Ruegeria sp. THAF33,0.0,2587853
Ruegeria sp. TM1040,0.0,292414
Haematobacter massiliensis,0.0,195105
Cognatishimia activa,0.0,1715691
Maribius sp. THAF1,0.0,2587842
Roseobacter litoralis,0.0,42443
Antarctobacter heliothermus,0.0,74033
Falsirhodobacter sp. PG104,0.0,2692330
Brevirhabdus pacifica,0.0,1267768
Tabrizicola piscis,0.0,2494374
Mameliella alba,0.0,561184
Rhodobacter sp. CZR27,0.0,2033869
Epibacterium mobile,0.0,379347
Paraoceanicella profunda,0.0,2579971
Monaibacterium sp. ALG8,0.0,2715211
Cereibacter sphaeroides,0.0,1063
Thalassobius gelatinovorus,0.0,53501
Gemmobacter sp. HYN0069,0.0,2169400
Phaeobacter inhibens,0.0,221822
Phaeobacter piscinae,0.0,1580596
Phaeobacter gallaeciensis,0.0,60890
Celeribacter manganoxidans,0.0,1411902
Celeribacter ethanolicus,0.0,1758178
Salipiger profundus,0.0,1229727
Agrobacterium tumefaciens,0.0,358
Rhizobium phaseoli,0.0,396
Yangia sp. CCB-MM3,0.0,1792508
Yoonia vestfoldensis,0.0,245188
Silicimonas algicola,0.0,1826607
Roseivivax sp. THAF30,0.0,2587852
Roseovarius sp. THAF9,0.0,2587847
Roseovarius indicus,0.0,540747
Pseudooceanicola algae,0.0,1537215
Roseicitreum antarcticum,0.0,564137
Leisingera methylohalidivorans,0.0,133924
Leisingera aquaemixtae,0.0,1396826
Rhizobium oryzihabitans,0.0,2267833
Devosia sp. S02,0.0,2657486
Candidatus Filomicrobium marinum,0.0,1608628
Paradevosia shaoguanensis,0.0,1335043
Bradyrhizobium erythrophlei,0.0,1437360
Bradyrhizobium sp. 6(2017),0.0,1197460
Bradyrhizobium sp. CCBAU 51765,0.0,1325102
Bradyrhizobium sp. S2-11-2,0.0,2840472
Bradyrhizobium sp. ORS 285,0.0,115808
Bradyrhizobium sp. PSBB068,0.0,2715960
Bradyrhizobium sp. ORS 278,0.0,114615
Bradyrhizobium sp. LCT2,0.0,2493093
Bradyrhizobium sp. CCBAU 53351,0.0,1325114
Bradyrhizobium sp. CCGE-LA001,0.0,1223566
Bradyrhizobium arachidis,0.0,858423
Sinorhizobium americanum,0.0,194963
Bradyrhizobium diazoefficiens,0.0,1355477
Bradyrhizobium japonicum,0.0,375
Bradyrhizobium vignae,0.0,1549949
Bradyrhizobium genosp. B,0.0,83627
Bradyrhizobium symbiodeficiens,0.0,1404367
Bradyrhizobium guangdongense,0.0,1325090
Bradyrhizobium genosp. L,0.0,83637
Sinorhizobium sp. BG8,0.0,2613773
Sinorhizobium meliloti,0.0,382
Salaquimonas pukyongi,0.0,2712698
Roseitalea porphyridii,0.0,1852022
Rhodomicrobium vannielii,0.0,1069
Mesorhizobium erdmanii,0.0,1777866
Mesirhizobium sp. NIBR3,0.0,675281
Candidatus Liberibacter asiaticus,0.0,34021
Candidatus Liberibacter africanus,0.0,34020
Mesorhizobium sp. Pch-S,0.0,2082387
Mesorhizobium sp. J8,0.0,2777475
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1,0.0,2493669
Mesorhizobium sp. NBSH29,0.0,2654249
Ensifer sp. PDNC004,0.0,2811423
Mesorhizobium amorphae,0.0,71433
Mesorhizobium huakuii,0.0,28104
Ensifer adhaerens,0.0,106592
