Species,RA,TAX_ID
unclassified,0.09983331998922766,12908
Pseudomonas putida,0.07092216261855025,303
Parabacteroides distasonis,0.06165231568757324,823
Bifidobacterium longum,0.06126473007300439,216816
Enterocloster clostridioformis,0.05722146605623449,1531
Bacteroides uniformis,0.048038780397266154,820
Ruminococcus gnavus,0.04762135251002628,33038
Anaerostipes caccae,0.04203557053330325,105841
Akkermansia muciniphila,0.040413169904431945,239935
Streptococcus mutans,0.034606300358835135,1309
Cutibacterium acnes,0.03381984729490716,1747
Flavonifractor plautii,0.029854464331205557,292800
Staphylococcus epidermidis,0.02896265348754267,1282
Collinsella aerofaciens,0.027511300031297994,74426
Blautia producta,0.023098464942608216,33035
Megamonas funiformis,0.022366601401858956,437897
Lactobacillus delbrueckii,0.019551783621687326,1584
Escherichia coli,0.016728231517807102,562
Blautia sp. YL58,0.01463435937374899,1796616
Megasphaera elsdenii,0.008198618521133424,907
Lachnoclostridium sp. YL32,0.0035468632859981513,1834196
Bacillus subtilis,0.003476806731252138,1423
Blautia argi,0.001657701853860207,1912897
Enterocloster bolteae,0.0015732700580104665,208479
Clostridioides difficile,0.001160391297702145,1496
Megasphaera stantonii,0.0010279207214551383,2144175
Bifidobacterium breve,0.0008974517610580178,1685
Blautia sp. SC05B48,0.0007278603090494873,2479767
Anaerostipes rhamnosivorans,0.000569186761676699,1229621
Coprococcus comes,0.0005207840511249081,410072
Faecalibacterium prausnitzii,0.0005027695084759333,853
Clostridium scindens,0.00049330732445829,29347
Roseburia intestinalis,0.0004822074547452853,166486
Oscillibacter sp. PEA192,0.0004305293728027717,2109687
Ruminococcus torques,0.00035028277373006574,33039
Dysosmobacter welbionis,0.0003344518120082394,2093857
Coprococcus catus,0.0003284469644585811,116085
Blautia obeum,0.00029969648225112636,40520
Bacillus tequilensis,0.00028168193960215155,227866
Anaerobutyricum hallii,0.0002756770920524933,39488
Bacillus vallismortis,0.00025875433986709273,72361
Bifidobacterium bifidum,0.0002354628099775091,1681
Blautia hansenii,0.0002354628099775091,1322
Dysosmobacter sp. Marseille-Q4140,0.00022818420688701426,2830675
Longicatena caecimuris,0.00021271717531971265,1796635
Megamonas hypermegale,0.00021217128008792552,158847
Roseburia hominis,0.00019142726128001513,301301
Lachnoclostridium phocaeense,0.00017013734724031764,1871021
Ruthenibacterium lactatiformans,0.00016486035999970885,1550024
Lacrimispora saccharolytica,0.00016376856953613462,84030
Faecalibacillus intestinalis,0.00015321459505491706,1982626
Anaerostipes hadrus,0.00011700354467970507,649756
Escherichia albertii,0.00010117258295787872,208962
Oscillibacter sp. MM50,9.189236401749777e-05,2714355
Bacillus mojavensis,8.825306247225032e-05,72360
Staphylococcus aureus,8.679734185415135e-05,1280
Faecalicatena sp. Marseille-Q4148,8.606948154510187e-05,2823316
Bifidobacterium catenulatum,8.534162123605238e-05,1686
Bacillus inaquosorum,8.115642445901783e-05,483913
Escherichia fergusonii,8.042856414996834e-05,564
Bacillus halotolerans,7.42417515230477e-05,260554
Clostridium perfringens,7.405978644578533e-05,1502
Bifidobacterium adolescentis,7.405978644578533e-05,1680
Escherichia marmotae,7.333192613673584e-05,1499973
Olsenella sp. GAM18,7.151227536411212e-05,2109685
Oscillibacter sp. MM59,7.133031028684974e-05,2714358
Enterococcus faecium,7.060244997780026e-05,1352
Intestinimonas butyriciproducens,6.769100874160232e-05,1297617
Clostridium innocuum,6.769100874160232e-05,1522
Escherichia sp. E4742,6.114026596015692e-05,2044467
Flintibacter sp. KGMB00164,6.023044057384507e-05,2610895
Bacillus velezensis,5.9320615187533207e-05,492670
Staphylococcus haemolyticus,5.5863278719548143e-05,1283
Bacillus sp. MBGLi79,5.531738348776103e-05,2070759
Hungatella hathewayi,5.4953453333236287e-05,154046
Eubacterium sp. NSJ-61,5.42255930241868e-05,2764325
Massilistercora timonensis,5.42255930241868e-05,2086584
Aminipila sp. JN-18,5.331576763787494e-05,2507160
Salmonella enterica,5.258790732882545e-05,28901
Amedibacterium intestinale,5.222397717430071e-05,2583452
Eubacterium limosum,5.1678081942513595e-05,1736
Clostridium hylemonae,4.96764660926275e-05,89153
