Genus,RA,TAX_ID
unclassified,0.1003278726443189,12908
Pseudomonas,0.07342606369914481,286
Parabacteroides,0.07225128563632949,375288
Bifidobacterium,0.06745508680422932,1678
Bacteroides,0.06417986034749691,816
Enterocloster,0.0591870535805318,2719313
Mediterraneibacter,0.04778059771855665,2316020
Anaerostipes,0.042878790599462466,207244
Blautia,0.04143086141971016,572511
Akkermansia,0.04044234350571426,239934
Bacillus,0.03946858640416565,1386
Streptococcus,0.03564051426061873,1301
Cutibacterium,0.03407936812766246,1912216
Staphylococcus,0.031126596944907475,1279
Flavonifractor,0.029990318733114467,946234
Collinsella,0.027600132329922724,102106
Megamonas,0.022909237438168174,158846
Lactobacillus,0.019519424468314013,1578
Escherichia,0.01890662249176514,561
Megasphaera,0.009287746669154193,906
Lachnoclostridium,0.00422783146621737,1506553
Clostridioides,0.0011081261468162144,1870884
Coprococcus,0.0008644966547738141,33042
Oscillibacter,0.0006805191058173732,459786
Roseburia,0.0006694104531508552,841
Dysosmobacter,0.0005694325791521937,2591381
Faecalibacterium,0.0004921285304591648,216851
Anaerobutyricum,0.00027710762336615304,2569097
Clostridium,0.00021517308041721055,1485
Eubacterium,0.0002104557073670454,1730
Longicatena,0.00020756441420726677,1918536
Paenibacillus,0.0002028470411571016,44249
Lacrimispora,0.00019828184143113532,2719231
Citrobacter,0.00017986886920307136,544
Ruthenibacterium,0.00017545584280130393,1905344
Faecalibacillus,0.0001543037507376602,2678885
Enterococcus,0.00015141245757788156,1350
Shigella,0.00013117340545943106,620
Enterobacter,0.00011915171284771986,547
Streptomyces,0.00010865175347799742,1883
Erysipelatoclostridium,0.00010028222064705923,1505663
Selenomonas,9.176051449192219e-05,970
Klebsiella,8.947791462893904e-05,570
Faecalicatena,8.795618138695028e-05,2005359
Olsenella,7.958664855601211e-05,133925
Intestinimonas,7.365188891225595e-05,1392389
Salmonella,6.939103583468742e-05,590
Acidaminococcus,6.208671627314137e-05,904
Campylobacter,6.132584965214699e-05,194
Flintibacter,5.934759643756161e-05,1918454
Aminipila,5.676064992618072e-05,2060094
Hungatella,5.5543263332589716e-05,1649459
Christensenella,5.386935676640208e-05,990721
Amedibacterium,5.2499796848612194e-05,2749267
Phocaeicola,5.1282410255021186e-05,909656
Massilistercora,4.9912850337231305e-05,2717089
Caproiciproducens,4.823894377104367e-05,1738645
Rothia,3.849985102231561e-05,32207
Faecalitalea,3.7130291104525724e-05,1573534
Rhizobium,3.560855786253697e-05,379
Anaerocolumna,3.545638453833809e-05,1843210
Pelosinus,3.4543344593144835e-05,365348
Homo,3.2412918054360574e-05,9605
Ruminococcus,3.195639808176395e-05,1263
Solibaculum,3.073901148817294e-05,2842531
Dehalobacter,3.0434664839775186e-05,56112
Veillonella,3.028249151557631e-05,29465
Bradyrhizobium,2.921727824618418e-05,374
Acinetobacter,2.9065104921985302e-05,469
Corynebacterium,2.9065104921985302e-05,1716
Butyrivibrio,2.8912931597786425e-05,830
Nocardioides,2.8608584949388675e-05,1839
Phascolarctobacterium,2.8608584949388675e-05,33024
Parolsenella,2.830423830099092e-05,2082587
Acutalibacter,2.799989165259317e-05,1918385
Kosakonia,2.7391198355797668e-05,1330547
Vibrio,2.723902503159879e-05,662
Fusobacterium,2.6325985086405537e-05,848
Leclercia,2.617381176220666e-05,83654
Desulfovibrio,2.5869465113808907e-05,872
Chryseobacterium,2.5869465113808907e-05,59732
Treponema,2.5565118465411156e-05,157
Mesorhizobium,2.206513200883701e-05,68287
Rhodococcus,2.206513200883701e-05,1827
Prevotella,2.1912958684638134e-05,838
Microbacterium,2.130426538784263e-05,33882
Planococcus,2.1152092063643754e-05,1372
Mammaliicoccus,1.9934705470052746e-05,2803850
Mahella,1.978253214585387e-05,252965
Mycolicibacterium,1.9326012173257242e-05,1866885
Desulfitobacterium,1.9173838849058366e-05,36853
Geobacter,1.9021665524859492e-05,28231
Flavobacterium,1.8565145552262862e-05,237
Pantoea,1.841297222806399e-05,53335
Dialister,1.826079890386511e-05,39948
Burkholderia,1.826079890386511e-05,32008
Nocardia,1.7652105607069608e-05,1817
Shewanella,1.7043412310274104e-05,22
Alistipes,1.673906566187635e-05,239759
Lachnospira,1.673906566187635e-05,28050
Raoultella,1.64347190134786e-05,160674
Geobacillus,1.64347190134786e-05,129337
Synechococcus,1.6282545689279724e-05,1129
Cronobacter,1.6130372365080847e-05,413496
Halomonas,1.6130372365080847e-05,2745
Cohnella,1.5826025716683097e-05,329857
Longibaculum,1.5521679068285343e-05,1918538
Mycobacterium,1.5521679068285343e-05,1763
Pedobacter,1.5217332419887593e-05,84567
Priestia,1.4912985771489841e-05,2800373
Brevundimonas,1.4912985771489841e-05,41275
Virgibacillus,1.4912985771489841e-05,84406
Desulfotomaculum,1.4456465798893213e-05,1562
Agrobacterium,1.4304292474694337e-05,357
Paraburkholderia,1.3847772502097709e-05,1822464
Xanthomonas,1.308690588110333e-05,338
Levilactobacillus,1.2934732556904453e-05,2767886
Serratia,1.2934732556904453e-05,613
Weizmannia,1.2782559232705578e-05,2817139
Hymenobacter,1.2478212584307826e-05,89966
Plasmodium,1.232603926010895e-05,5820
Novosphingobium,1.2173865935910074e-05,165696
Brevibacillus,1.2173865935910074e-05,55080
Massilia,1.2021692611711198e-05,149698
Dickeya,1.2021692611711198e-05,204037
Deinococcus,1.2021692611711198e-05,1298
Gordonibacter,1.2021692611711198e-05,644652
Cellulosilyticum,1.2021692611711198e-05,698776
Caproicibacterium,1.1869519287512323e-05,2834348
Peribacillus,1.1869519287512323e-05,2675229
Pseudoalteromonas,1.1717345963313446e-05,53246
Yersinia,1.156517263911457e-05,629
Aeromonas,1.156517263911457e-05,642
Nostoc,1.1260825990716819e-05,1177
Stenotrophomonas,1.1108652666517942e-05,40323
Listeria,1.0956479342319067e-05,1637
Polaribacter,1.0956479342319067e-05,52959
Polynucleobacter,1.080430601812019e-05,44013
Aerococcus,1.080430601812019e-05,1375
Neisseria,1.0652132693921315e-05,482
Exiguobacterium,1.0652132693921315e-05,33986
Bordetella,1.0652132693921315e-05,517
Sporosarcina,1.0499959369722438e-05,1569
Spirosoma,1.0347786045523563e-05,107
Monoglobus,1.0195612721324687e-05,2039302
Sphingomonas,1.0195612721324687e-05,13687
Pluralibacter,1.0195612721324687e-05,1330546
Desulfococcus,1.0195612721324687e-05,896
Arthrobacter,1.0195612721324687e-05,1663
Rossellomorea,1.0043439397125811e-05,2837508
Atopobium,1.0043439397125811e-05,1380
Lacticaseibacillus,9.891266072926935e-06,2759736
Desulfosarcina,9.891266072926935e-06,2299
Lelliottia,9.891266072926935e-06,1330545
Lactococcus,9.73909274872806e-06,1357
Adlercreutzia,9.586919424529183e-06,447020
Metabacillus,9.434746100330308e-06,2675233
Acetobacterium,9.434746100330308e-06,33951
Acetivibrio,9.434746100330308e-06,35829
Micromonospora,9.434746100330308e-06,1873
Desulfosporosinus,9.282572776131431e-06,79206
Aureimonas,9.130399451932556e-06,414371
Brevibacterium,9.130399451932556e-06,1696
Achromobacter,8.978226127733679e-06,222
Filifactor,8.673879479335927e-06,44259
Thermoanaerobacterium,8.521706155137052e-06,28895
Cedecea,8.369532830938175e-06,158483
Lysobacter,8.2173595067393e-06,68
Alkalihalobacillus,8.2173595067393e-06,2675234
Pectinatus,8.2173595067393e-06,864
Alcaligenes,8.2173595067393e-06,507
Acetobacter,8.065186182540423e-06,434
Alicyclobacillus,7.913012858341548e-06,29330
Moorella,7.913012858341548e-06,44260
Companilactobacillus,7.760839534142672e-06,2767879
Peptoniphilus,7.6086662099437965e-06,162289
Leptotrichia,7.6086662099437965e-06,32067
