Species,RA
Streptococcus mutans,0.12407935534989394
Escherichia coli,0.12076257601673826
Staphylococcus epidermidis,0.09903966972877512
Clostridium clostridioforme,0.07939692961493403
Bacillus subtilis,0.06532591145148
Cutibacterium acnes,0.05182170710048674
Akkermansia muciniphila,0.027721872656223508
Parabacteroides distasonis,0.023382082704228615
Bifidobacterium longum,0.022925217160615657
Shigella flexneri,0.022659453116130625
Bacteroides uniformis,0.022062782153023916
Clostridium clostridioforme CAG:132,0.02129534717021479
Ruminococcus gnavus,0.021226624584999375
Clostridium clostridioforme CAG:511,0.02005546899997742
Shigella dysenteriae,0.019745961672859566
Anaerostipes sp. CAG:276,0.01927249571083739
Anaerostipes caccae,0.016793368770112765
Collinsella aerofaciens,0.01565867903311296
Megasphaera massiliensis,0.011415777305151016
Flavonifractor plautii,0.011393394276537638
Akkermansia sp. 54_46,0.010901006984527702
Staphylococcus sp. HMSC062B11,0.010821938640919812
Akkermansia muciniphila CAG:154,0.010519787423381399
Megamonas funiformis,0.010271292534540082
Akkermansia sp. UNK.MGS-1,0.01015878732920746
Akkermansia sp. Phil8,0.009367081118534619
Lactobacillus delbrueckii,0.008199151207231992
Staphylococcus sp. DORA_6_22,0.0061748835984168395
Pseudomonas putida,0.004572431834630251
Collinsella sp. CAG:166,0.004200102544954287
Clostridium bolteae,0.003340971886050637
Bacillus sp. BSC154,0.003263831079177466
Bacteroides coprocola,0.0032277192685147573
Bifidobacterium breve,0.0022342511004464567
Clostridium bolteae CAG:59,0.0020753276635430344
Bacteroides fragilis,0.0019987769189355937
Bacillus amyloliquefaciens,0.0018880419004001644
Blautia producta,0.0016681060252202054
Tyzzerella nexilis,0.0013589527354617903
Bacteroides plebeius,0.0013427063544120097
Bacteroides coprophilus,0.0012391700955184928
Parabacteroides johnsonii,0.0012344102599082666
Bacteroides stercoris,0.001217023091811407
Prevotella stercorea,0.0011585675900197025
Bacteroides thetaiotaomicron,0.0010434267732334853
Bacillus velezensis,0.001034143126919325
Parabacteroides gordonii,0.001012900885353026
Eubacterium ramulus,0.0009846959090511068
Fusicatenibacter saccharivorans,0.0009663646413290783
Pseudomonas entomophila,0.0009167207360389497
Bacteroides oleiciplenus,0.0008983107933481573
Megasphaera elsdenii,0.0008877290100493898
Bacteroides fluxus,0.0008351741309149907
Ruminococcus gauvreauii,0.0008022093190028451
Blautia obeum,0.0007662941957620469
Prevotellamassilia timonensis,0.000740724830913724
Blautia hansenii,0.0007231016379105722
Staphylococcus capitis,0.0007039836205009031
Clostridium citroniae,0.0006689339219165096
Emergencia timonensis,0.0006527268783511111
Bacteroides sp. 43_46,0.0006507206666476273
Bacteroides salyersiae,0.0006127206567345813
Ruminococcaceae bacterium D16,0.0006046958099206461
Clostridioides difficile,0.0005947040888876091
Propionibacterium namnetense,0.0005904556405743494
Clostridium innocuum,0.000583492905838729
Coprococcus comes,0.0005818800689790656
Staphylococcus haemolyticus,0.0005735798597744562
Clostridium scindens,0.0005487579071293919
Dorea formicigenerans,0.0005372713616898377
Clostridiales bacterium 1_7_47FAA,0.000527712352985003
Ruthenibacterium lactatiformans,0.0005181533442801685
Lachnospiraceae bacterium M18-1,0.0005016316008397137
Blautia sp. KLE 1732,0.0004998220765581401
Holdemania filiformis,0.000490774455150272
Bifidobacterium saguini,0.00046717196452105076
Ruminococcus faecis,0.00046237279142644246
Roseburia intestinalis,0.00046020922978543054
Coprobacillus sp. D6,0.00045541005669082224
Bacillus licheniformis,0.00045061088359621393
Hungatella hathewayi,0.0004427433867198069
Propionibacterium humerusii,0.00043869162582845726
Treponema endosymbiont of Eucomonympha sp.,0.00043778686368767044
Anaerotruncus colihominis,0.0004333417279525005
Blautia schinkii,0.0004213831327003617
Roseburia hominis,0.00041603323482440494
Coprococcus sp. HPP0048,0.0004062775386976602
Ruminococcus lactaris,0.0004027765025876591
Pseudomonas cremoricolorata,0.0003988034166650735
Clostridium glycyrrhizinilyticum,0.00039636449263338733
Roseburia inulinivorans,0.00039628581766462326
Eubacterium contortum,0.0003831864353654055
Ruminococcus torques,0.0003766957504423697
Bifidobacterium reuteri,0.00036249491858045496
Obesumbacterium proteus,0.0003607640692676454
Faecalitalea cylindroides,0.0003392464653106721
Solobacterium moorei,0.00033708290366966015
Clostridium symbiosum,0.0003336605425284231
Eubacterium sp. 3_1_31,0.0003330311427783105
Clostridia bacterium UC5.1-1D1,0.00033082824365291655
Ruminococcus sp. AT10,0.00032280339683898136
Salmonella enterica,0.00032241002199516103
Lactobacillus fermentum,0.0003167060867597659
Bacillus glycinifermentans,0.0003121429385714498
Lactonifactor longoviformis,0.0003111201639775169
