Species,RA,TAX_ID
Streptococcus mutans,0.12407935534989394,1309
Escherichia coli,0.12076257601673826,562
Staphylococcus epidermidis,0.09903966972877512,1282
Clostridium clostridioforme,0.07939692961493403,1531
Bacillus subtilis,0.06532591145148,1423
Cutibacterium acnes,0.05182170710048674,1747
Akkermansia muciniphila,0.027721872656223508,239935
Parabacteroides distasonis,0.023382082704228615,823
Bifidobacterium longum,0.022925217160615657,216816
Shigella flexneri,0.022659453116130625,623
Bacteroides uniformis,0.022062782153023916,820
Clostridium clostridioforme CAG:132,0.02129534717021479,1263065
Ruminococcus gnavus,0.021226624584999375,33038
Clostridium clostridioforme CAG:511,0.02005546899997742,1263066
Shigella dysenteriae,0.019745961672859566,622
Anaerostipes sp. CAG:276,0.01927249571083739,1262699
Anaerostipes caccae,0.016793368770112765,105841
Collinsella aerofaciens,0.01565867903311296,74426
Megasphaera massiliensis,0.011415777305151016,1232428
Flavonifractor plautii,0.011393394276537638,292800
Akkermansia sp. 54_46,0.010901006984527702,1896967
Staphylococcus sp. HMSC062B11,0.010821938640919812,1739493
Akkermansia muciniphila CAG:154,0.010519787423381399,1263034
Megamonas funiformis,0.010271292534540082,437897
Akkermansia sp. UNK.MGS-1,0.01015878732920746,1638783
Akkermansia sp. Phil8,0.009367081118534619,1929996
Lactobacillus delbrueckii,0.008199151207231992,1584
Staphylococcus sp. DORA_6_22,0.0061748835984168395,1403935
Pseudomonas putida,0.004572431834630251,303
Collinsella sp. CAG:166,0.004200102544954287,1262850
Clostridium bolteae,0.003340971886050637,208479
Bacillus sp. BSC154,0.003263831079177466,1549811
Bacteroides coprocola,0.0032277192685147573,310298
Bifidobacterium breve,0.0022342511004464567,1685
Clostridium bolteae CAG:59,0.0020753276635430344,1263064
Bacteroides fragilis,0.0019987769189355937,817
Bacillus amyloliquefaciens,0.0018880419004001644,1390
Blautia producta,0.0016681060252202054,33035
Tyzzerella nexilis,0.0013589527354617903,29361
Bacteroides plebeius,0.0013427063544120097,310297
Bacteroides coprophilus,0.0012391700955184928,387090
Parabacteroides johnsonii,0.0012344102599082666,387661
Bacteroides stercoris,0.001217023091811407,46506
Prevotella stercorea,0.0011585675900197025,363265
Bacteroides thetaiotaomicron,0.0010434267732334853,818
Bacillus velezensis,0.001034143126919325,492670
Parabacteroides gordonii,0.001012900885353026,574930
Eubacterium ramulus,0.0009846959090511068,39490
Fusicatenibacter saccharivorans,0.0009663646413290783,1150298
Pseudomonas entomophila,0.0009167207360389497,312306
Bacteroides oleiciplenus,0.0008983107933481573,626931
Megasphaera elsdenii,0.0008877290100493898,907
Bacteroides fluxus,0.0008351741309149907,626930
Ruminococcus gauvreauii,0.0008022093190028451,438033
Blautia obeum,0.0007662941957620469,40520
Prevotellamassilia timonensis,0.000740724830913724,1852370
Blautia hansenii,0.0007231016379105722,1322
Staphylococcus capitis,0.0007039836205009031,29388
Clostridium citroniae,0.0006689339219165096,358743
Emergencia timonensis,0.0006527268783511111,1776384
Bacteroides sp. 43_46,0.0006507206666476273,1897051
