Species,RA
Streptococcus,0.12640691913231134
Escherichia,0.121259725354406
Staphylococcus,0.11885846350953383
Lachnoclostridium,0.08614981421920864
Bacillus,0.07400685663093075
Akkermansia,0.0700451834026581
Cutibacterium,0.052728154093820104
Clostridium,0.04447739364002828
Shigella,0.04259205277508885
Bacteroides,0.037099195102739464
Anaerostipes,0.03637868554754051
Bifidobacterium,0.027994212975667874
Blautia,0.02609251948007127
Parabacteroides,0.025870313429787652
Collinsella,0.020143956453938367
Megasphaera,0.012662131025136929
Flavonifractor,0.011409889935502423
Megamonas,0.010387308443274283
Lactobacillus,0.009663591604161898
Pseudomonas,0.00763288398382246
Prevotella,0.002788710776216463
Ruminococcus,0.0024785980428972867
Eubacterium,0.00195477178571314
Tyzzerella,0.0015615407087221091
Roseburia,0.0015462270573608273
Coprococcus,0.001272614118436683
Fusicatenibacter,0.0009674704165326722
Dorea,0.0009542798967760518
Alistipes,0.0008984912258876057
Erysipelatoclostridium,0.0008333065683232108
Prevotellamassilia,0.0007575514257483734
Holdemania,0.000717302271285535
Emergencia,0.0006669795349537706
Clostridioides,0.0006341839276136801
Ruthenibacterium,0.0005420761543816626
Citrobacter,0.0005361584896963294
Anaerotruncus,0.0005149271736497143
Klebsiella,0.00048149914412951174
Kluyvera,0.00047345834783951707
Propionibacterium,0.0004591836757741333
Treponema,0.0004566991600665507
Coprobacillus,0.0004539436062817772
Hungatella,0.00045299497301160935
Corynebacterium,0.0004158175834236003
Barnesiella,0.00037520704485784076
Obesumbacterium,0.00037344529735610033
Odoribacter,0.0003532529606053834
Solobacterium,0.0003513556940650476
Faecalitalea,0.0003504070607948797
Enterobacter,0.00034598010553409613
Salmonella,0.00032407119429450393
Ruminiclostridium,0.00031345553627119637
Oscillibacter,0.00031155826973086056
Lactonifactor,0.0003115130967179954
Anaerosporobacter,0.0002900107425941895
Cronobacter,0.00028626138252638297
Phascolarctobacterium,0.000271263942255157
Fournierella,0.0002519750657617428
Angelakisella,0.00024714155338517296
Pseudoflavonifractor,0.00022306433752805412
Subdoligranulum,0.00022198018521929082
Lamprocystis,0.00021913428540878708
Stomatobaculum,0.00021845669021581
Bariatricus,0.00021615286655968794
Faecalibacterium,0.00020246544366155095
Gabonia,0.00020111025327559682
Butyricicoccus,0.00020088438821127112
Acinetobacter,0.00019352118711425353
Intestinimonas,0.00018773904146751578
Lachnoanaerobaculum,0.00018064687844768904
Porphyromonas,0.0001742774836337045
Lelliottia,0.0001679532618325851
Streptomyces,0.00016763705074252915
Culturomica,0.0001609062718256235
Enterococcus,0.00015625345150051422
Mediterranea,0.00015602758643618853
Intestinibacter,0.00015010992175085538
Sellimonas,0.00014351466187254516
Riemerella,0.00014021703193339003
Bittarella,0.00013533834654395508
Coprobacter,0.00013448005929951744
Rikenella,0.00013402832917086606
Pantoea,0.0001256261487779503
Eisenbergiella,0.00012530993768789433
Rhodococcus,0.0001229609410189071
Hymenobacter,0.0001224640378773906
Holdemanella,0.0001198891761440777
Achromatium,0.00011826294768093271
Veillonella,0.00011794673659087674
Criibacterium,0.00011776604453941619
Oribacterium,0.00011663671921778773
Leclercia,0.0001123904560084647
Neglecta,0.00010986076728801695
Acetivibrio,0.00010931869113363528
Catonella,0.00010855074991492792
Acidaminococcus,0.00010796350074768112
Butyrivibrio,0.00010778280869622056
Hespellia,0.0001076924626704903
Actinomyces,0.00010742142459329946
Massilioclostridium,0.00010656313734886183
Trabulsiella,0.00010484656285998656
Cellulomonas,0.0001037172375383581
Kosakonia,0.00010294929631965075
