Genus,Count
Halomonas,0.898889184
Marinobacter,0.037079301
Psychrobacter,0.010924471
Muricauda,0.006816152
Jannaschia,0.002653935
Thalassobius,0.002315238
Labrenzia,0.001734616
Mycobacterium,0.001656759
Helicobacter,0.001630189
Thauera,0.001625326
Mesorhizobium,0.001564553
Micromonospora,0.001531641
Leucobacter,0.001528337
Thioclava,0.001384426
Tropicibacter,0.001313012
Arenibacter,0.000946352
Acinetobacter,0.000898845
Fusibacter,0.000843836
Methanolacinia,0.000841751
Nereida,0.000837307
Phaeobacter,0.000830562
Aureispira,0.00082948
Thalassobacter,0.000825772
Dysgonomonas,0.000825115
Necropsobacter,0.000825036
Bifidobacterium,0.000815744
Sporanaerobacter,0.000813998
Chondromyces,0.000812476
Flavobacterium,0.000807714
Cystobacter,0.000803422
Microbacterium,0.000798437
Pseudoalteromonas,0.000795919
Shimia,0.000795414
Nautella,0.000792348
Pseudomonas,0.000784599
Paenibacillus,0.000776159
Saccharopolyspora,0.000774983
Acetomicrobium,0.000774377
Anaerosalibacter,0.000768411
Brachybacterium,0.000764847
Leisingera,0.000656257
Moraxella,0.00063737
Cohaesibacter,0.000493574
Verrucosispora,0.000323172
Maribacter,0.000321751
Chromohalobacter,0.00031217
Chlamydia,0.000285023
Xiangella,0.000239818
Salinispora,0.000215657
Croceitalea,0.000190285
Spongiibacterium,0.00018654
Paracoccus,0.00017424
Flagellimonas,0.000172992
Actinoplanes,0.000155692
Polaribacter,0.000102847
Rhodobacter,9.82E-05
Pseudozobellia,8.14E-05
Defluviimonas,7.10E-05
Cellulophaga,6.91E-05
Salinicola,6.63E-05
Marinimicrobium,6.28E-05
Mesoflavibacter,5.09E-05
Jejuia,4.99E-05
Halotalea,4.96E-05
Tropicimonas,4.81E-05
Sulfitobacter,4.59E-05
Aidingimonas,4.43E-05
Salinivibrio,3.88E-05
Pseudovibrio,3.86E-05
Alcanivorax,3.81E-05
Pseudorhodobacter,3.69E-05
Oceanicola,3.49E-05
Zobellia,3.30E-05
Couchioplanes,3.05E-05
Arsukibacterium,2.95E-05
Rhizobium,2.60E-05
Rhodovulum,2.58E-05
Streptomyces,2.29E-05
Carnimonas,2.16E-05
Bartonella,2.09E-05
Gemmobacter,2.05E-05
Devosia,1.95E-05
Robiginitalea,1.93E-05
Cobetia,1.87E-05
Ahrensia,1.86E-05
Marinomonas,1.79E-05
Celeribacter,1.77E-05
Roseicitreum,1.71E-05
Hahella,1.70E-05
Kocuria,1.64E-05
Pseudooceanicola,1.58E-05
Ensifer,1.57E-05
Puniceibacterium,1.55E-05
Roseovarius,1.51E-05
Nesiotobacter,1.51E-05
Stappia,1.47E-05
Ketogulonicigenium,1.44E-05
Dermacoccus,1.44E-05
Marivirga,1.41E-05
Enhydrobacter,1.41E-05
Kushneria,1.40E-05
Phyllobacterium,1.39E-05
Actibacterium,1.38E-05
Sinorhizobium,1.37E-05
Paenirhodobacter,1.37E-05
Ruegeria,1.36E-05
Nitrincola,1.24E-05
Oleibacter,1.21E-05
Dactylosporangium,1.18E-05
Falsirhodobacter,1.18E-05
Sediminicola,1.17E-05
Pannonibacter,1.15E-05
Terasakiispira,1.15E-05
Catenuloplanes,1.15E-05
Gillisia,1.14E-05
Neptunomonas,1.13E-05
Aliihoeflea,1.09E-05
Granulicoccus,1.05E-05
Agrobacterium,1.04E-05
Glaciecola,1.01E-05
Woodsholea,9.92E-06
Oleispira,9.70E-06
Polymorphum,9.69E-06
Pricia,9.59E-06
Eudoraea,9.55E-06
Nitratireductor,9.54E-06
Algibacter,9.29E-06
Capnocytophaga,9.21E-06
Thalassolituus,9.17E-06
Pseudospirillum,9.13E-06
Octadecabacter,9.10E-06
Nocardioides,9.10E-06
Marinospirillum,9.08E-06
Ochrobactrum,8.86E-06
Scytonema,8.78E-06
Hoeflea,8.59E-06
Martelella,8.57E-06
Crocosphaera,8.46E-06
Oceanospirillum,8.22E-06
Auraticoccus,7.85E-06
Halocynthiibacter,7.81E-06
Brevundimonas,7.65E-06
Nioella,7.52E-06
Endozoicomonas,7.42E-06
Psychroserpens,7.39E-06
Zymobacter,7.34E-06
Thiomicrospira,7.25E-06
Dinoroseobacter,7.00E-06
Actinomyces,6.62E-06
Methylopila,6.62E-06
Pelobacter,6.52E-06
Shinella,6.49E-06
Loktanella,6.44E-06
Aurantimonas,6.32E-06
Kriegella,6.26E-06
Teredinibacter,5.94E-06
Microlunatus,5.87E-06
Trichormus,5.66E-06
Friedmanniella,5.53E-06
Desulfovermiculus,5.50E-06
Cutibacterium,5.43E-06
Saccharospirillum,5.33E-06
Oceanicaulis,5.22E-06
Hamadaea,5.21E-06
Roseibium,5.05E-06
Spongiibacter,4.95E-06
Mangrovimonas,4.94E-06
Nocardia,4.93E-06
Salinihabitans,4.53E-06
Propionicicella,4.50E-06
Citreicella,4.49E-06
Confluentimicrobium,4.46E-06
Sagittula,4.39E-06
Kutzneria,4.36E-06
Hellea,4.28E-06
Azorhizobium,4.26E-06
Aequorivita,4.26E-06
Frankia,4.25E-06
Vibrio,4.23E-06
Phenylobacterium,4.10E-06
Rhodomicrobium,4.00E-06
Photobacterium,3.99E-06
Shewanella,3.96E-06
Parvularcula,3.96E-06
Colwellia,3.92E-06
Nonlabens,3.85E-06
Asticcacaulis,3.80E-06
Wenxinia,3.74E-06
Gramella,3.72E-06
Lacinutrix,3.64E-06
Thiobacimonas,3.63E-06
Maricaulis,3.61E-06
Halioglobus,3.61E-06
Joostella,3.54E-06
